N	2gram	Voloshinov	KFilosof
1	может быть	28	45
2	в его	25	42
3	в нем	7	32
4	не может	30	29
5	и не	34	28
6	и в	28	28
7	по отношению	13	26
8	в котором	4	24
9	отношению к	11	22
10	не есть	2	22
11	в себе	7	21
12	и его	22	18
13	только в	11	18
14	в своем	4	17
15	в ее	5	17
16	а не	9	17
17	в этом	28	15
18	не в	10	13
19	для него	12	13
20	точки зрения	31	13
21	но не	7	12
22	к нему	9	12
23	ни в	12	12
24	мир в	3	12
25	в своей	14	11
26	во всех	13	11
27	все эти	15	11
28	это не	5	10
29	его целом	2	10
30	в целом	4	10
31	и для	7	10
32	все это	12	10
33	с точки	15	10
34	и есть	3	10
35	в их	2	9
36	для нее	2	9
37	но и	10	9
38	как бы	19	9
39	и все	13	9
40	себя в	3	8
41	если бы	4	8
42	не было	5	8
43	со стороны	5	8
44	в мире	2	8
45	жизни и	7	8
46	было бы	8	8
47	в себя	5	8
48	современной философии	3	7
49	для себя	2	7
50	должен быть	2	7
51	совершенно не	9	7
52	то что	17	7
53	в поступке	2	7
54	уже не	9	7
55	отнюдь не	5	7
56	конечно не	10	7
57	и только	6	7
58	что и	5	7
59	вовсе не	16	7
60	на основе	3	7
61	должно быть	2	6
62	отношение к	7	6
63	мира в	2	6
64	в том	10	6
65	смысл и	2	6
66	но все	2	6
67	не имеет	2	6
68	и их	2	6
69	я не	4	6
70	но это	4	6
71	он не	10	6
72	никогда не	10	5
73	принципиально не	2	5
74	его в	11	5
75	все же	8	5
76	не только	10	5
77	мы имеем	6	5
78	но как	2	5
79	хотя бы	7	5
80	и содержание	3	5
81	то же	12	5
82	жизни в	3	5
83	но ведь	4	5
84	ни одно	2	5
85	еще не	8	5
86	не знает	5	5
87	а в	8	5
88	но в	13	5
89	как и	13	5
90	ко всему	2	5
91	именно в	4	5
92	в одном	3	5
93	там где	2	5
94	себя и	4	5
95	я и	7	5
96	с ним	14	5
97	в основе	6	5
98	в каком	7	4
99	что это	5	4
100	нет в	2	4
101	том что	12	4
102	нисколько не	4	4
103	что в	7	4
104	не как	2	4
105	ни было	2	4
106	чем не	5	4
107	о нем	2	4
108	прежде всего	26	4
109	в чем	9	4
110	отношению ко	2	4
111	в своих	5	4
112	входит в	2	4
113	для нас	2	4
114	с ними	5	4
115	при этом	8	4
116	только как	4	4
117	из него	3	4
118	всех своих	4	4
119	во всей	3	4
120	должна быть	2	4
121	как его	2	4
122	между тем	3	4
123	до конца	7	3
124	лежат в	2	3
125	ничего не	5	3
126	в то	7	3
127	на самом	6	3
128	сознания и	6	3
129	человека и	6	3
130	всех этих	6	3
131	в другом	4	3
132	от того	5	3
133	это и	4	3
134	и тем	2	3
135	нигде не	4	3
136	для того	6	3
137	в момент	2	3
138	самом деле	14	3
139	в виду	4	3
140	себе и	3	3
141	и тот	3	3
142	и пр	29	3
143	в корне	6	3
144	по своему	4	3
145	его жизни	7	3
146	нет и	4	3
147	и этот	2	3
148	не менее	6	3
149	и ни	3	3
150	независимо от	3	3
151	только с	4	3
152	о том	3	3
153	в ней	8	3
154	в свою	6	3
155	могут быть	9	3
156	но для	3	3
157	этом смысле	2	3
158	и этим	3	3
159	тогда когда	2	3
160	и та	2	3
161	теории и	2	3
162	ее целом	4	3
163	и на	9	3
164	того что	7	3
165	мы не	9	3
166	исторический материализм	2	3
167	и может	4	3
168	войти в	4	3
169	жизни но	2	3
170	один и	3	3
171	рядом с	2	3
172	на язык	4	3
173	целом и	3	3
174	тот же	10	3
175	бы и	2	3
176	отсюда и	2	3
177	не дает	4	3
178	а следовательно	3	3
179	быть и	7	3
180	ясно что	2	3
181	конечно в	3	2
182	и то	3	2
183	в мир	4	2
184	чтобы не	2	2
185	для этого	6	2
186	или иной	2	2
187	и потому	12	2
188	бы он	3	2
189	сознания как	2	2
190	к которой	2	2
191	в данном	4	2
192	его к	4	2
193	ли это	2	2
194	место и	2	2
195	его с	2	2
196	содержание и	2	2
197	сознания в	3	2
198	же с	2	2
199	говорить о	5	2
200	и ее	7	2
201	дело в	2	2
202	то ни	4	2
203	к этому	9	2
204	дело не	2	2
205	вопрос о	2	2
206	в составе	2	2
207	это было	2	2
208	с ее	4	2
209	к себе	3	2
210	тем не	4	2
211	как к	2	2
212	и как	3	2
213	то или	2	2
214	весь мир	2	2
215	всей его	2	2
216	а как	3	2
217	все они	2	2
218	это только	4	2
219	в области	4	2
