N	3gram	Losev_Prob	Mirosoze
1	не может быть	5	28
2	в том что	17	9
3	это и есть	3	9
4	для того чтобы	4	7
5	о том что	8	6
6	и там и	2	6
7	есть прежде всего	3	6
8	там и здесь	4	6
9	и в этом	6	6
10	но и в	2	5
11	может быть и	3	5
12	до сих пор	4	5
13	не было бы	3	5
14	что и в	3	5
15	в конце концов	4	4
16	что он не	2	4
17	на то что	2	4
18	не что иное	6	4
19	то время как	6	4
20	потому что он	6	4
21	можно было бы	6	4
22	в то время	6	4
23	что иное как	6	4
24	во всяком случае	8	3
25	том что он	2	3
26	это значит что	8	3
27	и не было	2	3
28	как и в	2	3
29	же как и	4	3
30	так же как	3	3
31	есть не что	6	3
32	для этого необходимо	2	3
33	как будто бы	7	3
34	по сравнению с	3	3
35	и во всяком	3	2
36	в чем не	2	2
37	у нас не	2	2
38	и только в	3	2
39	ни к какому	2	2
40	подобно тому как	2	2
41	не только в	2	2
42	ни в чем	2	2
43	именно потому что	3	2
44	хотя бы и	2	2
45	в себе и	2	2
46	в том смысле	4	2
47	но также и	2	2
48	с самим собою	2	2
