N	3gram	Bakhtin_fo	Istorich
1	и т д	3	142
2	до сих пор	4	30
3	с одной стороны	3	28
4	так же как	2	27
5	в том что	4	25
6	не может быть	4	24
7	вместе с тем	3	23
8	но все же	3	23
9	о том что	2	22
10	мы имеем в	2	19
11	не только в	6	19
12	в связи с	12	17
13	в данном случае	2	15
14	о том как	2	15
15	по отношению к	3	14
16	в то время	3	13
17	то время как	2	13
18	но и в	5	12
19	во всех этих	2	11
20	как и в	3	10
21	же как и	2	9
22	друг с другом	5	9
23	как мы увидим	2	9
24	таким образом и	2	8
25	наряду с этим	3	7
26	в большинстве случаев	2	7
27	с тем что	2	7
28	с самого начала	3	6
29	к тому же	2	6
30	это значит что	2	6
31	и в других	4	6
32	так как он	2	6
33	для того чтобы	11	5
34	в том числе	7	5
35	со всех сторон	2	5
36	с этим в	2	5
37	в отличие от	3	5
38	в другом месте	2	5
39	соответствии с этим	2	4
40	и в особенности	5	4
41	с точки зрения	9	4
42	сами по себе	2	4
43	друг на друга	4	4
44	все то что	2	3
45	и то же	4	3
46	но он не	2	3
47	мы уже говорили	6	3
48	дело в том	2	3
49	не могло быть	3	3
50	и не только	2	3
51	в соответствии с	2	3
52	одной стороны и	2	3
53	в средние века	4	3
54	по сравнению с	3	3
55	в другую страну	2	2
56	большую роль в	2	2
57	то что было	2	2
58	может быть и	4	2
59	лежит в основе	2	2
60	и др в	2	2
61	как мы видим	2	2
62	на другой день	2	2
63	друг от друга	2	2
64	в себя и	2	2
65	но все эти	2	2
66	и прежде всего	4	2
67	как если бы	2	2
68	на первый план	2	2
69	в особенности в	2	2
70	между этими двумя	3	2
71	похожи друг на	2	2
72	и т п	18	2
73	одно и то	4	2
74	и должно быть	2	2
75	может быть только	3	2
76	том числе и	4	2
77	к тому времени	2	2
78	в борьбе с	2	2
79	в виду что	2	2
80	равно как и	4	2
