N	3gram	Vinokur_St	Istorich
1	и т д	25	142
2	с другой стороны	8	46
3	до сих пор	12	30
4	в этом случае	3	29
5	с одной стороны	2	28
6	так же как	5	27
7	в том что	29	25
8	не может быть	5	24
9	тем не менее	4	23
10	вместе с тем	2	23
11	но все же	3	23
12	точно так же	2	22
13	о том что	19	22
14	не только в	4	19
15	после того как	5	15
16	в данном случае	7	15
17	по отношению к	3	14
18	на то что	5	14
19	в то время	2	13
20	но и в	2	12
21	т е в	3	11
22	как и в	2	10
23	можно было бы	8	10
24	что и в	4	10
25	более или менее	2	9
26	на этот вопрос	2	8
27	с того что	2	8
28	в зависимости от	2	8
29	и то что	2	8
30	во всяком случае	8	7
31	дело не в	2	7
32	что он не	5	7
33	то что в	3	7
34	если бы мы	2	7
35	так например в	4	7
36	с самого начала	3	6
37	к тому же	2	6
38	так как в	2	6
39	т д но	4	6
40	на самом деле	7	5
41	для того чтобы	13	5
42	так и в	5	5
43	в том числе	3	5
44	то что он	3	5
45	т д и	2	5
46	том что в	4	5
47	иметь в виду	2	4
48	т е с	3	4
49	в это время	3	4
50	а иногда и	2	4
51	с точки зрения	10	4
52	сами по себе	2	4
53	в одной из	3	4
54	вопрос о том	4	4
55	так или иначе	3	4
56	не потому ли	2	3
57	бы то ни	2	3
58	из этих двух	2	3
59	и в области	5	3
60	не только с	2	3
61	не только не	2	3
62	дело в том	7	3
63	что в нем	2	3
64	в одном из	4	3
65	говорит об этом	2	3
66	за то что	5	3
67	но и здесь	2	3
68	в обоих случаях	2	3
69	по этому поводу	4	3
70	ответ на вопрос	2	3
71	к тому что	4	3
72	не в том	3	3
73	он должен был	2	3
74	в том смысле	4	3
75	в иных случаях	2	3
76	в том как	3	2
77	в самом деле	7	2
78	может быть и	2	2
79	не значит что	3	2
80	т е не	2	2
81	имеем дело с	2	2
82	и в том	3	2
83	но все это	2	2
84	ничего общего с	3	2
85	но в целом	2	2
86	он не только	2	2
87	но если это	2	2
88	данном случае в	2	2
89	в том отношении	4	2
90	это не значит	3	2
91	на вопрос о	3	2
92	сказать что в	3	2
93	том что он	6	2
94	в том-то и	2	2
95	в прямом смысле	2	2
96	вовсе не в	2	2
97	то обстоятельство что	3	2
98	тем что в	2	2
99	и т п	11	2
100	возможно что в	2	2
101	только в том	3	2
102	что это не	2	2
103	каждого из них	3	2
104	уже после того	2	2
105	во многих случаях	2	2
106	только потому что	2	2
107	том числе и	2	2
108	том отношении что	2	2
109	к тому времени	2	2
110	обращает на себя	2	2
