N	3gram	Trubetskoy	slovoVRo
1	не может быть	4	19
2	в то же	10	18
3	то же время	10	18
4	той или иной	3	15
5	с точки зрения	9	15
6	в большинстве случаев	2	11
7	более или менее	4	9
8	в этом случае	3	9
9	во всяком случае	6	8
10	не может не	3	6
11	в том что	7	5
12	в лучшем случае	3	4
13	для того чтобы	6	4
14	друг с другом	14	4
15	и не может	3	4
16	до сих пор	5	4
17	в другом случае	2	3
18	к тому что	2	3
19	в данном случае	3	3
20	того или иного	2	3
21	сама по себе	2	3
22	а следовательно и	2	2
23	том и в	2	2
24	о том что	2	2
25	можно было бы	3	2
26	или в лучшем	2	2
27	и в том	2	2
28	в том и	2	2
29	тот факт что	2	2
30	и в другом	2	2
31	а между тем	5	2
