N	3gram	Potebnia_M	Formalny
1	с точки зрения	2	40
2	не может быть	7	29
3	на самом деле	4	21
4	то же время	8	20
5	в то же	8	20
6	и т д	5	19
7	и т п	7	18
8	во всяком случае	3	16
9	по отношению к	10	12
10	так и в	2	11
11	в этом отношении	2	11
12	в большинстве случаев	2	9
13	с другой стороны	4	9
14	для того чтобы	5	8
15	до сих пор	4	8
16	вместе с тем	5	8
17	с одной стороны	4	8
18	более или менее	6	7
19	сами по себе	3	7
20	в свою очередь	6	7
21	сам по себе	9	6
22	в данном случае	3	6
23	смысле этого слова	9	6
24	не только не	4	6
25	в том что	22	6
26	мы не можем	5	5
27	в этом смысле	2	5
28	как бы ни	4	5
29	к тому что	3	5
30	тем не менее	7	4
31	не могут быть	3	4
32	подобно тому как	3	4
33	не в том	6	4
34	но и в	4	4
35	сама по себе	3	4
36	то и другое	3	3
37	то же самое	3	3
38	с тем и	3	3
39	и то и	2	3
40	и тот же	2	3
41	потому что он	3	3
42	нам кажется что	3	3
43	из виду что	2	3
44	то же что	5	3
45	а не как	2	3
46	один и тот	2	3
47	в том смысле	6	3
48	именно в том	3	3
49	в том чтобы	4	3
50	равно как и	2	3
51	все то что	2	2
52	не может стать	2	2
53	от того что	7	2
54	в том случае	2	2
55	одного к другому	2	2
56	может быть только	4	2
57	как и в	3	2
58	одним и тем	4	2
59	от одного к	2	2
60	по себе а	4	2
61	между тем как	4	2
62	в таком случае	2	2
63	и тем же	4	2
64	друг от друга	2	2
65	не только в	4	2
66	в собственном смысле	2	2
67	том смысле что	2	2
68	лишь тогда когда	4	2
69	со всех сторон	3	2
70	в этом случае	2	2
71	что и в	4	2
72	и в том	3	2
