N	3gram	Trubetskoy	Analitik
1	в том что	16	25
2	не может быть	4	19
3	по отношению к	11	18
4	в то же	2	16
5	о том что	4	15
6	в данном случае	3	14
7	то же время	2	14
8	к тому же	5	13
9	с одной стороны	2	9
10	с другой стороны	4	9
11	в свою очередь	2	9
12	как и в	2	8
13	с точки зрения	8	8
14	во всяком случае	2	7
15	тем не менее	4	6
16	одного и того	3	6
17	так или иначе	5	6
18	и того же	3	6
19	в этом случае	4	5
20	в самом деле	5	4
21	том что он	2	4
22	для того чтобы	7	4
23	лишь в том	5	4
24	в нашем случае	2	4
25	то ни было	3	3
26	бы то ни	3	3
27	в связи с	3	3
28	и то что	3	3
29	что же касается	2	2
30	более или менее	8	2
31	при этом что	2	2
32	а с другой	2	2
33	но и его	2	2
34	не в состоянии	3	2
35	друг с другом	9	2
36	в том и	2	2
37	заключается в том	3	2
38	что несмотря на	2	2
39	до сих пор	15	2
40	а между тем	8	2
41	на то что	7	2
