N	2gram	Vygotskiy_	slovoVRo
1	и в	33	92
2	в нем	10	59
3	может быть	15	59
4	и его	6	59
5	и не	18	51
6	не только	28	44
7	не может	31	41
8	но и	14	39
9	до конца	3	37
10	в этом	43	36
11	а не	14	34
12	во всех	3	32
13	так и	8	30
14	точки зрения	27	30
15	могут быть	7	29
16	языка и	6	29
17	в пределах	6	29
18	в его	15	27
19	слова в	3	26
20	все это	2	25
21	слово в	3	24
22	слова и	3	24
23	как бы	11	24
24	то же	12	23
25	и на	11	22
26	не в	10	21
27	в сущности	17	21
28	как в	7	21
29	вовсе не	2	21
30	в то	5	20
31	в процессе	37	20
32	прежде всего	5	19
33	как мы	20	19
34	как и	13	18
35	язык и	2	18
36	себя в	4	18
37	с ним	6	18
38	все же	5	17
39	оно не	2	17
40	все эти	9	17
41	в истории	3	17
42	в основе	12	17
43	и даже	3	17
44	таким образом	30	17
45	отличие от	3	16
46	при этом	9	16
47	в них	3	16
48	но в	9	16
49	там где	2	15
50	и с	7	15
51	в той	8	15
52	с точки	12	15
53	в отличие	3	14
54	только в	21	14
55	это не	8	13
56	и следовательно	7	13
57	точка зрения	8	13
58	с его	3	13
59	отношении к	2	13
60	и для	3	13
61	с другой	11	13
62	никогда не	10	12
63	в отношении	18	12
64	и потому	3	12
65	отношение к	12	12
66	а в	5	12
67	во всяком	4	12
68	словом и	2	12
69	и наконец	3	12
70	еще не	11	12
71	точек зрения	4	12
72	и к	7	12
73	в плане	2	11
74	один из	4	11
75	на его	4	11
76	с ними	4	11
77	одной стороны	10	11
78	в этих	7	11
79	с одной	10	11
80	для него	9	11
81	в своем	11	10
82	и их	4	10
83	в том	44	10
84	и все	2	10
85	она не	2	10
86	в себе	4	10
87	может не	3	10
88	его в	6	9
89	и от	2	9
90	одним из	4	9
91	и других	7	9
92	в основном	2	9
93	к нему	4	9
94	в их	4	9
95	в своей	5	9
96	этом случае	5	9
97	сказать что	18	9
98	так как	20	9
99	но не	13	9
100	в смысле	3	9
101	он не	13	9
102	не могут	7	8
103	в одной	2	8
104	может стать	2	8
105	в зависимости	2	8
106	в ней	2	8
107	не на	5	8
108	все время	3	8
109	с этим	9	8
110	зависимости от	3	8
111	в самом	10	8
112	всяком случае	2	8
113	том что	41	7
114	от него	3	7
115	того же	13	7
116	ту же	5	7
117	в целом	8	7
118	связи с	9	7
119	у него	8	7
120	мышления и	8	7
121	слово и	2	7
122	за пределы	4	7
123	слова к	3	7
124	но все	2	7
125	также и	2	7
126	связанные с	6	7
127	еще более	5	7
128	с которым	2	7
129	жизни и	2	7
130	кроме того	2	7
131	во всем	2	7
132	мы уже	4	7
133	ничего не	6	6
134	которые в	4	6
135	на этом	8	6
136	его язык	2	6
137	что в	33	6
138	дело с	2	6
139	в качестве	13	6
140	можно сказать	7	6
141	другой стороны	9	6
142	лежит в	5	6
143	говорить о	3	6
144	и здесь	2	6
145	стороны и	3	6
146	хотя бы	5	6
147	он в	3	6
148	именно в	8	6
149	в свою	5	6
150	себя и	2	6
151	по себе	8	6
152	в одном	3	6
153	слов и	3	6
154	между тем	5	6
155	языка не	2	5
156	слова не	2	5
157	между этими	3	5
158	не как	3	5
159	только на	3	5
160	не знает	6	5
161	не менее	4	5
162	отношению к	19	5
163	мы не	6	5
164	и по	5	5
165	почти всегда	2	5
166	в других	2	5
167	для этого	3	5
168	в данном	4	5
169	и при	4	5
170	по отношению	19	5
171	с их	4	5
172	в результате	9	5
173	и может	4	5
174	этом отношении	7	5
175	не является	7	5
176	для того	20	5
177	его и	4	5
178	должна быть	7	5
179	и более	8	5
180	на протяжении	2	5
181	не с	2	5
182	они не	7	5
183	речи в	7	5
184	о том	13	5
185	оно может	2	5
186	к его	4	5
187	той же	7	5
188	уже в	4	5
189	или даже	2	5
190	как его	2	5
191	но он	8	5
192	с помощью	32	5
193	вместе с	9	5
194	лежат в	3	4
195	в различных	3	4
196	точками зрения	2	4
197	для всех	2	4
198	к предмету	2	4
199	так же	22	4
200	его на	2	4
201	но как	6	4
202	образом в	2	4
203	и ее	2	4
204	в другом	7	4
205	что и	11	4
206	литературному языку	3	4
207	в виду	4	4
208	что он	40	4
209	он должен	9	4
210	свою очередь	4	4
211	в виде	3	4
212	влияние на	2	4
213	в частности	9	4
214	того что	34	4
215	может иметь	3	4
216	мы видели	10	4
217	до сих	3	4
218	лучшем случае	4	4
219	речи и	8	4
220	с другом	10	4
221	те же	6	4
222	его же	2	4
223	в чем	10	4
224	сознание и	2	4
225	что оно	9	4
226	тогда когда	10	4
227	не столько	3	4
228	того чтобы	26	4
229	и во	2	4
230	же как	9	4
231	те или	2	4
232	это слово	3	4
233	одно и	2	4
234	одной из	5	4
235	но это	4	4
236	дело не	2	4
237	в которой	8	4
238	и как	7	4
239	если бы	13	4
240	вообще не	5	4
241	с этой	8	4
242	в условиях	3	4
243	со всеми	2	4
244	в известной	3	4
245	сих пор	3	4
246	к тому	14	4
247	друг с	10	4
248	новые и	3	4
249	значение в	3	4
250	он может	5	4
251	и чужого	3	4
252	и другим	2	4
253	из них	6	4
254	в лучшем	3	4
255	влияния на	4	4
256	из этого	3	4
257	из него	3	4
258	как только	4	4
259	первый план	2	4
260	отношения к	2	4
261	в себя	4	4
262	по существу	5	4
263	на первый	2	4
264	как раз	5	4
265	чем он	5	4
266	в системе	4	4
267	данном случае	3	3
268	речь и	4	3
269	нисколько не	2	3
270	нуждается в	3	3
271	речи как	4	3
272	включает в	3	3
273	которого он	2	3
274	в свое	2	3
275	форм и	2	3
276	как это	11	3
277	в такой	5	3
278	на котором	3	3
279	отношением к	3	3
280	тем чем	2	3
281	в свете	4	3
282	тому что	14	3
283	в зоне	6	3
284	на том	4	3
285	не требует	3	3
286	в более	2	3
287	и те	2	3
288	между собой	17	3
289	на все	7	3
290	было бы	18	3
291	к проблеме	2	3
292	в первом	4	3
293	связи и	2	3
294	этого слова	3	3
295	в корне	2	3
296	и то	9	3
297	на всю	2	3
298	на которые	3	3
299	к этому	7	3
300	в сознании	5	3
301	из этих	2	3
302	ближайшим образом	2	3
303	в собственном	2	3
304	с каким	2	3
305	этот процесс	5	3
306	должно быть	10	3
307	другом случае	2	3
308	отличается от	2	3
309	речи но	3	3
310	собственном смысле	2	3
311	сама по	4	3
312	но уже	2	3
313	или иных	2	3
314	во второй	4	3
315	тем что	12	3
316	в связи	6	3
317	сознания в	3	3
318	и другие	13	3
319	такой же	4	3
320	нами в	4	3
321	он пользуется	2	3
322	не должны	2	3
323	этого процесса	2	3
324	или на	2	3
325	и единство	2	3
326	этими двумя	3	3
327	внутренней речи	7	3
328	тех или	2	3
329	не есть	4	3
330	в этой	8	3
331	предмета и	2	3
332	на нем	2	3
333	потому что	40	3
334	все что	2	3
335	целый ряд	5	3
336	если мы	9	3
337	и это	3	3
338	с таким	4	3
339	на всех	2	3
340	мы говорили	5	3
341	связана с	2	3
342	и тем	5	3
343	без всякого	2	3
344	тем и	2	3
345	чем в	6	3
346	на самом	3	2
347	о которых	2	2
348	но мы	7	2
349	что уже	3	2
350	без всяких	2	2
351	по своей	7	2
352	связанное с	2	2
353	и есть	8	2
354	есть не	3	2
355	речи не	4	2
356	его отношение	3	2
357	только два	3	2
358	и эти	2	2
359	это и	3	2
360	он еще	3	2
361	как он	7	2
362	так что	8	2
363	в другую	3	2
364	как уже	5	2
365	есть в	2	2
366	самого начала	8	2
367	а с	3	2
368	процесс их	2	2
369	то что	48	2
370	уже сказано	3	2
371	по своему	4	2
372	самое слово	2	2
373	эти три	2	2
374	в прошлом	2	2
375	что все	9	2
376	значение для	4	2
377	только не	7	2
378	с самого	8	2
379	к ним	2	2
380	при анализе	4	2
381	могли бы	15	2
382	которая в	3	2
383	этой точки	7	2
384	и т.п	2	2
385	между ними	5	2
386	связанная с	3	2
387	в известном	9	2
388	не умеет	6	2
389	что не	2	2
390	место в	2	2
391	для развития	9	2
392	мы видим	6	2
393	одному и	3	2
394	и самый	2	2
395	что они	8	2
396	во всей	3	2
397	случае не	2	2
398	своего развития	11	2
399	каждом шагу	3	2
400	и другими	3	2
401	от всякого	2	2
402	из одной	2	2
403	требует от	6	2
404	чем это	2	2
405	того как	6	2
406	но прежде	2	2
407	с которыми	2	2
408	к началу	5	2
409	время как	4	2
410	первом случае	2	2
411	известном смысле	7	2
412	языковых форм	2	2
413	и между	7	2
414	то в	7	2
415	то и	2	2
416	независимо от	3	2
417	и что	18	2
418	в равной	4	2
419	можно было	11	2
420	что она	3	2
421	и обратно	3	2
422	с ней	3	2
423	не нужно	2	2
424	их из	2	2
425	же в	2	2
426	но этот	3	2
427	образом с	2	2
428	на каждом	3	2
429	в области	19	2
430	и той	3	2
431	к одному	4	2
432	и которые	2	2
433	в жизни	2	2
434	у нас	4	2
435	другом в	2	2
436	совершенно не	5	2
437	без всякой	2	2
438	влиять на	3	2
439	но они	2	2
440	речь в	3	2
441	мы можем	15	2
442	в какой	8	2
443	не можем	2	2
444	заключается в	15	2
445	как известно	7	2
446	чтобы понять	2	2
447	этого общего	2	2
448	вообще в	2	2
449	речи является	2	2
450	в самых	4	2
451	на то	6	2
452	имеет два	2	2
453	что для	2	2
454	мы увидим	3	2
455	столь же	5	2
456	в котором	2	2
457	из его	2	2
458	в своих	5	2
459	в сфере	9	2
460	как с	5	2
461	основных и	2	2
462	приводит к	10	2
463	в начале	2	2
464	которые являются	2	2
465	несмотря на	3	2
466	они же	2	2
467	уже говорили	2	2
468	последнего времени	2	2
469	то время	4	2
470	и только	4	2
471	друг другу	2	2
472	в плоскости	2	2
473	в нашем	5	2
474	мы и	6	2
475	а просто	2	2
