N	2gram	Trubetskoy	RusskieA
1	и в	14	79
2	в том	17	64
3	том что	9	59
4	что в	4	57
5	не только	9	41
6	во время	2	38
7	так как	4	34
8	в этом	17	33
9	состоит в	2	32
10	как бы	4	31
11	но и	10	31
12	в других	2	30
13	как и	4	28
14	может быть	9	28
15	и на	5	28
16	одна из	3	24
17	и т	3	23
18	о том	7	23
19	при этом	5	22
20	а в	5	20
21	из них	3	19
22	все это	6	18
23	с тем	6	17
24	потому что	5	17
25	то что	13	17
26	таким образом	11	17
27	вместе с	4	17
28	во многих	2	16
29	для нас	2	14
30	и не	19	14
31	и с	7	14
32	и что	2	14
33	так что	2	13
34	и по	3	13
35	не может	22	13
36	еще не	3	13
37	уже не	2	13
38	в некоторых	2	13
39	в виде	3	12
40	между собой	5	12
41	этом случае	3	12
42	тем что	3	12
43	но это	2	11
44	его в	4	10
45	по существу	5	10
46	между тем	5	10
47	все же	4	10
48	что и	3	10
49	в течение	2	10
50	том чтобы	3	10
51	или в	3	10
52	данном случае	3	9
53	том же	2	9
54	но в	2	9
55	что они	3	9
56	то же	11	9
57	но не	4	9
58	так же	2	8
59	того что	3	8
60	в россии	6	8
61	в данном	7	8
62	на себя	2	8
63	того чтобы	8	8
64	их в	2	8
65	связи с	3	8
66	что это	3	8
67	во всех	5	8
68	ее в	2	8
69	для того	6	8
70	в этих	2	8
71	в своем	6	7
72	мы должны	7	7
73	в настоящее	2	7
74	не в	4	7
75	главным образом	3	7
76	а с	2	7
77	к нему	2	7
78	настоящее время	2	7
79	по этому	2	7
80	было бы	5	7
81	для этого	3	7
82	из этих	3	7
83	и как	3	7
84	не можем	2	7
85	только в	5	7
86	как будто	2	7
87	а не	2	7
88	в этой	4	6
89	друг друга	3	6
90	в их	4	6
91	только на	2	6
92	тому что	2	6
93	она не	2	6
94	к тому	7	6
95	в нем	5	6
96	все эти	2	6
97	в качестве	3	6
98	но она	2	6
99	и о	2	6
100	на земле	4	6
101	и более	2	6
102	приводит к	4	6
103	в таком	2	6
104	на самом	6	5
105	вопрос о	5	5
106	и потому	3	5
107	к себе	2	5
108	но если	3	5
109	тогда когда	4	5
110	что он	6	5
111	прежде всего	8	5
112	с этим	2	5
113	в то	10	5
114	для них	3	5
115	тогда как	2	5
116	не было	3	5
117	в его	4	5
118	можно было	4	5
119	только для	2	5
120	и для	6	5
121	и к	6	5
122	отнюдь не	7	5
123	с ним	2	5
124	мы уже	2	5
125	в таких	2	4
126	если в	6	4
127	и при	6	4
128	таким же	3	4
129	его и	2	4
130	и тогда	2	4
131	во всяком	9	4
132	и от	2	4
133	несмотря на	3	4
134	не просто	2	4
135	их не	2	4
136	что для	3	4
137	именно в	3	4
138	в котором	2	4
139	в своих	6	4
140	этот вопрос	2	4
141	в ней	2	4
142	всяком случае	6	4
143	вряд ли	3	4
144	во всем	4	4
145	на этой	2	4
146	никогда не	5	3
147	всех этих	3	3
148	есть и	2	3
149	или менее	4	3
150	когда они	4	3
151	что все	3	3
152	более или	4	3
153	точки зрения	11	3
154	церкви и	9	3
155	и те	2	3
156	большинстве случаев	2	3
157	в области	2	3
158	что с	2	3
159	и во	3	3
160	в своей	5	3
161	в другое	4	3
162	место в	2	3
163	вся эта	2	3
164	и то	4	3
165	совершенно очевидно	2	3
166	это в	2	3
167	по отношению	2	3
168	если бы	6	3
169	жизни в	5	3
170	сих пор	5	3
171	не к	2	3
172	на то	5	3
173	все что	4	3
174	на которой	2	3
175	из которых	5	3
176	так чтобы	3	3
177	с точки	9	3
178	сводится к	3	3
179	как на	8	3
180	в большинстве	3	3
181	быть и	2	3
182	при котором	3	3
183	до сих	5	3
184	следовательно и	2	2
185	в себе	9	2
186	от него	2	2
187	на эту	2	2
188	собой и	3	2
189	но даже	2	2
190	их к	2	2
191	в силу	2	2
192	в конце	3	2
193	и наконец	2	2
194	и тем	2	2
195	он должен	5	2
196	в частности	2	2
197	на основании	2	2
198	самом деле	7	2
199	там и	2	2
200	не так	2	2
201	всем этим	2	2
202	но мы	3	2
203	только с	2	2
204	участие в	2	2
205	к этой	4	2
206	с другом	14	2
207	людей и	2	2
208	ни одна	3	2
209	с нею	3	2
210	себя и	5	2
211	для него	6	2
212	и состоит	2	2
213	он не	5	2
214	в начале	2	2
215	должно быть	3	2
216	но совершенно	2	2
217	этом и	2	2
218	и даже	2	2
219	мы можем	2	2
220	друг с	14	2
221	россии в	7	2
222	целый ряд	2	2
223	принадлежат к	2	2
224	к вопросу	4	2
225	совершенно не	2	2
226	весь смысл	2	2
227	и является	2	2
228	что такое	2	2
229	во что	3	2
230	чтобы она	2	2
231	и если	7	2
232	по себе	2	2
233	использовать в	2	2
234	из этого	3	2
235	говорить о	3	2
236	церкви не	5	2
237	у него	2	2
238	друг другу	2	2
239	что такой	4	2
