N	2gram	Tiupa_Narr	Sotsiolo
1	в том	18	5
2	в этом	17	5
3	не только	32	3
4	и только	2	3
5	в его	9	3
6	не в	14	3
7	и в	19	3
8	это и	3	2
9	она может	2	2
10	должна быть	2	2
11	отношению к	6	2
12	по отношению	7	2
13	еще не	7	2
14	только в	4	2
15	что в	3	2
16	тем более	2	2
17	в частности	14	2
18	том что	14	2
19	было бы	4	2
20	то же	4	2
21	как будто	3	2
22	к которому	2	2
23	то что	11	2
24	как бы	4	2
25	но и	23	2
26	или даже	2	2
27	далеко не	5	2
28	может быть	25	2
29	по существу	2	2
30	в результате	2	2
