N	3gram	Tiupa_Narr	FransuaR
1	в то же	3	55
2	то же время	3	55
3	в том числе	6	27
4	в том что	8	27
5	в этом отношении	3	20
6	с точки зрения	2	20
7	о том что	6	17
8	том числе и	4	17
9	в связи с	2	16
10	то есть в	2	15
11	не может быть	5	13
12	с одной стороны	7	13
13	с другой стороны	4	12
14	можно сказать что	4	11
15	в отличие от	5	11
16	той или иной	4	10
17	в той или	2	10
18	в данном случае	4	10
19	не только в	2	10
20	в значительной степени	2	10
21	по отношению к	6	9
22	более или менее	2	8
23	можно было бы	2	7
24	подобно тому как	2	7
25	к тому же	4	6
26	но все же	4	6
27	в свою очередь	3	6
28	в первом случае	2	5
29	в основе своей	4	5
30	здесь не в	2	4
31	так же как	2	4
32	бы то ни	3	3
33	все же не	4	3
34	так и не	2	3
35	что иное как	2	3
36	не что иное	2	3
37	и не в	4	3
38	на другой день	2	2
39	в конечном счете	2	2
40	в том или	2	2
41	то ни было	3	2
42	том или ином	2	2
43	в известном смысле	2	2
44	в себя и	2	2
