N	2gram	Tiupa_Teor	Formalny
1	и в	24	95
2	и не	17	78
3	может быть	22	66
4	в этом	12	61
5	не может	8	57
6	вовсе не	3	53
7	таким образом	3	52
8	и его	11	51
9	так и	14	50
10	точки зрения	11	47
11	в нем	7	42
12	в его	12	42
13	прежде всего	3	41
14	с точки	3	40
15	как и	6	39
16	художественного произведения	5	36
17	не в	9	35
18	в самом	7	35
19	а не	14	34
20	но и	14	33
21	то же	12	32
22	самом деле	2	32
23	истории литературы	2	31
24	не только	24	30
25	в пределах	5	28
26	в том	20	26
27	отнюдь не	3	26
28	если бы	3	26
29	то что	6	25
30	при этом	20	24
31	в своей	8	24
32	лишь в	10	24
33	на почве	5	24
34	связи с	3	23
35	в то	9	22
36	и ее	4	22
37	как бы	8	21
38	что в	10	21
39	в их	4	20
40	не менее	6	20
41	между ними	6	20
42	входит в	4	20
43	же время	8	20
44	место в	7	20
45	не могут	2	19
46	все это	2	19
47	художественное произведение	3	19
48	по себе	2	19
49	все эти	3	18
50	в связи	3	18
51	с его	6	18
52	только в	9	18
53	как в	5	17
54	как раз	3	17
55	так же	2	16
56	в искусстве	9	16
57	с другой	9	16
58	потому что	3	16
59	его в	4	15
60	но в	12	15
61	в поэзии	2	15
62	с другими	6	15
63	во всех	3	15
64	в литературе	4	15
65	именно в	3	15
66	и на	2	15
67	что он	4	14
68	только на	2	14
69	в целом	4	14
70	в ее	6	14
71	в своем	7	14
72	еще не	6	14
73	в жизни	3	14
74	в этой	3	14
75	если мы	2	14
76	и потому	3	14
77	вместе с	2	14
78	со стороны	6	13
79	того что	5	13
80	а в	15	13
81	могут быть	5	13
82	что и	2	13
83	сводится к	12	13
84	ни в	5	13
85	по отношению	10	12
86	как это	10	12
87	того чтобы	5	12
88	и здесь	2	12
89	к тому	4	12
90	отношению к	10	12
91	и для	3	12
92	оно не	2	12
93	уже не	6	12
94	никогда не	4	11
95	это и	2	11
96	литературного произведения	11	11
97	в основе	6	11
98	в большинстве	2	11
99	но не	13	11
100	то ни	2	11
101	что они	2	11
102	для него	5	11
103	между тем	5	11
104	и др	3	10
105	в художественном	5	10
106	бы то	2	10
107	другой стороны	6	10
108	о литературе	3	10
109	с ее	4	10
110	не является	5	10
111	в первом	2	10
112	и как	3	10
113	материала в	2	10
114	он не	5	10
115	на фоне	2	10
116	в слове	4	10
117	тем же	2	10
118	быть и	2	9
119	для понимания	2	9
120	здесь не	2	9
121	или иного	6	9
122	и даже	2	9
123	у нас	2	9
124	не могло	2	9
125	от всех	2	9
126	в свою	4	9
127	ни было	2	9
128	языка в	4	9
129	говорить о	4	9
130	отношения к	4	9
131	это не	4	8
132	была бы	3	8
133	между собой	3	8
134	одной стороны	3	8
135	в них	2	8
136	с одной	3	8
137	без исключения	4	8
138	в области	7	8
139	в данном	9	8
140	и является	2	8
141	должен быть	2	8
142	и к	3	8
143	роль в	3	8
144	в сторону	3	8
145	для того	5	8
146	не следует	4	8
147	на основе	2	8
148	том что	11	7
149	в себе	14	7
150	свою очередь	3	7
151	как к	5	7
152	или менее	6	7
153	более или	6	7
154	во втором	3	7
155	не входит	2	7
156	не на	4	7
157	известной степени	3	7
158	сказать что	4	7
159	говорит в	2	7
160	того или	6	7
161	жизни в	2	7
162	литературы как	3	7
163	в какой	2	7
164	столь же	3	7
165	искусства в	5	7
166	только и	2	7
167	он и	2	7
168	в той	2	7
169	данном случае	5	6
170	тем самым	6	6
171	в которой	3	6
172	в конце	2	6
173	отношение к	7	6
174	на этом	2	6
175	и тем	5	6
176	в частности	23	6
177	в формах	2	6
178	так в	4	6
179	и это	2	6
180	тому что	2	6
181	в этих	4	6
182	художественного восприятия	4	6
183	к действительности	3	6
184	один из	2	6
185	этого слова	4	6
186	литературных произведений	5	6
187	ее в	2	6
188	к его	3	6
189	из этих	3	6
190	за пределы	2	6
191	отличается от	2	6
192	искусства и	3	6
193	например в	3	6
194	о том	2	6
195	по преимуществу	5	6
196	их в	3	6
197	в произведении	3	6
198	произведения искусства	4	6
199	только не	3	6
200	даже в	3	5
201	между которыми	3	5
202	до известной	2	5
203	к которому	3	5
204	в виду	5	5
205	роли в	5	5
206	может и	2	5
207	отличие от	7	5
208	одной из	2	5
209	а только	4	5
210	в отличие	7	5
211	в значительной	2	5
212	и по	3	5
213	можно сказать	5	5
214	из виду	2	5
215	хотя и	4	5
216	и то	3	5
217	если в	2	5
218	не от	2	5
219	значительной степени	2	5
220	то в	2	5
221	не столько	7	5
222	в мире	26	5
223	высказывания и	2	5
224	с этой	3	5
225	к нему	2	5
226	в самой	2	5
227	слова в	4	5
228	в отношении	4	5
229	приводит к	6	5
230	этом смысле	3	5
231	тому как	3	5
232	и что	4	5
233	в нашем	4	5
234	чтобы не	2	4
235	и притом	3	4
236	или даже	4	4
237	а на	3	4
238	одним из	3	4
239	он должен	3	4
240	высказывания как	2	4
241	в романе	3	4
242	на котором	2	4
243	идет о	2	4
244	произведение искусства	12	4
245	между двумя	3	4
246	что каждый	2	4
247	соединении с	2	4
248	того же	4	4
249	не будет	3	4
250	или в	3	4
251	во всей	3	4
252	имеет место	3	4
253	могла бы	2	4
254	тем не	3	4
255	сама по	2	4
256	превращается в	2	4
257	тот или	3	4
258	в таком	3	4
259	и другие	2	4
260	и о	5	4
261	отношении к	4	4
262	ценностный центр	2	4
263	подобно тому	3	4
264	слова как	3	4
265	что такое	2	4
266	или иначе	6	4
267	роман и	2	4
268	значения и	2	4
269	об искусстве	2	4
270	совпадает с	4	4
271	в литературной	2	4
272	к другому	2	4
273	в художественной	3	4
274	перед нами	3	3
275	к одному	2	3
276	или иной	7	3
277	для всех	2	3
278	а и	5	3
279	в каком	2	3
280	одну из	2	3
281	противном случае	2	3
282	внутренней речи	13	3
283	с художественной	3	3
284	воздействия на	2	3
285	не всегда	2	3
286	в году	2	3
287	вступает в	2	3
288	вследствие этого	2	3
289	и иных	2	3
290	но как	2	3
291	так или	5	3
292	речи и	4	3
293	состоит в	22	3
294	числе и	2	3
295	к своему	2	3
296	в качестве	33	3
297	как совокупность	3	3
298	тем более	2	3
299	дело в	2	3
300	это было	2	3
301	не сводится	9	3
302	во второй	7	3
303	том числе	3	3
304	мира в	3	3
305	художественного целого	4	3
306	сознания в	2	3
307	в чем	2	3
308	в форме	4	3
309	в контексте	3	3
310	литература как	2	3
311	не с	3	3
312	вытекает из	2	3
313	в одном	3	3
314	а именно	3	3
315	и прежде	2	3
316	со своей	4	3
317	в системе	2	3
318	с их	2	3
319	в противном	2	3
320	и особенно	2	3
321	не просто	2	3
322	как система	2	3
323	художественного творчества	5	3
324	но он	4	3
325	во времени	4	2
326	о чем	3	2
327	формы высказывания	2	2
328	человека и	2	2
329	ними и	2	2
330	всех без	3	2
331	искусства как	2	2
332	в другом	4	2
333	к более	2	2
334	не могли	2	2
335	его организации	3	2
336	не знает	4	2
337	а с	3	2
338	как художественное	2	2
339	на языке	3	2
340	в точке	3	2
341	высказывания в	5	2
342	общения между	2	2
343	мира и	4	2
344	с читателем	3	2
345	мы имеем	7	2
346	этой точки	2	2
347	однако в	7	2
348	в следующей	2	2
349	мы в	2	2
350	в силу	4	2
351	тем или	2	2
352	с ними	2	2
353	при всем	2	2
354	о ней	3	2
355	заключается в	2	2
356	и некоторые	2	2
357	никто не	3	2
358	который в	2	2
359	в первой	6	2
360	жизни а	2	2
361	в структуре	2	2
362	во внешнем	2	2
363	художественная реальность	2	2
364	но она	2	2
365	особого рода	7	2
366	мышления и	3	2
367	одно и	2	2
368	ту или	2	2
369	что она	2	2
370	в душе	9	2
371	себя в	7	2
372	дело не	2	2
373	но напротив	2	2
374	художественное целое	2	2
375	той или	3	2
376	языка на	2	2
377	форм высказывания	2	2
378	и вот	3	2
379	совершенно иной	2	2
380	героя и	6	2
381	времени и	2	2
382	даль и	2	2
383	а для	2	2
384	ни к	3	2
385	взаимодействия людей	2	2
386	ни для	2	2
387	далеко не	4	2
388	всей его	2	2
389	автора и	2	2
390	в принципе	7	2
391	жизни но	2	2
392	или иных	3	2
393	строго говоря	2	2
394	облекается в	2	2
395	имеем в	3	2
396	таком случае	2	2
397	этих двух	2	2
398	несмотря на	2	2
399	тех или	3	2
400	для искусства	2	2
401	и того	4	2
402	чем это	2	2
403	данный момент	2	2
404	события в	2	2
405	внутреннего мира	2	2
