N	3gram	Propp_Isto	Marksizm
1	не может быть	8	25
2	по отношению к	6	15
3	в связи с	5	14
4	в том что	6	14
5	бы то ни	2	12
6	то ни было	2	12
7	до сих пор	11	11
8	с самого начала	4	10
9	в отличие от	3	10
10	в большинстве случаев	4	9
11	то же самое	3	8
12	с другой стороны	7	7
13	на самом деле	2	6
14	на то что	5	6
15	с одной стороны	7	6
16	в этом случае	3	5
17	мы уже знаем	3	4
18	о том что	5	4
19	в зависимости от	3	4
20	но все же	7	4
21	тем не менее	7	3
22	более или менее	5	3
23	и тот же	2	3
24	друг с другом	3	3
25	мы не будем	4	3
26	можно было бы	5	3
27	на этот вопрос	2	3
28	не только в	5	3
29	но и в	4	3
30	один и тот	2	3
31	этот вопрос мы	2	3
32	само по себе	2	2
33	так же как	6	2
34	вопрос о том	2	2
35	что он не	4	2
36	уже с самого	2	2
37	как мы увидим	2	2
38	мы видели что	3	2
39	обстоит дело с	2	2
40	с тем что	3	2
41	со всех сторон	4	2
