N	2gram	Losev_Dial	KulturaY
1	и т	31	143
2	т е	49	102
3	т п	3	93
4	и в	35	84
5	в том	20	74
6	потому что	23	68
7	не только	26	60
8	точки зрения	25	59
9	в этом	18	57
10	было бы	14	53
11	и не	51	52
12	может быть	30	47
13	том что	18	44
14	что в	19	44
15	т д	28	42
16	для того	2	41
17	в самом	6	41
18	самом деле	6	37
19	хотя бы	6	37
20	так как	24	36
21	с точки	18	36
22	в области	2	34
23	таким образом	5	33
24	а не	24	33
25	можно было	5	32
26	если бы	12	32
27	не в	12	30
28	прежде всего	14	30
29	в его	4	30
30	и пр	7	30
31	все же	9	29
32	того что	6	28
33	не менее	5	28
34	все эти	4	28
35	в силу	6	26
36	уже не	3	26
37	не может	16	25
38	то что	25	25
39	вовсе не	19	25
40	вопрос о	3	24
41	еще не	4	24
42	с другой	10	24
43	так и	18	23
44	то же	21	23
45	только в	7	23
46	тем не	3	21
47	во всяком	5	20
48	но и	17	20
49	по себе	39	20
50	и что	17	20
51	что он	16	19
52	но в	8	19
53	зависимости от	2	19
54	тем что	2	19
55	о том	8	19
56	всяком случае	3	19
57	что же	5	19
58	между тем	3	18
59	связи с	3	18
60	все это	14	18
61	в качестве	2	18
62	к тому	6	18
63	с тем	2	18
64	в сущности	2	18
65	как бы	19	18
66	и с	10	18
67	вместе с	3	18
68	это не	18	17
69	как раз	7	17
70	как это	8	17
71	можно говорить	2	17
72	что это	21	17
73	другой стороны	7	17
74	в той	4	17
75	в виду	9	16
76	ничего не	19	16
77	в зависимости	2	16
78	что не	13	16
79	что и	7	16
80	но не	9	16
81	и тем	2	15
82	один из	3	15
83	только потому	4	15
84	а в	8	15
85	при этом	2	15
86	того как	3	15
87	в данном	5	15
88	должно быть	7	15
89	ни к	2	15
90	именно в	4	15
91	не было	7	15
92	в них	4	14
93	в связи	3	14
94	хотя и	4	14
95	я не	9	14
96	как мы	5	14
97	сказать что	19	14
98	мы имеем	4	14
99	сих пор	4	14
100	также и	7	14
101	что такое	13	14
102	если мы	3	14
103	в ней	4	14
104	до сих	4	14
105	не могут	4	13
106	это и	6	13
107	по существу	2	13
108	крайней мере	11	13
109	что она	18	13
110	по крайней	11	13
111	в этой	3	13
112	в которых	2	13
113	и его	6	13
114	для этого	2	12
115	с этой	3	12
116	как в	3	12
117	а только	5	12
118	тогда когда	6	12
119	могут быть	6	12
120	в результате	2	12
121	говорить о	9	12
122	ясно что	11	12
123	еще и	4	11
124	или иной	4	11
125	должен быть	2	11
126	в их	5	11
127	в своем	7	11
128	на себе	3	11
129	из этих	2	11
130	должна быть	5	11
131	в нем	25	11
132	этом отношении	2	11
133	совершенно не	13	11
134	и то	15	11
135	в какой	3	11
136	и если	5	11
137	уже в	5	11
138	он не	5	11
139	в каком	10	10
140	так же	6	10
141	в то	10	10
142	к этому	2	10
143	со стороны	2	10
144	они не	3	10
145	в общем	2	10
146	как и	10	10
147	речь идет	2	10
148	бы и	4	10
149	с этим	5	10
150	тем более	2	10
151	бы в	3	10
152	несмотря на	12	10
153	в особенности	6	10
154	от того	2	10
155	этом смысле	4	10
156	конечно не	9	10
157	не просто	19	10
158	не потому	5	9
159	то мы	2	9
160	что все	2	9
161	и для	2	9
162	в своей	9	9
163	можно сказать	10	9
164	дает нам	2	9
165	но это	12	9
166	в которой	3	9
167	но уже	3	9
168	и вот	10	9
169	не имеет	15	9
170	на то	5	9
171	ни в	20	9
172	но для	2	9
173	мы говорим	6	9
174	что мы	3	9
175	и есть	20	9
176	на самом	5	8
177	в первую	2	8
178	в частности	4	8
179	мере в	3	8
180	только тогда	9	8
181	тех пор	2	8
182	а потому	3	8
183	что на	2	8
184	в чем	9	8
185	убедиться что	2	8
186	с одной	4	8
187	и о	4	8
188	в тех	2	8
189	что они	8	8
190	да и	11	8
191	само по	7	8
192	то и	3	8
193	независимо от	2	8
194	и как	14	8
195	об этом	7	8
196	в этих	6	8
197	тому что	4	8
198	смысл и	6	8
199	заключается в	4	8
200	но все	5	8
201	далеко не	2	8
202	что я	5	8
203	не есть	67	8
204	отнюдь не	13	8
205	в таком	4	8
206	тому же	3	8
207	же в	2	8
208	в поэзии	8	7
209	как он	5	7
210	и потому	6	7
211	была бы	4	7
212	не знает	2	7
213	а с	2	7
214	как например	2	7
215	она не	10	7
216	следует что	2	7
217	одной стороны	3	7
218	нисколько не	7	7
219	с ними	4	7
220	при чем	2	7
221	но вот	5	7
222	например в	2	7
223	никак не	6	7
224	когда мы	3	7
225	как о	2	7
226	же и	11	7
227	все равно	7	7
228	а именно	3	7
229	что касается	3	7
230	и более	7	7
231	и должно	3	7
232	есть в	2	7
233	в котором	5	7
234	когда он	2	7
235	с ним	9	7
236	в одном	4	7
237	только как	3	7
238	во внимание	2	7
239	не значит	6	7
240	учение о	11	7
241	даже в	6	6
242	перед нами	3	6
243	содержание и	2	6
244	она есть	12	6
245	в себе	23	6
246	нуждается в	6	6
247	говоря о	2	6
248	на этом	4	6
249	е в	3	6
250	это конечно	5	6
251	были бы	3	6
252	это только	3	6
253	не всегда	2	6
254	может иметь	6	6
255	от этого	5	6
256	можно ли	3	6
257	гораздо более	3	6
258	этой точки	2	6
259	что оно	9	6
260	в ее	3	6
261	должны быть	2	6
262	что с	2	6
263	той или	11	6
264	в каком-то	5	6
265	что эти	3	6
266	в корне	2	6
267	как будто	7	6
268	что если	4	6
269	только то	7	6
270	то это	6	6
271	же это	6	6
272	за пределы	4	6
273	дело не	3	6
274	отличается от	3	6
275	что как	2	6
276	или в	2	6
277	если и	2	6
278	же время	9	6
279	но только	6	6
280	не с	5	6
281	я в	3	6
282	только что	5	6
283	оно не	2	6
284	главным образом	2	6
285	то или	5	6
286	или иное	5	6
287	чтобы не	6	6
288	что именно	3	6
289	в сфере	2	6
290	тем же	3	6
291	никогда не	18	5
292	в каких	2	5
293	в отношении	5	5
294	к его	2	5
295	как же	8	5
296	и к	8	5
297	мы должны	6	5
298	относится к	2	5
299	в другом	6	5
300	а это	2	5
301	в конце	5	5
302	но если	6	5
303	и у	2	5
304	здесь как	2	5
305	и при	3	5
306	в современной	2	5
307	или менее	5	5
308	так что	21	5
309	по своему	4	5
310	думаю что	4	5
311	более или	5	5
312	учения о	2	5
313	что поэзия	5	5
314	даже и	3	5
315	широком смысле	2	5
316	также что	2	5
317	но как	7	5
318	не то	9	5
319	то не	4	5
320	и тогда	4	5
321	и от	5	5
322	из того	2	5
323	и он	6	5
324	и еще	4	5
325	всех этих	4	5
326	не как	4	5
327	и даже	23	5
328	как не	4	5
329	я и	3	5
330	кроме того	2	5
331	превращается в	2	5
332	у него	2	5
333	лишь как	3	5
334	отношение к	5	5
335	то он	2	5
336	очень много	4	5
337	и является	2	5
338	о котором	2	5
339	еще более	3	5
340	или иначе	3	5
341	есть не	8	5
342	но что	10	5
343	и их	5	5
344	только не	2	5
345	мы в	2	5
346	точка зрения	3	5
347	только о	3	5
348	и только	5	5
