N	2gram	Bakhtin_KF	formyVre
1	и в	28	148
2	в этом	15	73
3	в нем	32	51
4	прежде всего	4	46
5	и не	28	37
6	в его	42	36
7	и его	18	36
8	вовсе не	7	35
9	но и	9	33
10	то же	5	32
11	не только	5	32
12	но в	5	31
13	жизни и	8	31
14	так и	2	29
15	может быть	45	27
16	не в	13	26
17	как и	5	25
18	как бы	9	25
19	точки зрения	13	24
20	в то	3	23
21	времени и	4	23
22	только в	18	23
23	то что	7	22
24	в том	6	22
25	жизни в	5	21
26	все эти	11	21
27	во всех	11	21
28	же время	2	21
29	в своем	17	19
30	и для	10	19
31	и на	3	19
32	и все	9	18
33	еще не	5	18
34	человека и	3	17
35	при этом	4	17
36	все же	5	16
37	в основе	5	16
38	не может	29	16
39	и их	6	16
40	никогда не	5	15
41	лишь в	8	15
42	в одном	5	15
43	с точки	10	15
44	с его	2	15
45	его жизни	3	14
46	все это	10	14
47	всех этих	3	14
48	и как	2	14
49	а не	17	14
50	в их	9	13
51	а в	5	13
52	того чтобы	2	13
53	для того	3	13
54	как в	2	13
55	в котором	24	13
56	с ним	5	13
57	ничего не	3	12
58	отнюдь не	7	12
59	не было	8	12
60	конечно не	7	12
61	но не	12	12
62	потому что	2	12
63	он не	6	12
64	что в	4	12
65	его в	5	11
66	в ней	3	11
67	ни в	12	11
68	мира и	4	11
69	этом мире	2	10
70	здесь не	3	10
71	в ее	17	10
72	тот же	3	10
73	входит в	4	10
74	уже не	7	10
75	и того	2	10
76	на основе	7	10
77	могут быть	3	9
78	одного и	2	9
79	к себе	2	9
80	и других	2	9
81	жизнь и	2	9
82	том что	4	9
83	должно быть	6	9
84	мира в	6	9
85	та же	3	9
86	и это	12	9
87	для него	13	9
88	но все	6	9
89	оно не	2	9
90	здесь нет	3	9
91	до конца	3	8
92	это не	10	8
93	или иной	2	8
94	для себя	7	8
95	и потому	2	8
96	отношение к	6	8
97	в целом	10	8
98	один из	2	8
99	что и	7	8
100	здесь мы	4	8
