N	3gram	Bakhtin_Fr	Problema
1	о том что	4	39
2	в том что	4	37
3	в связи с	2	29
4	с точки зрения	4	25
5	с другой стороны	2	25
6	в конце концов	5	23
7	сам по себе	2	21
8	то есть в	6	17
9	в то же	12	17
10	до сих пор	3	14
11	можно было бы	2	13
12	дело в том	2	11
13	с одной стороны	3	11
14	более или менее	3	10
15	в том или	2	7
16	но и в	2	7
17	мы находим в	2	7
18	о том как	3	7
19	так и в	3	6
20	и в его	2	6
21	то что в	2	6
22	на первый план	2	6
23	в самом деле	3	6
24	в этом отношении	3	6
25	свидетельствует о том	2	5
26	имеем в виду	2	5
27	и прежде всего	2	5
28	а также и	3	5
29	в литературе и	2	5
30	том или ином	2	5
31	в том числе	4	5
32	как мы видели	4	4
33	то есть только	2	4
34	в себе все	2	4
35	том числе и	2	4
36	как мы уже	4	4
37	но уже в	2	3
38	после того как	6	3
39	но в то	3	3
40	хотя и в	2	3
41	как и в	2	3
42	в чем же	2	3
43	и все они	2	3
44	за то что	4	3
45	то есть с	2	3
46	как мы увидим	2	3
47	и есть то	2	3
48	мы уже видели	2	3
49	мы имеем в	2	2
50	о котором мы	4	2
51	по отношению к	3	2
52	и в литературе	2	2
53	а следовательно и	2	2
54	и до наших	2	2
55	одним из самых	2	2
56	все эти образы	3	2
57	в свою очередь	3	2
58	таким образом в	2	2
59	мы уже сказали	2	2
