N	3gram	Trubetskoy	formyVre
1	то же время	2	21
2	в то же	2	18
3	в связи с	3	15
4	с точки зрения	8	15
5	друг с другом	9	13
6	для того чтобы	7	12
7	до сих пор	15	10
8	одного и того	3	9
9	и того же	3	9
10	не может быть	4	7
11	с одной стороны	2	6
12	во всех этих	2	6
13	друг от друга	6	6
14	в том же	3	6
15	в том что	16	5
16	как и в	2	5
17	в то время	2	5
18	может быть и	4	4
19	в этом случае	4	4
20	друг на друга	2	4
21	с другой стороны	4	4
22	о которых мы	4	4
23	но все же	2	4
24	во всяком случае	2	4
25	по отношению к	11	4
26	друг к другу	2	3
27	а следовательно и	2	3
28	о том что	4	3
29	вместе с тем	3	3
30	из того же	2	3
31	так же как	3	3
32	между этими двумя	2	3
33	по сравнению с	5	3
34	начало и конец	4	2
35	в нашем случае	2	2
36	в данном случае	3	2
37	как и все	2	2
38	к тому же	5	2
39	совершенно так же	4	2
40	в свою очередь	2	2
