N	3gram	Propp_Morf	Psycholo
1	в том что	4	78
2	для того чтобы	3	70
3	на то что	3	55
4	о том что	3	34
5	с точки зрения	6	29
6	с одной стороны	2	28
7	не может быть	9	23
8	и т д	60	22
9	к тому что	4	20
10	с другой стороны	5	20
11	мы увидим что	2	19
12	на самом деле	4	17
13	мы видим что	11	16
14	во всяком случае	2	14
15	в этом отношении	2	14
16	в то время	3	14
17	можно было бы	2	13
18	то время как	3	13
19	то что в	2	11
20	подобно тому как	5	11
21	в том случае	3	9
22	в данном случае	2	9
23	точно так же	2	9
24	и таким образом	2	8
25	том случае если	2	7
26	состоит в том	3	7
27	как и в	3	7
28	более или менее	2	6
29	тем не менее	6	6
30	не что иное	2	6
31	что иное как	2	6
32	друг к другу	2	6
33	образом мы видим	4	5
34	в собственном смысле	3	5
35	о том как	2	5
36	таким образом мы	7	4
37	не значит что	3	4
38	вопрос о том	2	4
39	но так как	2	4
40	в настоящее время	3	4
41	собственном смысле слова	3	4
42	бы то ни	3	3
43	он может быть	2	3
44	может быть и	2	3
45	а вовсе не	2	3
46	в этом случае	10	3
47	не могут быть	4	3
48	по отношению к	7	3
49	говорить о том	2	3
50	оно может быть	2	3
51	мы имеем в	2	2
52	в первом случае	3	2
53	но никто не	2	2
54	дело не в	2	2
55	к вопросу о	2	2
56	мы приходим к	3	2
57	которое может быть	2	2
58	то ни было	2	2
59	в тех случаях	2	2
60	мы увидим ниже	6	2
61	в связи с	9	2
62	хотя и не	2	2
63	если мы не	3	2
64	это еще не	2	2
65	должны рассматриваться как	2	2
66	как мы увидим	5	2
67	если это так	2	2
68	и тем не	2	2
69	это и не	2	2
