N	2gram	Medvedev_V	Stilisti
1	и в	26	42
2	как бы	5	30
3	не только	26	28
4	прежде всего	13	22
5	хотя бы	20	18
6	то же	10	16
7	но и	10	16
8	и не	20	14
9	не может	17	13
10	может быть	23	13
11	как и	7	12
12	точки зрения	3	11
13	что мы	2	11
14	в себе	6	10
15	и как	3	10
16	отнюдь не	4	10
17	в этом	29	10
18	в то	6	9
19	для того	3	9
20	все же	6	9
21	то что	7	9
22	с тем	4	8
23	в ней	2	8
24	таким образом	32	8
25	с его	4	8
26	никогда не	5	7
27	и от	3	7
28	в которой	2	7
29	зависимости от	5	7
30	же время	5	7
31	так и	6	7
32	только в	8	7
33	а не	7	7
34	того чтобы	3	7
35	в зависимости	6	7
36	было бы	8	7
37	и его	6	7
38	или иной	2	6
39	бы в	3	6
40	во всех	7	6
41	не в	6	6
42	в области	2	6
43	в конце	3	6
44	в нем	7	6
45	в процессе	17	6
46	в его	15	6
47	в форме	3	6
48	в этой	4	6
49	того или	2	5
50	в сознании	4	5
51	не является	5	5
52	и наконец	2	5
53	и их	3	5
54	как это	12	5
55	мы видели	3	5
56	тому что	7	5
57	а в	3	5
58	но в	2	5
59	в самом	4	5
60	же самое	2	5
61	художественного творчества	19	5
62	вместе с	8	5
63	да и	2	4
64	в одном	5	4
65	так же	3	4
66	так сказать	2	4
67	на это	2	4
68	его в	3	4
69	на него	2	4
70	если бы	3	4
71	лишь в	2	4
72	у нас	3	4
73	того что	3	4
74	так называемые	3	4
75	можно было	2	4
76	один из	6	4
77	в каждом	2	4
78	к тому	5	4
79	о том	10	4
80	что такое	2	4
81	и к	3	4
82	в целом	5	4
83	это высказывание	2	4
84	было в	2	4
85	все это	13	4
86	в качестве	12	4
87	можно сказать	4	4
88	в слове	3	4
89	сказать что	5	3
90	это не	7	3
91	том что	8	3
92	а к	2	3
93	но для	2	3
94	перед нами	5	3
95	о своем	2	3
96	об этом	9	3
97	и даже	2	3
98	от того	2	3
99	роль в	4	3
100	конце концов	2	3
101	в виду	4	3
102	в том	15	3
103	в частности	12	3
104	у них	2	3
105	еще не	2	3
106	для него	9	3
107	не с	2	3
108	и для	2	3
109	нет и	3	3
110	видели что	3	3
111	что у	3	3
112	в котором	3	3
113	их в	7	3
114	короче говоря	2	3
115	что оно	3	3
116	муки слова	4	3
117	между ними	3	3
118	из которых	2	3
119	главным образом	7	3
120	из них	11	3
121	представить себе	2	3
122	художественное творчество	6	3
123	хотя и	2	3
124	жизни и	3	3
125	что и	3	3
126	в ее	4	3
127	все эти	8	3
128	связи с	5	3
129	но вот	2	3
130	между тем	6	3
131	еще и	2	2
132	очевидно что	7	2
133	одном и	2	2
134	на эти	2	2
135	и потому	2	2
136	как например	2	2
137	которые в	2	2
138	с этим	3	2
139	слова не	2	2
140	относится к	2	2
141	с другими	2	2
142	в нашей	4	2
143	мы имеем	3	2
144	из этих	7	2
145	но как	3	2
146	человека и	3	2
147	бы и	6	2
148	но даже	3	2
149	должно быть	2	2
150	деятельности человека	3	2
151	к этому	9	2
152	классовой борьбы	2	2
153	по отношению	7	2
154	ли не	2	2
155	должен быть	4	2
156	человека в	2	2
157	бы не	2	2
158	этом отношении	14	2
159	в их	5	2
160	том же	6	2
161	не всегда	2	2
162	в значительной	3	2
163	и при	5	2
164	что он	4	2
165	и сам	2	2
166	всех его	2	2
167	отношению к	7	2
168	себе и	2	2
169	сих пор	2	2
170	его не	3	2
171	в пределах	5	2
172	при всем	3	2
173	точном смысле	2	2
174	чуть ли	2	2
175	одной из	2	2
176	в жизни	2	2
177	но не	2	2
178	и этот	2	2
179	также и	2	2
180	с чрезвычайной	2	2
181	он говорит	5	2
182	равно как	4	2
183	зависит от	2	2
184	в точном	2	2
185	в своих	2	2
186	даже и	3	2
187	ту же	2	2
188	в реальной	2	2
189	этот вопрос	3	2
190	в которых	3	2
191	ни один	8	2
192	и он	3	2
193	о чем	2	2
194	для них	2	2
195	действительной жизни	3	2
196	не было	7	2
197	и том	2	2
198	в своей	4	2
199	или в	3	2
200	в связи	4	2
201	он не	2	2
202	эти вопросы	2	2
203	вовсе не	3	2
204	этот процесс	3	2
205	оно является	2	2
206	объективной действительности	19	2
