N	3gram	Voloshinov	DiskursI
1	в том что	9	28
2	в отличие от	2	26
3	по отношению к	11	17
4	с одной стороны	2	14
5	не может быть	14	12
6	в данном случае	4	12
7	то же время	6	10
8	о том что	3	9
9	в то же	6	8
10	в этом отношении	4	8
11	так и в	3	6
12	с точки зрения	15	6
13	в конечном счете	3	6
14	то же самое	2	5
15	что же касается	3	5
16	и может быть	2	5
17	в свою очередь	4	5
18	и прежде всего	7	4
19	тем не менее	4	4
20	а с другой	2	4
21	можно сказать что	5	4
22	и не может	3	4
23	сказать и о	2	4
24	это прежде всего	2	3
25	в своей основе	4	3
26	во всяком случае	8	3
27	во внешнем мире	4	3
28	то ни было	2	2
29	бы то ни	3	2
30	и той же	3	2
31	как мы видели	8	2
32	все то что	3	2
33	в предыдущей главе	2	2
34	далеко не всегда	3	2
35	точка зрения на	2	2
36	а также и	2	2
37	в большинстве случаев	5	2
38	с самого начала	5	2
39	одной и той	3	2
40	только то что	3	2
