N	3gram	Tiupa_Narr	Psycholo
1	в том что	11	78
2	для того чтобы	4	70
3	на то что	2	55
4	в самом деле	3	51
5	и т п	2	37
6	о том что	3	34
7	то же самое	3	31
8	с точки зрения	2	29
9	с одной стороны	5	28
10	до сих пор	3	23
11	не может быть	6	23
12	к тому что	4	20
13	не только не	2	16
14	в зависимости от	3	15
15	во всяком случае	2	14
16	в этом отношении	5	14
17	заключает в себе	2	13
18	в конечном счете	4	11
19	подобно тому как	4	11
20	сами по себе	2	10
21	в данном случае	12	9
22	в отличие от	6	9
23	точно так же	2	9
24	и то же	2	8
25	речь идет о	3	8
26	а с другой	2	7
27	состоит в том	5	7
28	в свою очередь	2	7
29	можно сказать что	5	7
30	одно и то	2	7
31	на то чтобы	2	7
32	более или менее	2	6
33	тем не менее	6	6
34	того или иного	3	6
35	не только в	12	6
36	что у него	2	6
37	как бы в	2	5
38	как раз в	3	5
39	как если бы	2	5
40	к тому же	8	4
41	и не может	3	4
42	одного и того	2	4
43	внимание на то	2	4
44	а в том	2	4
45	и того же	2	4
46	в то же	7	3
47	по отношению к	5	3
48	может быть не	2	3
49	то же время	7	3
50	тому что он	2	3
51	характеры действующих лиц	2	3
52	в том как	2	3
53	едва ли не	2	3
54	дело в том	2	3
55	той или иной	6	2
56	в первом случае	3	2
57	но при этом	3	2
58	имеем дело с	4	2
59	в ответ на	3	2
60	и все же	4	2
61	но и в	4	2
62	в связи с	3	2
63	хотя и не	2	2
64	которая не может	2	2
65	но и на	2	2
66	тем или иным	2	2
67	и тем самым	6	2
68	мы имеем дело	4	2
