N	2gram	Trubetskoy	Mirosoze
1	и в	14	97
2	может быть	9	64
3	не только	9	63
4	в этом	17	55
5	но и	10	54
6	он не	5	53
7	а не	2	53
8	в нем	5	49
9	не может	22	49
10	у него	2	47
11	во имя	5	39
12	и не	19	39
13	никогда не	5	38
14	потому что	5	37
15	в ней	2	37
16	не было	3	36
17	не в	4	34
18	и есть	2	33
19	для него	6	31
20	не есть	3	30
21	прежде всего	8	29
22	как и	4	29
23	но в	2	27
24	в мире	4	27
25	в своей	5	25
26	в своем	6	23
27	что в	4	23
28	что он	6	22
29	в самом	3	21
30	в себе	9	20
31	в россии	6	19
32	как бы	4	19
33	в его	4	18
34	и потому	3	17
35	того что	3	17
36	любви к	2	17
37	в том	17	16
38	том что	9	16
39	то что	13	16
40	было бы	5	16
41	на земле	4	16
42	в этой	4	15
43	в котором	2	15
44	в конце	3	14
45	она не	2	14
46	так как	4	14
47	к отрицанию	2	14
48	и вот	2	13
49	друг друга	3	13
50	и на	5	13
51	к нему	2	12
52	все это	6	12
53	– не	2	12
54	но не	4	12
55	он сам	3	12
56	с тем	6	11
57	любовь к	2	11
58	но это	2	11
59	хотя бы	5	11
60	только в	5	11
61	и для	6	11
62	уже не	2	11
63	и к	6	11
64	жизни и	4	11
65	не могут	4	10
66	так же	2	10
67	должна быть	2	10
68	то же	11	10
69	есть и	2	9
70	а в	5	9
71	к тому	7	9
72	не будет	7	9
73	что и	3	9
74	и во	3	9
75	должно быть	3	9
76	все что	4	9
77	с ним	2	9
78	лишь в	3	9
79	вместе с	4	9
80	вопрос о	5	8
81	от него	2	8
82	в этих	2	8
83	не так	2	8
84	того чтобы	8	8
85	себя в	4	8
86	тем что	3	8
87	для того	6	8
88	отношении к	2	8
89	о том	7	8
90	и с	7	8
91	но если	3	7
92	что все	3	7
93	точки зрения	11	7
94	себя и	5	7
95	жизни в	5	7
96	отношения к	2	7
97	во всем	4	7
98	к богу	7	6
99	его в	4	6
100	людей и	2	6
101	и человек	2	6
102	и те	2	6
103	это есть	2	6
104	быть и	2	6
105	самого себя	7	6
106	и от	2	6
107	что это	3	6
108	там и	2	6
109	можно было	4	6
110	если бы	6	6
111	к чему	2	6
112	и более	2	6
113	на то	5	6
114	россии и	3	6
115	не к	2	6
116	и если	7	5
117	в то	10	5
118	в их	4	5
119	и этот	3	5
120	и вместе	2	5
121	к культуре	2	5
122	во всяком	9	5
123	да и	3	5
124	с этим	2	5
125	с самим	2	5
126	отличается от	2	5
127	и как	3	5
128	для этого	3	5
129	еще не	3	5
130	его и	2	5
131	как будто	2	5
132	сих пор	5	5
133	культуры и	2	5
134	до сих	5	5
135	по отношению	2	4
136	к себе	2	4
137	от того	4	4
138	конце концов	3	4
139	он должен	5	4
140	так что	2	4
141	а с	2	4
142	только с	2	4
143	тому что	2	4
144	к этой	4	4
145	место в	2	4
146	и тот	2	4
147	себе и	4	4
148	тогда когда	4	4
149	для них	3	4
150	в начале	2	4
151	все эти	2	4
152	и тогда	2	4
153	народа и	2	4
154	что они	3	4
155	вряд ли	3	4
156	к которой	6	4
157	и даже	2	4
158	и по	3	4
159	ни в	2	4
160	и только	5	4
161	путь к	4	4
162	культуры в	3	4
163	может не	3	4
164	в своих	6	4
165	и что	2	4
166	были бы	2	3
167	остается в	2	3
168	приходит к	3	3
169	для себя	2	3
170	а лишь	4	3
171	и тем	2	3
172	но она	2	3
173	в россию	2	3
174	все же	4	3
175	если человек	2	3
176	она может	3	3
177	русской интеллигенции	8	3
178	можно ли	3	3
179	мы должны	7	3
180	европейской культуры	2	3
181	на том	3	3
182	что же	4	3
183	даже и	2	3
184	между тем	5	3
185	что оно	3	3
186	всю свою	2	3
187	ее он	2	3
188	и то	4	3
189	то это	3	3
190	считает себя	2	3
191	конечно не	5	3
192	в значительной	3	3
193	принадлежат к	2	3
194	для нас	2	3
195	во всех	5	3
196	на почве	2	3
197	но для	2	3
198	приводит к	4	3
199	ко всем	3	3
200	всяком случае	6	3
201	и должно	2	3
202	есть единственная	2	2
203	не о	2	2
204	на самом	6	2
205	или иной	5	2
206	из всех	2	2
207	тому чтобы	4	2
208	если в	6	2
209	нисколько не	2	2
210	этого не	2	2
211	бы его	2	2
212	возможно лишь	4	2
213	самом себе	2	2
214	всех народов	2	2
215	у народов	2	2
216	во многих	2	2
217	самом деле	7	2
218	к народу	3	2
219	от этой	2	2
220	тем самым	2	2
221	а потому	5	2
222	связи с	3	2
223	или от	2	2
224	раз навсегда	2	2
225	во время	2	2
226	лишь при	5	2
227	их в	2	2
228	к соединению	4	2
229	то в	3	2
230	россии в	7	2
231	целый ряд	2	2
232	этом направлении	2	2
233	от своей	2	2
234	только для	2	2
235	ее в	2	2
236	что ничего	2	2
237	себя на	2	2
238	и о	2	2
239	ни к	7	2
240	у других	2	2
241	для россии	2	2
242	их не	2	2
243	что такое	2	2
244	которой он	4	2
245	европейской цивилизации	2	2
246	если не	2	2
247	по себе	2	2
248	бы ни	2	2
