N	2gram	Kanaev_Sov	DiskursI
1	а не	3	60
2	может быть	12	56
3	не только	4	49
4	и в	7	49
5	как и	6	47
6	при этом	3	46
7	в том	4	44
8	и не	6	44
9	в этом	7	38
10	в себе	3	37
11	отличие от	2	28
12	но в	3	28
13	не может	17	27
14	в отличие	2	27
15	такого рода	2	24
16	еще не	3	23
17	отнюдь не	3	23
18	все же	3	19
19	прежде всего	5	19
20	в нем	3	19
21	то же	3	17
22	точки зрения	12	16
23	роль в	2	15
24	в его	2	15
25	это не	4	14
26	или иной	2	14
27	не в	3	14
28	не менее	2	14
29	с одной	2	14
30	в целом	4	13
31	как бы	4	13
32	и все	3	12
33	что в	2	11
34	а в	4	10
35	и т.д	3	10
36	уже не	2	9
37	и даже	2	8
38	в одном	3	8
39	из них	4	8
40	могут быть	2	7
41	приводит к	2	7
42	в этой	3	7
43	той же	2	7
44	таким образом	11	7
45	что же	5	6
46	одна из	3	6
47	времени и	2	6
48	с точки	5	6
49	ничего не	6	5
50	свою очередь	2	5
51	и потому	3	5
52	из этих	2	5
53	так сказать	2	5
54	из двух	3	5
55	в свою	2	5
56	на этом	2	5
57	говорить о	2	5
58	же самое	2	5
59	не могут	2	4
60	а на	2	4
61	может иметь	2	4
62	ни одна	2	4
63	на его	2	4
64	можно назвать	2	4
65	и во	2	4
66	в первом	3	4
67	во всяком	2	4
68	принципиально не	2	4
69	в результате	6	4
70	отличается от	3	4
71	тем не	2	4
72	тот или	2	4
73	в самом	2	4
74	и к	3	4
75	и есть	2	4
76	вопрос о	4	3
77	не подлежит	3	3
78	в области	3	3
79	между собой	3	3
80	все эти	5	3
81	было бы	3	3
82	мы не	9	3
83	как мы	2	3
84	с этим	2	3
85	в которой	2	3
86	и по	2	3
87	и наконец	5	3
88	но все	2	3
89	их в	4	3
90	к чему	2	3
91	уже в	3	3
92	всяком случае	2	3
93	жизни и	4	3
94	то ни	2	3
95	и что	2	3
96	тем же	2	3
97	вместе с	4	3
98	в третьем	2	2
99	мы должны	4	2
100	в каждом	8	2
101	быть и	2	2
102	в науке	2	2
103	самом деле	2	2
104	и пространства	2	2
105	мы видели	4	2
106	развития в	2	2
107	с самого	3	2
108	самого начала	3	2
109	все это	3	2
110	и они	2	2
111	же это	4	2
112	что она	3	2
113	мы можем	6	2
114	такой же	2	2
115	на этот	2	2
116	у него	2	2
117	значение в	2	2
118	еще более	2	2
119	в и	2	2
120	из которых	2	2
121	не знаем	2	2
122	может не	3	2
123	в некоторых	2	2
124	в нашем	2	2
125	этих двух	2	2
126	на их	2	2
127	с помощью	4	2
