N	2gram	Nazirov_Tr	TeoriaLi
1	в мире	3	26
2	не только	8	24
3	и в	18	24
4	в частности	2	23
5	то есть	3	22
6	может быть	7	22
7	в том	2	20
8	при этом	3	20
9	и не	7	17
10	но и	4	14
11	так и	5	14
12	в себе	4	14
13	в этом	9	12
14	то же	5	12
15	но в	6	12
16	в его	3	12
17	том что	4	11
18	своего рода	3	11
19	и его	6	11
20	как это	3	10
21	что в	4	10
22	в данном	2	9
23	не в	2	9
24	в душе	2	9
25	в то	5	9
26	не может	5	8
27	как бы	7	8
28	же время	6	8
29	в своем	3	7
30	отношение к	2	7
31	отличие от	2	7
32	в самом	2	7
33	в отличие	2	7
34	в нем	4	7
35	тем самым	3	6
36	еще не	4	6
37	то что	4	6
38	как и	5	6
39	уже не	2	6
40	в ее	2	6
41	с его	2	6
42	данном случае	2	5
43	как в	3	5
44	ни в	2	5
45	в ходе	2	5
46	для него	3	5
47	не случайно	2	5
48	он не	2	5
49	никогда не	2	4
50	его в	2	4
51	это не	5	4
52	и ее	2	4
53	что он	6	4
54	к тому	2	4
55	в целом	4	4
56	личности и	2	4
57	и что	4	4
58	с ее	3	4
59	и сам	3	4
60	и то	2	3
61	перед нами	2	3
62	о чем	3	3
63	на меня	2	3
64	и как	3	3
65	как говорит	2	3
66	в таком	2	3
67	к области	2	3
68	в романе	10	3
69	никто не	3	3
70	столь же	2	3
71	потому что	2	3
72	прежде всего	4	3
73	отнюдь не	3	3
74	мог бы	3	3
75	все эти	3	3
76	в этой	4	3
77	в одном	2	3
78	имеет в	2	2
79	не могут	2	2
80	так же	4	2
81	что она	2	2
82	говорит что	2	2
83	в глаза	2	2
84	об этом	4	2
85	и даже	4	2
86	в конце	3	2
87	и здесь	2	2
88	поведение в	2	2
89	у него	6	2
90	в рассказе	2	2
91	к нему	3	2
92	и это	2	2
93	о том	2	2
94	и на	7	2
95	дома и	2	2
96	в году	9	2
97	о жизни	2	2
98	он и	2	2
99	один из	3	2
100	несмотря на	5	2
101	к жизни	5	2
102	что и	2	2
103	о его	2	2
104	не просто	2	2
105	все это	4	2
106	только о	2	2
107	времени в	2	2
108	как будто	3	2
109	в первом	2	2
110	для искусства	2	2
111	который в	2	2
112	я не	4	2
