N	3gram	Bakhtin_sl	EvropaiE
1	с точки зрения	11	16
2	в то же	15	15
3	то же время	15	14
4	в отношении к	9	12
5	с одной стороны	7	8
6	и в то	6	8
7	одной стороны и	2	6
8	в том что	4	6
9	той или иной	13	4
10	не только в	3	4
11	и в этом	2	4
12	того или иного	2	4
13	в известном смысле	2	3
14	во всяком случае	7	3
15	как бы ни	2	3
16	в этом отношении	2	3
17	в известной степени	3	3
18	хотя бы и	5	3
19	можно было бы	2	3
20	друг с другом	2	3
21	в той или	12	3
22	в данном случае	3	2
23	рано или поздно	2	2
24	с другой стороны	5	2
25	в большинстве случаев	11	2
26	но в то	6	2
27	так и в	5	2
28	как мы видели	2	2
29	в свою очередь	3	2
30	не может быть	11	2
