N	2gram	Berdyaev_M	KulturaY
1	т е	5	102
2	и в	61	84
3	в том	9	74
4	потому что	25	68
5	не только	42	60
6	точки зрения	6	59
7	в этом	34	57
8	было бы	11	53
9	и не	26	52
10	может быть	42	47
11	том что	7	44
12	того чтобы	4	44
13	что в	12	44
14	для того	4	41
15	в самом	15	41
16	у нас	13	38
17	самом деле	2	37
18	хотя бы	8	37
19	так как	10	36
20	а не	36	33
21	если бы	5	32
22	не в	16	30
23	прежде всего	18	30
24	в его	10	30
25	все же	2	29
26	того что	13	28
27	все эти	3	28
28	уже не	8	26
29	не может	39	25
30	то что	10	25
31	вопрос о	7	24
32	так и	5	23
33	то же	4	23
34	только в	7	23
35	но и	34	20
36	по себе	2	20
37	и что	4	20
38	что он	16	19
39	но в	12	19
40	тем что	7	19
41	о том	5	19
42	что же	2	19
43	между тем	2	18
44	все это	6	18
45	к тому	6	18
46	с тем	10	18
47	в сущности	2	18
48	как бы	10	18
49	и с	6	18
50	вместе с	7	18
51	это не	10	17
52	что это	5	17
53	в той	3	17
54	в виду	2	16
55	ничего не	4	16
56	что не	3	16
57	что и	6	16
58	но не	8	16
59	по отношению	4	15
60	один из	9	15
61	а в	4	15
62	того как	3	15
63	должно быть	5	15
64	целый ряд	2	15
65	лишь в	8	15
66	ни к	2	15
67	не было	25	15
68	в нашем	2	15
69	в них	5	14
70	хотя и	2	14
71	я не	4	14
72	сказать что	5	14
73	отношению к	4	14
74	сих пор	5	14
75	также и	6	14
76	что такое	2	14
77	и на	9	14
78	в ней	23	14
79	до сих	5	14
80	не могут	6	13
81	это и	7	13
82	что она	5	13
83	в этой	12	13
84	в которых	5	13
85	для нас	3	13
86	и его	13	13
87	той же	3	13
88	для этого	3	12
89	с этой	4	12
90	как в	9	12
91	тогда когда	2	12
92	могут быть	2	12
93	но также	2	12
94	должен быть	4	11
95	в их	4	11
96	в своем	17	11
97	те же	5	11
98	должна быть	7	11
99	в нем	26	11
100	и здесь	6	11
101	и то	2	11
102	уже в	6	11
103	он не	34	11
104	в каком	2	10
105	так же	5	10
106	в то	2	10
107	к этому	3	10
108	они не	4	10
109	как и	14	10
110	бы и	8	10
111	вряд ли	3	10
112	с этим	4	10
113	бы в	3	10
114	от того	4	10
115	после того	2	10
116	конечно не	3	10
117	не потому	2	9
118	xix века	4	9
119	что все	5	9
120	и для	7	9
121	в своей	18	9
122	но это	8	9
123	в которой	8	9
124	и вот	7	9
125	не имеет	7	9
126	ни в	3	9
127	но для	2	9
128	и есть	21	9
129	на самом	2	8
130	в своих	4	8
131	в чем	3	8
132	был бы	11	8
133	что они	4	8
134	с его	6	8
135	по преимуществу	4	8
136	и как	3	8
137	об этом	2	8
138	в этих	6	8
139	тому что	2	8
140	не есть	21	8
141	до конца	16	7
142	в свою	5	7
143	как он	4	7
144	и потому	17	7
145	не знает	12	7
146	она не	9	7
147	на том	3	7
148	стоит в	3	7
149	когда мы	2	7
150	не все	3	7
151	же и	2	7
152	в истории	2	7
153	все равно	3	7
154	и более	2	7
155	в самой	8	7
156	и должно	3	7
157	есть в	3	7
158	на этот	2	7
159	есть лишь	23	7
160	в котором	9	7
161	когда он	3	7
162	с ним	5	7
163	не значит	2	7
164	учение о	3	7
165	его к	2	6
166	она есть	3	6
167	в себе	12	6
168	как к	2	6
169	пишет он	2	6
170	роль в	2	6
171	на этом	5	6
172	которые в	2	6
173	от этого	4	6
174	можно ли	2	6
175	в ее	3	6
176	должны быть	3	6
177	в каком-то	2	6
178	как будто	4	6
179	за пределы	5	6
180	мы не	2	6
181	отличается от	2	6
182	прежде чем	2	6
183	оно не	3	6
184	приводит к	2	6
185	чтобы не	4	6
186	и именно	2	6
187	в сфере	2	6
188	никогда не	30	5
189	в отношении	6	5
190	и к	9	5
191	относится к	2	5
192	в духе	6	5
193	к себе	3	5
194	в конце	11	5
195	но если	4	5
196	в иных	3	5
197	и у	3	5
198	не надо	2	5
199	так что	3	5
200	по своему	3	5
201	о нем	2	5
202	не так	6	5
203	даже и	2	5
204	смысле слова	7	5
205	ни одного	2	5
206	и тогда	2	5
207	интерес к	5	5
208	нельзя было	3	5
209	и от	3	5
210	и он	21	5
211	и еще	3	5
212	не как	4	5
213	я и	3	5
214	у него	38	5
215	нас в	3	5
216	лишь как	3	5
217	на протяжении	2	5
218	отношение к	9	5
219	то он	3	5
220	еще более	3	5
221	есть не	9	5
222	и их	3	5
223	быть не	2	5
224	но с	2	5
225	чем в	3	5
226	не о	2	4
227	к одному	2	4
228	его в	6	4
229	различие между	2	4
230	не имеют	2	4
231	о чем	3	4
232	в каждом	4	4
233	а лишь	3	4
234	связано с	5	4
235	всего в	2	4
236	в такой	4	4
237	увидим что	5	4
238	одно из	3	4
239	и все	13	4
240	к нему	8	4
241	к этой	3	4
242	мог бы	5	4
243	себе и	4	4
244	и без	2	4
245	ответить на	2	4
246	на все	3	4
247	это есть	4	4
248	эти слова	2	4
249	то в	2	4
250	по сравнению	3	4
251	ведь не	2	4
252	и по	4	4
253	мы увидим	4	4
254	бы не	4	4
255	что ничего	2	4
256	на деле	4	4
257	отношения к	6	4
258	не к	6	4
259	будто бы	3	4
260	и это	16	4
261	но на	2	4
262	что за	2	4
263	я хочу	3	4
264	сам по	2	4
265	но он	17	4
266	не мог	6	4
267	есть явление	3	3
268	этого вопроса	3	3
269	стать на	2	3
270	можно и	2	3
271	в наше	2	3
272	же есть	4	3
273	во многих	2	3
274	иное как	4	3
275	в россии	2	3
276	не хочет	3	3
277	и вместе	4	3
278	конце концов	3	3
279	и мы	2	3
280	а как	2	3
281	с таким	2	3
282	тем как	2	3
283	том смысле	2	3
284	себе в	3	3
285	все время	3	3
286	его и	2	3
287	в него	3	3
288	в свете	3	3
289	одно только	2	3
