N	2gram	Tiupa_Anal	Formalny
1	и в	30	95
2	и не	33	78
3	может быть	33	66
4	в этом	31	61
5	не может	26	57
6	вовсе не	4	53
7	таким образом	5	52
8	и его	9	51
9	так и	16	50
10	точки зрения	10	47
11	в нем	3	42
12	в его	15	42
13	прежде всего	8	41
14	с точки	6	40
15	как и	23	39
16	и т	3	37
17	художественного произведения	6	36
18	не в	17	35
19	в самом	12	35
20	в процессе	2	34
21	а не	25	34
22	но и	29	33
23	то же	12	32
24	самом деле	3	32
25	истории литературы	4	31
26	не только	30	30
27	в пределах	11	28
28	в том	36	26
29	отнюдь не	22	26
30	если бы	6	26
31	то что	11	25
32	на самом	2	24
33	при этом	20	24
34	в своей	7	24
35	лишь в	12	24
36	связи с	2	23
37	было бы	4	23
38	в то	10	22
39	как бы	15	21
40	что в	7	21
41	и с	2	21
42	в их	8	20
43	не менее	5	20
44	как мы	3	20
45	же время	7	20
46	место в	3	20
47	не могут	3	19
48	все это	2	19
49	хотя бы	4	19
50	художественное произведение	5	19
51	по себе	6	19
52	т п	3	18
53	все же	4	18
54	и все	5	18
55	все эти	3	18
56	в связи	2	18
57	с его	3	18
58	и их	2	18
59	только в	8	18
60	более того	4	17
61	произведения в	14	17
62	как в	3	17
63	как раз	5	17
64	в искусстве	2	16
65	совершенно не	2	16
66	с другой	7	16
67	потому что	3	16
68	его в	2	15
69	но в	11	15
70	в поэзии	2	15
71	бы в	3	15
72	с другими	4	15
73	так как	3	15
74	должно быть	2	15
75	во всех	5	15
76	в литературе	4	15
77	именно в	6	15
78	и на	10	15
79	что он	3	14
80	только на	3	14
81	в целом	9	14
82	языка и	2	14
83	в ее	2	14
84	в своем	2	14
85	еще не	5	14
86	литературное произведение	12	14
87	в этой	12	14
88	и потому	2	14
89	вместе с	6	14
90	со стороны	5	13
91	того что	5	13
92	а в	11	13
93	что же	3	13
94	могут быть	12	13
95	что и	5	13
96	сводится к	6	13
97	независимо от	2	13
98	в результате	3	13
99	тем что	2	13
100	ни в	5	13
101	в действительности	2	12
102	по отношению	10	12
103	как это	5	12
104	того чтобы	3	12
105	к тому	12	12
106	отношению к	9	12
107	и для	3	12
108	уже не	6	12
109	никогда не	4	11
110	этом отношении	5	11
111	литературного произведения	50	11
112	в основе	6	11
113	но не	13	11
114	то ни	3	11
115	произведения как	8	11
116	для него	5	11
117	между тем	7	11
118	не о	3	10
119	не есть	8	10
120	не как	2	10
121	в художественном	4	10
122	бы то	3	10
123	другой стороны	2	10
124	о литературе	3	10
125	с ее	2	10
126	не является	3	10
127	как о	2	10
128	в первом	3	10
129	и как	6	10
130	раз и	2	10
131	он не	4	10
132	на фоне	5	10
133	ничего не	10	9
134	здесь не	2	9
135	и до	3	9
136	или иного	3	9
137	бы ни	2	9
138	и даже	10	9
139	ни было	4	9
140	говорить о	3	9
141	отношения к	4	9
142	это не	7	8
143	была бы	4	8
144	между собой	2	8
145	одной стороны	6	8
146	и те	2	8
147	с одной	7	8
148	без исключения	2	8
149	в области	4	8
150	для этого	2	8
151	в данном	6	8
152	всех этих	2	8
153	следует что	2	8
154	из этого	2	8
155	и является	4	8
156	должен быть	6	8
157	и к	5	8
158	роль в	3	8
159	в сторону	6	8
160	для того	4	8
161	не следует	6	8
162	на основе	3	8
163	том что	21	7
164	в себе	17	7
165	смысла и	3	7
166	как к	2	7
167	что именно	2	7
168	или менее	2	7
169	его от	3	7
170	более или	2	7
171	произведение в	2	7
172	в сущности	10	7
173	бы быть	3	7
174	сказать что	2	7
175	к этому	2	7
176	того или	3	7
177	творчества и	2	7
178	и наконец	2	7
179	смысл и	3	7
180	литературы как	2	7
181	в какой	3	7
182	и более	5	7
183	сами по	3	7
184	столь же	7	7
185	искусства в	4	7
186	из них	2	7
187	он и	3	7
188	в той	8	7
189	данном случае	3	6
190	произведения а	2	6
191	тем самым	9	6
192	в которой	3	6
193	в конце	4	6
194	отношение к	2	6
195	на этом	4	6
196	и тем	4	6
197	в частности	32	6
198	его и	3	6
199	тому что	2	6
200	в этих	3	6
201	те же	3	6
202	художественного восприятия	9	6
203	один из	4	6
204	он был	3	6
205	этого слова	10	6
206	ее в	2	6
207	к его	3	6
208	из этих	2	6
209	при таком	2	6
210	особенно в	9	6
211	за пределы	6	6
212	отличается от	3	6
213	и восприятия	2	6
214	такой же	3	6
215	нет и	2	6
216	о том	11	6
217	по преимуществу	4	6
218	в произведении	7	6
219	произведения искусства	3	6
220	только не	6	6
221	с ним	6	6
222	той же	4	6
223	даже в	5	5
224	в широком	4	5
225	ни о	3	5
226	мы должны	2	5
227	случае в	2	5
228	в виду	2	5
229	на все	2	5
230	а как	4	5
231	мы уже	2	5
232	может и	2	5
233	отличие от	8	5
234	всего в	3	5
235	одной из	2	5
236	так например	2	5
237	не так	3	5
238	не приходится	2	5
239	одного из	4	5
240	она есть	2	5
241	в отличие	8	5
242	в такой	2	5
243	что не	3	5
244	и по	2	5
245	даже не	2	5
246	можно сказать	6	5
247	из виду	3	5
248	как от	2	5
249	слов и	2	5
250	хотя и	4	5
251	да и	2	5
252	и то	4	5
253	если в	3	5
254	к предмету	4	5
255	то в	2	5
256	не столько	5	5
257	то и	2	5
258	в мире	14	5
259	какой бы	2	5
260	высказывания и	3	5
261	его как	3	5
262	борьба с	3	5
263	в эту	3	5
264	с этой	2	5
265	к нему	4	5
266	то он	3	5
267	подхода к	3	5
268	в котором	5	5
269	одни и	2	5
270	в отношении	2	5
271	приводит к	2	5
272	этом смысле	3	5
273	еще в	4	5
274	тому как	5	5
275	в литературоведении	2	5
276	и что	2	5
277	в нашем	3	5
278	однако не	4	5
279	вопрос о	2	5
280	или даже	3	4
281	от него	2	4
282	к другим	2	4
283	и сами	2	4
284	одним из	3	4
285	как он	4	4
286	тогда когда	3	4
287	героя в	2	4
288	должна была	2	4
289	в романе	2	4
290	на котором	3	4
291	себе в	2	4
292	не являются	2	4
293	о нем	4	4
294	он в	5	4
295	произведение искусства	9	4
296	между двумя	7	4
297	того же	7	4
298	в сюжете	2	4
299	науки о	2	4
300	не будет	3	4
301	здесь в	2	4
302	или в	2	4
303	и во	3	4
304	и тогда	3	4
305	в литературном	2	4
306	имеет место	6	4
307	смысла в	2	4
308	могла бы	3	4
309	но при	2	4
310	и смыслом	2	4
311	для данного	3	4
312	литературном произведении	2	4
313	тем не	3	4
314	на него	3	4
315	едва ли	4	4
316	превращается в	3	4
317	в таком	5	4
318	и о	3	4
319	в ином	2	4
320	на протяжении	2	4
321	не к	3	4
322	думать что	2	4
323	подобно тому	5	4
324	романа в	4	4
325	установкой на	3	4
326	или иначе	2	4
327	об искусстве	2	4
328	совпадает с	6	4
329	к самому	2	4
330	данного произведения	3	4
331	и если	2	3
332	все они	2	3
333	каждый из	3	3
334	или иной	8	3
335	для нее	2	3
336	одну из	2	3
337	его художественной	2	3
338	внутренней речи	9	3
339	проявляется в	4	3
340	это только	2	3
341	не всегда	4	3
342	вступает в	4	3
