N	3gram	Vygotskiy_	Literetu
1	в том что	30	21
2	по отношению к	2	12
3	с одной стороны	15	12
4	в данном случае	3	11
5	в отличие от	3	11
6	не может быть	4	11
7	состоит в том	2	11
8	в конечном счете	2	10
9	о том что	15	10
10	в этом отношении	3	10
11	с точки зрения	5	8
12	с другой стороны	8	7
13	из того что	3	6
14	не только в	5	6
15	этой точки зрения	3	5
16	с этой точки	3	5
17	в том чтобы	6	5
18	может быть это	2	4
19	и то что	4	4
20	и т п	5	3
21	то же самое	8	3
22	той или иной	2	3
23	на самом деле	8	3
24	в самом деле	8	3
25	на то что	25	3
26	в целом ряде	2	3
27	и в частности	2	3
28	одно и то	3	2
29	тех пор пока	2	2
30	для того чтобы	41	2
31	за то что	3	2
32	и то же	4	2
33	то что ему	3	2
34	не только не	4	2
35	и в самом	3	2
36	в этом случае	2	2
37	а с другой	5	2
38	к тому что	8	2
39	можно было бы	4	2
40	вместе с тем	4	2
41	дело в том	2	2
42	до тех пор	2	2
