N	2gram	Ircho_Kome	VeschiIm
1	т е	14	81
2	и не	19	57
3	не только	12	48
4	то что	8	48
5	не может	3	46
6	и в	40	45
7	может быть	16	39
8	и т	11	39
9	т д	4	38
10	потому что	8	25
11	было бы	8	24
12	в себе	3	23
13	что она	3	23
14	по себе	2	23
15	только в	6	23
16	и что	2	22
17	и следовательно	2	20
18	как бы	3	20
19	и ее	5	19
20	что это	5	19
21	но и	14	19
22	что же	2	19
23	все же	7	18
24	в этом	9	18
25	и это	3	17
26	прежде всего	8	17
27	так как	6	17
28	таким образом	13	16
29	как раз	4	16
30	в том	19	15
31	как и	12	15
32	в ней	2	15
33	не в	8	14
34	но это	2	14
35	том что	19	13
36	и для	4	13
37	в самом	5	13
38	то ни	4	13
39	в себя	3	13
40	ничего не	4	12
41	но если	4	12
42	что в	12	12
43	точки зрения	7	12
44	что и	10	12
45	что они	4	12
46	и как	3	12
47	то же	7	12
48	ни было	4	12
49	еще не	7	12
50	и даже	5	12
51	о том	12	12
52	и с	8	12
53	бы то	4	12
54	еще и	2	11
55	в то	14	11
56	не менее	6	11
57	вовсе не	3	11
58	себя в	2	11
59	тем не	3	11
60	и их	3	11
61	ни в	9	11
62	в чем	3	10
63	с ее	2	10
64	ясно что	9	10
65	это не	2	9
66	со стороны	3	9
67	так что	6	9
68	в своем	6	9
69	то и	3	9
70	ли это	2	9
71	хотя бы	2	9
72	бы в	3	9
73	в результате	5	9
74	у нас	3	9
75	на то	3	9
76	но не	3	9
77	говорить о	3	9
78	и его	17	9
79	в отношении	6	8
80	его в	6	8
81	указывает на	2	8
82	даже не	4	8
83	что он	11	8
84	но в	6	8
85	в ее	2	8
86	мы не	4	8
87	все это	7	8
88	если бы	4	8
89	с тем	5	8
90	в философии	2	8
91	с другой	7	8
92	со своим	6	8
93	отнюдь не	2	8
94	в действительности	4	7
95	от того	3	7
96	и тем	2	7
97	из них	16	7
98	а в	9	7
99	в сущности	3	7
100	е в	2	7
101	относится к	2	7
102	по имени	7	7
103	тем что	5	7
104	с этой	3	7
105	мог бы	3	7
106	вопрос о	5	6
107	независимо от	5	6
108	для себя	2	6
109	и все	4	6
110	так или	4	6
111	больше того	4	6
112	в нем	8	6
113	в своей	3	6
114	как мы	5	6
115	одна из	4	6
116	можно было	5	6
117	или иначе	4	6
118	несмотря на	5	6
119	в той	2	6
120	жизни и	4	6
121	в одном	10	6
122	и если	2	5
123	да и	5	5
124	вместе с	8	5
125	как это	7	5
126	того же	4	5
127	и без	3	5
128	между прочим	2	5
129	то это	3	5
130	мы находим	2	5
131	один из	9	5
132	на себя	5	5
133	в его	8	5
134	хотя и	6	5
135	для этого	2	5
136	на это	3	5
137	во всех	4	5
138	в которой	9	5
139	об этом	2	5
140	и здесь	6	5
141	нет и	2	5
142	что у	6	5
143	все что	3	5
144	в свою	2	5
145	в настоящем	2	5
146	чем же	2	5
147	так же	4	4
148	и притом	2	4
149	в силу	4	4
150	в конце	7	4
151	отношение к	3	4
152	и у	3	4
153	об отношении	2	4
154	что именно	3	4
155	в их	6	4
156	так и	17	4
157	в этой	9	4
158	то время	8	4
159	же не	2	4
160	того чтобы	4	4
161	в качестве	8	4
162	тот же	5	4
163	во всяком	4	4
164	с ними	2	4
165	и от	2	4
166	тут же	2	4
167	с этим	5	4
168	и еще	5	4
169	к ней	2	4
170	мы можем	6	4
171	на него	4	4
172	и вот	4	4
173	в и	3	4
174	по своей	2	4
175	и о	3	4
176	и более	2	4
177	время как	6	4
178	в котором	6	4
179	если это	2	4
180	на этом	3	4
181	главным образом	4	4
182	или менее	2	4
183	находится в	2	4
184	еще более	2	4
185	же время	5	4
186	он не	5	4
187	и сам	5	4
188	однако не	2	4
189	из того	2	3
190	не является	2	3
191	это однако	2	3
192	в другом	5	3
193	что из	3	3
194	к ее	2	3
195	казалось бы	3	3
196	в виде	3	3
197	только на	2	3
198	в частности	7	3
199	на ее	2	3
200	мы видели	2	3
201	к нему	5	3
202	к тому	15	3
203	одной стороны	5	3
204	другой стороны	6	3
205	в целом	6	3
206	же как	3	3
207	и во	4	3
208	в истории	10	3
209	из самых	2	3
210	из его	6	3
211	только один	2	3
212	не все	2	3
213	могла бы	2	3
214	от этого	2	3
215	только что	2	3
216	для того	3	3
217	как в	8	3
218	нас в	3	3
219	с одной	5	3
220	остановиться на	2	3
221	не мог	4	3
222	но все	4	3
223	у него	6	3
224	в своих	2	3
225	в самой	2	3
226	из которых	5	3
227	однако в	4	3
228	из этого	2	3
229	или в	5	3
230	не к	2	3
231	но он	2	3
232	находим в	2	2
233	тому что	4	2
234	к этим	3	2
235	о чем	2	2
236	когда же	5	2
237	в это	3	2
238	и формы	2	2
239	наряду с	7	2
240	едва ли	16	2
241	и таким	2	2
242	конце концов	4	2
243	в виду	2	2
244	на все	3	2
245	в как	4	2
246	как он	2	2
247	нас не	2	2
248	на две	3	2
249	и дает	2	2
250	совсем не	2	2
251	и новой	4	2
252	это уже	2	2
253	гораздо более	2	2
254	или по	3	2
255	уже в	9	2
256	ту же	2	2
257	так в	6	2
258	что на	4	2
259	всяком случае	4	2
260	нуждается в	2	2
261	а затем	4	2
262	для ее	3	2
263	при всем	3	2
264	связи с	3	2
265	в связи	3	2
266	в первом	2	2
267	и можно	2	2
268	в первой	2	2
269	в состоянии	3	2
270	к его	3	2
271	если они	3	2
272	вообще говоря	2	2
273	а также	5	2
