N	2gram	Berdyaev_N	Sovremen
1	не может	16	17
2	может быть	7	12
3	мы не	2	9
4	и в	16	7
5	в этом	7	7
6	и не	11	6
7	как и	7	6
8	все эти	2	5
9	прежде всего	4	5
10	нет и	2	4
11	вопрос о	3	4
12	это не	4	4
13	не только	5	4
14	в том	8	4
15	жизни и	8	4
16	вместе с	2	4
17	а в	2	4
18	и мы	4	3
19	когда мы	2	3
20	и потому	4	3
21	но в	2	3
22	не в	6	3
23	в себе	2	3
24	еще не	3	3
25	одна из	2	3
26	и все	4	3
27	все это	5	3
28	в нем	5	3
29	а не	17	3
30	и к	5	3
31	что она	2	3
32	что все	2	2
33	роль в	2	2
34	можно назвать	2	2
35	не менее	4	2
36	с этим	2	2
37	и пр	3	2
38	и что	2	2
39	что такое	3	2
40	такого рода	2	2
41	и есть	10	2
42	что в	9	2
43	времени и	2	2
44	ни одна	2	2
45	у него	2	2
46	такой же	2	2
47	уже не	2	2
48	могут быть	2	2
49	с одной	2	2
50	и даже	2	2
