N	3gram	Tiupa_Teor	Komedia
1	в том что	10	29
2	то же время	8	16
3	в то же	8	16
4	в самом деле	2	13
5	для того чтобы	5	11
6	в свою очередь	3	10
7	по отношению к	10	9
8	с одной стороны	3	9
9	с другой стороны	6	8
10	и в самом	2	8
11	то ни было	2	7
12	бы то ни	2	7
13	так или иначе	5	7
14	в связи с	3	6
15	с точки зрения	3	6
16	в том числе	3	6
17	в отличие от	7	6
18	том что он	2	5
19	тем не менее	3	5
20	к тому что	2	4
21	в самом начале	2	4
22	более или менее	6	3
23	в соответствии с	2	3
24	том числе и	2	3
25	состоит в том	6	3
26	мы имеем в	3	2
27	подобно тому как	3	2
28	в основе своей	2	2
29	в отношении к	2	2
30	при этом что	2	2
31	так и не	5	2
32	в конечном счете	6	2
33	этой точки зрения	2	2
34	в этом смысле	3	2
35	как и в	2	2
36	с этой точки	2	2
37	и в то	2	2
38	имеем в виду	3	2
