N	2gram	Losev_Vesc	Marksizm
1	точки зрения	10	69
2	может быть	37	64
3	и в	44	63
4	и не	57	55
5	как бы	19	53
6	не может	44	47
7	с точки	6	46
8	и пр	10	42
9	и его	4	41
10	в этом	17	39
11	таким образом	16	38
12	как мы	6	32
13	не только	48	29
14	в нем	6	28
15	то же	12	28
16	языка как	2	27
17	но и	19	27
18	самом деле	7	25
19	прежде всего	17	24
20	как и	15	24
21	в самом	13	24
22	так и	4	23
23	только в	23	23
24	в том	15	22
25	то что	47	22
26	а не	34	22
27	– в	13	21
28	для него	8	20
29	если мы	12	20
30	том что	13	19
31	не в	14	19
32	в его	5	19
33	если бы	8	19
34	на почве	6	19
35	но в	8	18
36	в ее	8	18
37	и для	13	18
38	в слове	2	18
39	вовсе не	11	18
40	все же	18	17
41	в сущности	7	17
42	это –	38	17
43	в то	11	16
44	и как	12	16
45	слова и	7	16
46	ни было	12	16
47	что он	7	15
48	во всех	5	15
49	отнюдь не	8	15
50	же время	4	15
51	– не	11	15
52	в данном	6	14
53	хотя бы	9	14
54	в смысле	22	14
55	– это	4	14
56	ничего не	12	13
57	так же	4	13
58	– и	2	13
59	мы не	8	13
60	того чтобы	4	13
61	было бы	24	13
62	в своей	6	13
63	не является	3	13
64	и здесь	5	13
65	слова в	2	13
66	то ни	13	13
67	что в	11	13
68	выражение в	3	12
69	в результате	9	12
70	а в	6	12
71	того же	5	12
72	в основе	4	12
73	бы то	12	12
74	для того	3	12
75	является не	2	12
76	он не	4	12
77	как в	3	11
78	и все	6	11
79	к нему	3	11
80	и на	2	11
81	в ней	14	11
82	не столько	2	11
83	все эти	5	11
84	и от	4	11
85	так как	17	11
86	еще не	12	11
87	и того	2	11
88	и что	22	11
89	мы уже	3	11
90	никогда не	5	10
91	его в	8	10
92	и потому	8	10
93	бытия в	2	10
94	– как	8	10
95	во всяком	4	10
96	с его	2	10
97	сказать что	21	10
98	одна из	6	10
99	к этому	2	10
100	в своем	9	10
101	совершенно не	11	10
102	с другой	8	10
103	именно в	2	10
104	конечно не	2	10
105	и следовательно	20	9
106	в себе	23	9
107	общения и	2	9
108	это не	9	9
109	только на	3	9
110	мы видели	3	9
111	и это	17	9
112	к тому	3	9
113	в истории	3	9
114	что это	18	9
115	слово –	3	9
116	и эта	4	9
117	не имеет	2	9
118	отношении к	4	9
119	и более	4	9
120	ни в	11	9
121	точка зрения	5	9
122	быть и	5	9
123	в каком	6	8
124	в отношении	7	8
125	перед нами	3	8
126	и ее	19	8
127	в науке	3	8
128	не как	2	8
129	в их	4	8
130	с этим	4	8
131	тому что	2	8
132	на этой	2	8
133	что не	11	8
134	не будет	13	8
135	что и	11	8
136	другой стороны	3	8
137	мысли и	5	8
138	и даже	12	8
139	мы можем	4	8
140	кроме того	5	8
141	в данной	2	8
142	и их	11	8
143	у нас	9	8
144	на то	9	8
145	в свою	5	8
146	и с	11	8
147	но что	9	8
148	не было	4	8
149	сводится к	4	8
150	к другому	3	8
151	у него	3	8
152	чем же	5	8
153	ясно что	10	8
154	свою очередь	5	7
155	того что	16	7
156	по себе	22	7
157	с ними	4	7
158	в качестве	4	7
159	в этой	4	7
160	бы в	9	7
161	и формы	2	7
162	далеко не	2	7
163	о том	11	7
164	в котором	4	7
165	оно может	3	7
166	не существует	4	7
167	той же	2	7
168	он сам	2	7
169	как раз	16	7
170	переживания и	2	6
171	как ее	2	6
172	не есть	79	6
173	вопрос о	6	6
174	мы должны	5	6
175	она может	4	6
176	для всего	2	6
177	то есть	2	6
178	в другом	3	6
179	является в	2	6
180	слово в	2	6
181	– с	2	6
182	он и	2	6
183	одной стороны	3	6
184	что же	17	6
185	должны быть	6	6
186	все это	7	6
187	с ее	10	6
188	должна быть	8	6
189	тот же	4	6
190	слово и	4	6
191	с другими	8	6
192	как оно	4	6
193	сознания и	2	6
194	от одного	2	6
195	лишь как	2	6
196	с одной	3	6
197	между ними	6	6
198	уже не	15	6
199	этот вопрос	6	6
200	всяком случае	2	6
201	в той	6	6
202	не к	3	6
203	тем же	2	6
204	к одному	3	5
205	этом отношении	2	5
206	как же	6	5
207	различие между	3	5
208	но как	3	5
209	о чем	2	5
210	в конце	3	5
211	от того	7	5
212	и у	4	5
213	то мы	3	5
214	и выражения	2	5
215	в виду	2	5
216	и тем	7	5
217	и вот	4	5
218	то в	4	5
219	в особенности	3	5
220	от этого	3	5
221	не менее	11	5
222	или в	3	5
223	в более	2	5
224	понимания и	3	5
225	– то	3	5
226	той или	3	5
227	в первом	2	5
228	хотя и	5	5
229	да и	5	5
230	и внешнего	2	5
231	себя в	11	5
232	необходимо чтобы	7	5
233	тем более	3	5
234	должно быть	8	5
235	по преимуществу	2	5
236	язык есть	2	5
237	жизни в	3	5
238	она не	9	5
239	она является	4	5
240	но не	9	5
241	для себя	6	5
242	что такое	20	5
243	еще более	4	5
244	на язык	3	5
245	по смыслу	5	5
246	в одном	6	5
247	вместе с	4	5
248	может идти	2	4
249	другими словами	9	4
250	следовательно и	2	4
251	к этим	2	4
252	нуждается в	2	4
253	как он	2	4
254	что здесь	2	4
255	но именно	3	4
256	и прежде	2	4
257	к ее	3	4
258	так что	9	4
259	нас не	2	4
260	что все	2	4
261	какого бы	2	4
262	можно сказать	8	4
263	одного из	2	4
264	в определенном	2	4
265	и вне	2	4
266	к пониманию	3	4
267	внутреннего и	4	4
268	и до	6	4
269	что они	12	4
270	нет и	4	4
271	мы сказали	2	4
272	это мышление	2	4
273	бы и	9	4
274	относится к	6	4
275	и то	14	4
276	к его	2	4
277	именно для	2	4
278	первом случае	2	4
279	независимо от	5	4
280	стороны и	2	4
281	нет ничего	2	4
282	к другой	3	4
283	в которой	5	4
284	что она	23	4
285	только с	3	4
286	нем нет	2	4
287	переход от	2	4
288	исходит из	2	4
289	только что	2	4
290	но ведь	2	4
291	же и	2	4
292	быть понято	2	4
293	свое выражение	3	4
294	она и	2	4
295	не хватает	2	4
296	но все	3	4
297	для его	2	4
298	но к	2	4
299	но для	2	4
300	точке зрения	4	4
301	допустим что	3	4
302	себя с	5	4
303	из них	7	4
304	мог бы	7	4
305	как она	5	4
306	уже в	2	4
307	несмотря на	6	4
308	жизни и	6	4
309	от нее	2	4
310	из этого	3	4
311	это и	12	4
312	выражение и	2	4
313	если же	5	4
314	тем что	7	4
315	не о	2	3
316	еще и	11	3
317	оно –	6	3
318	от его	2	3
319	находятся в	2	3
320	в действительности	7	3
321	как чисто	2	3
322	– что	2	3
323	и сама	4	3
324	она будет	2	3
325	– а	3	3
326	только и	8	3
327	к себе	4	3
328	не все	3	3
329	по своей	3	3
330	но если	12	3
331	как к	5	3
332	должен быть	5	3
333	конце концов	2	3
334	у них	2	3
335	тогда когда	5	3
336	в виде	3	3
337	в целом	3	3
338	и та	2	3
339	главным образом	3	3
340	или менее	4	3
341	же –	3	3
342	мы говорили	2	3
343	с тем	8	3
344	не так	2	3
345	бы на	3	3
346	действительности и	5	3
347	как это	4	3
348	в каком-нибудь	2	3
349	говорить об	2	3
350	более или	4	3
351	потому что	25	3
352	даже и	5	3
353	во втором	2	3
354	по законам	2	3
355	что оно	10	3
356	между собой	2	3
357	в бытии	2	3
358	или вернее	2	3
359	– все	2	3
360	себя от	2	3
361	мы видим	5	3
362	и тогда	7	3
363	понимание в	3	3
364	не на	2	3
365	есть только	18	3
366	в применении	2	3
367	и они	2	3
368	и вообще	6	3
369	все то	2	3
370	могла бы	3	3
371	одно и	6	3
372	они –	3	3
373	ли это	9	3
374	не сможет	2	3
375	здесь не	2	3
376	ту или	3	3
377	но это	14	3
378	можно было	6	3
379	и этот	2	3
380	поэтому и	2	3
381	действительности –	2	3
382	тем не	11	3
383	применении к	3	3
384	друг с	2	3
385	себя самого	4	3
386	нет никакой	4	3
387	его и	4	3
388	и о	4	3
389	или как	3	3
390	понять и	4	3
391	ни к	3	3
392	но они	2	3
393	не с	8	3
394	на нее	2	3
395	то он	2	3
396	также и	9	3
397	мы возьмем	3	3
398	– мы	3	3
399	с другом	2	3
400	со стороны	9	3
401	в своих	3	3
402	когда он	2	3
403	или иначе	5	3
404	приводит к	2	3
405	из которых	3	3
406	субъективизма и	3	3
407	если он	3	3
408	однако не	4	3
409	учение о	2	3
410	свидетельствует о	3	3
411	находится в	4	3
412	и значения	2	3
413	что эта	2	3
414	говорить о	9	3
415	и есть	40	3
416	и только	11	3
417	а следовательно	4	3
418	из основных	3	3
419	один и	2	3
420	с ним	8	3
421	момент в	6	3
422	этих двух	2	3
423	на все	2	3
424	тем самым	2	2
425	– совершенно	4	2
426	оно и	4	2
427	но можно	3	2
428	ее и	2	2
429	ни о	3	2
430	указывает на	8	2
431	его на	4	2
432	для нее	2	2
433	крайней мере	10	2
434	это будет	4	2
435	в состоянии	2	2
436	этот тип	3	2
437	и притом	4	2
438	в философии	8	2
439	иное как	12	2
440	есть и	13	2
441	можно выразить	2	2
442	сами по	3	2
443	здесь как	2	2
444	в частности	3	2
445	была бы	3	2
446	же мы	2	2
447	а с	3	2
448	же не	4	2
449	и ни	3	2
450	так или	5	2
451	гораздо более	2	2
452	а только	3	2
453	– философия	2	2
454	и реального	3	2
455	форме и	2	2
456	а потому	2	2
457	между прочим	4	2
458	как вещь	9	2
459	не то	4	2
460	том или	2	2
461	совсем не	2	2
462	в разных	6	2
463	же как	3	2
464	или –	3	2
465	то как	2	2
466	и во	3	2
467	то не	7	2
468	себя и	8	2
469	заключается в	3	2
470	это значит	30	2
471	данном случае	2	2
472	мы получим	3	2
473	и выражение	3	2
474	смысла и	8	2
475	ее как	4	2
476	когда мы	6	2
477	она –	6	2
478	само по	4	2
479	можно только	6	2
480	в собственном	3	2
481	в первой	2	2
482	образ и	3	2
483	его как	2	2
484	действительности в	3	2
485	социального бытия	2	2
486	бы к	2	2
487	даже не	8	2
488	это было	2	2
489	к истории	2	2
490	отличается от	8	2
491	этом и	2	2
492	перестает быть	3	2
493	было в	3	2
494	сама по	7	2
495	но уже	3	2
496	не что	12	2
497	не просто	23	2
498	мы еще	2	2
499	есть вещь	7	2
500	превращается в	3	2
501	– только	4	2
502	если оно	9	2
503	как о	5	2
504	с этой	6	2
505	чтобы и	3	2
506	и другие	2	2
507	в чем	10	2
508	между собою	12	2
509	исходить из	2	2
510	но только	4	2
511	по крайней	10	2
512	себе и	2	2
513	самый вопрос	2	2
514	бы что	3	2
515	на него	3	2
516	почти все	2	2
517	зрения и	2	2
518	есть в	4	2
519	в жизни	5	2
520	является и	3	2
521	быть не	5	2
522	и так	2	2
523	есть лишь	2	2
524	конечно и	2	2
525	во всем	2	2
526	явлений и	3	2
527	вообще не	6	2
528	ними в	2	2
529	что эти	2	2
530	видели что	3	2
531	к данной	3	2
532	в самой	3	2
533	поэтому в	2	2
534	нет это	3	2
535	их в	6	2
536	не вполне	2	2
537	есть прежде	4	2
538	или иную	3	2
539	и другой	2	2
540	как с	7	2
541	и если	5	2
542	оно не	6	2
543	эти две	6	2
544	же они	3	2
545	это так	4	2
546	этом смысле	2	2
547	явления и	4	2
548	что мы	17	2
549	она могла	2	2
550	с собою	6	2
551	этого вопроса	3	2
552	ее понимает	2	2
553	отношения к	3	2
554	ту же	2	2
555	но с	2	2
556	собственном смысле	4	2
557	не значит	11	2
558	но он	2	2
559	конечно нет	2	2
