N	2gram	Medvedev_F	Stilisti
1	и в	54	42
2	как бы	10	30
3	не только	14	28
4	прежде всего	34	22
5	хотя бы	10	18
6	то же	16	16
7	но и	18	16
8	и не	34	14
9	социального общения	8	14
10	не может	26	13
11	может быть	30	13
12	как и	18	12
13	точки зрения	21	11
14	в себе	4	10
15	и как	6	10
16	отнюдь не	13	10
17	в этом	39	10
18	как мы	10	10
19	в то	14	9
20	для того	3	9
21	все же	8	9
22	то что	14	9
23	язык и	8	9
24	при этом	14	9
25	мы не	6	9
26	тем самым	5	8
27	ничего не	5	8
28	так как	4	8
29	и это	4	8
30	речевого общения	6	8
31	с тем	11	8
32	в ней	15	8
33	что же	6	8
34	таким образом	28	8
35	с его	12	8
36	никогда не	6	7
37	и от	9	7
38	в которой	5	7
39	зависимости от	5	7
40	же время	13	7
41	так и	24	7
42	потому что	2	7
43	только в	6	7
44	а не	11	7
45	и на	10	7
46	того чтобы	4	7
47	в зависимости	4	7
48	было бы	10	7
49	и его	27	7
50	той же	2	7
51	и тем	3	7
52	бы в	6	6
53	во всех	9	6
54	не в	16	6
55	но ведь	4	6
56	в области	6	6
57	язык в	2	6
58	в конце	2	6
59	речи и	2	6
60	в нем	25	6
61	в свою	8	6
62	в процессе	17	6
63	на его	2	6
64	в его	30	6
65	в форме	2	6
66	слова в	2	6
67	в этой	10	6
68	с помощью	13	6
69	все время	7	5
70	того или	6	5
71	независимо от	5	5
72	в нашем	2	5
73	связанных с	2	5
74	что язык	2	5
75	мы увидим	5	5
76	слова и	5	5
77	не является	3	5
78	и наконец	7	5
79	и их	13	5
80	самом деле	12	5
81	как это	8	5
82	мы видели	5	5
83	но все	4	5
84	и является	3	5
85	тому что	3	5
86	а в	11	5
87	но в	9	5
88	или иного	8	5
89	в самом	17	5
90	и с	17	5
91	в той	3	5
92	с точки	17	5
93	в живом	6	5
94	вместе с	8	5
95	в одном	2	4
96	так же	5	4
97	так сказать	6	4
98	общения и	3	4
99	вопроса о	2	4
100	его в	5	4
101	на него	3	4
102	если бы	8	4
103	что именно	2	4
104	лишь в	15	4
105	свою очередь	6	4
106	слова как	2	4
107	у нас	6	4
108	влияние на	3	4
109	того что	7	4
110	природы или	2	4
111	всего в	5	4
112	самого начала	2	4
113	всех своих	2	4
114	один из	4	4
115	общения в	3	4
116	и все	9	4
117	в каждом	3	4
118	с самого	2	4
119	к тому	6	4
120	и пр	30	4
121	что такое	2	4
122	точка зрения	3	4
123	если мы	5	4
124	уже не	9	4
125	и к	7	4
126	в целом	7	4
127	языка и	13	4
128	или иное	2	4
129	было в	3	4
130	все это	11	4
131	в качестве	2	4
132	можно сказать	2	4
133	не к	2	4
134	в слове	4	4
135	социальной группы	4	4
136	тем же	3	4
137	сказать что	3	3
138	на самом	8	3
139	мы ни	4	3
140	слово и	2	3
141	и развития	2	3
142	это не	4	3
143	том что	3	3
144	в конструкции	3	3
145	а к	2	3
146	и эта	2	3
147	но для	4	3
148	перед нами	3	3
149	и даже	7	3
150	в социальной	3	3
151	этого слова	4	3
152	от того	2	3
153	и здесь	8	3
154	целый ряд	4	3
155	социальной жизни	12	3
156	роль в	2	3
157	конце концов	2	3
158	во второй	3	3
159	в виду	2	3
160	та же	3	3
161	в том	17	3
162	он должен	4	3
163	в частности	4	3
164	у них	3	3
165	еще не	6	3
166	только на	8	3
167	ведь в	2	3
168	совершенно не	5	3
169	его и	2	3
170	как в	12	3
171	и вот	2	3
172	языком и	2	3
173	для него	9	3
174	не с	2	3
175	не так	4	3
176	как предмет	3	3
177	и для	5	3
178	нет и	2	3
179	ни на	5	3
180	всякое высказывание	2	3
181	нам в	2	3
182	в котором	2	3
183	их в	2	3
184	и само	2	3
185	должно было	4	3
186	что оно	4	3
187	как таковой	8	3
188	между ними	3	3
189	не будет	2	3
190	главным образом	5	3
191	но что	2	3
192	из них	5	3
193	если он	4	3
194	хотя и	3	3
195	несмотря на	2	3
196	жизни и	10	3
197	что и	10	3
198	в ее	10	3
199	мы в	2	3
200	все эти	12	3
201	через нее	2	3
202	конечно не	5	3
203	связи с	12	3
204	что было	2	3
205	отношения к	6	3
206	между тем	4	3
207	вряд ли	2	3
208	в основе	7	3
209	материальной действительности	2	3
210	до конца	9	2
211	был и	2	2
212	в отношении	3	2
213	для этого	6	2
214	вопрос о	3	2
215	очевидно что	2	2
216	и потому	9	2
217	значительной степени	3	2
218	с этим	6	2
219	бытия в	3	2
220	для всех	2	2
221	жизненное высказывание	2	2
222	с другими	11	2
223	из этих	4	2
224	но как	2	2
225	в первой	2	2
226	но даже	2	2
227	должно быть	13	2
228	каждый из	3	2
229	к этому	3	2
230	всякий идеологический	2	2
231	по отношению	4	2
232	от их	2	2
233	отношение к	4	2
234	друг друга	4	2
235	должен быть	5	2
236	и содержание	2	2
237	к которому	2	2
238	из всего	2	2
239	словами в	2	2
240	слово в	2	2
241	а на	2	2
242	кроме того	3	2
243	но эта	2	2
244	тем что	6	2
245	в языке	5	2
246	этом отношении	7	2
247	в их	16	2
248	тот или	2	2
249	в значительной	3	2
250	в этих	3	2
251	что он	8	2
252	в идеологическом	6	2
253	что перед	2	2
254	ничем не	4	2
255	нас не	3	2
256	должна была	2	2
257	и ни	2	2
258	отношению к	4	2
259	на отдельные	2	2
260	сих пор	7	2
261	его не	2	2
262	в пределах	13	2
263	в какой	3	2
264	нужно было	2	2
265	на развитие	2	2
266	литературное произведение	10	2
267	подойти к	3	2
268	о языке	4	2
269	себе в	2	2
270	одной из	2	2
271	в жизни	3	2
272	в мире	4	2
273	но не	5	2
274	в душе	2	2
275	и этот	2	2
276	в него	2	2
277	к нему	3	2
278	прежде чем	2	2
279	равно как	2	2
280	зависит от	2	2
281	не из	5	2
282	в своих	3	2
283	еще более	6	2
284	только одна	2	2
285	даже и	5	2
286	не есть	4	2
287	от чего	3	2
288	этот вопрос	2	2
289	жизненного общения	2	2
290	и те	2	2
291	материалом и	2	2
292	место в	8	2
293	для них	4	2
294	как таковое	3	2
295	не было	7	2
296	смысле этого	4	2
297	между двумя	3	2
298	здесь не	5	2
299	в предыдущей	2	2
300	человек не	3	2
301	языка в	8	2
302	но это	4	2
303	в своей	16	2
304	или даже	3	2
305	или в	2	2
306	в связи	11	2
307	таким же	2	2
308	был бы	2	2
309	войти в	2	2
310	он не	8	2
311	друг другу	2	2
312	значение и	4	2
313	в дальнейшем	3	2
314	перейти к	3	2
315	эти вопросы	2	2
316	не останется	3	2
317	с ним	3	2
318	для всякого	2	2
319	вовсе не	18	2
320	тем и	2	2
321	как с	2	2
322	к миру	2	2
323	ясно что	3	2
324	жизненных высказываний	3	2
325	языка мы	2	2
