N	2gram	Vinokur_St	Narrotol
1	не только	36	62
2	и не	23	50
3	при этом	4	47
4	но и	28	45
5	а не	19	38
6	в качестве	7	35
7	в частности	6	31
8	может быть	16	30
9	и в	61	30
10	в том	56	29
11	своего рода	7	28
12	том что	49	28
13	в этом	37	28
14	а в	18	27
15	такого рода	2	26
16	только в	11	25
17	в данном	16	24
18	как и	11	24
19	не в	15	23
20	то что	27	23
21	то есть	2	22
22	в тексте	12	22
23	не может	10	20
24	данном случае	7	17
25	в себе	3	17
26	так и	15	17
27	а также	4	17
28	со стороны	7	16
29	в его	19	16
30	но в	16	15
31	можно сказать	2	15
32	к тому	9	15
33	и его	11	14
34	в своем	8	13
35	в своей	12	13
36	то же	7	13
37	времени и	4	13
38	у него	3	13
39	о том	30	13
40	все же	12	12
41	прежде всего	11	12
42	как в	15	12
43	как бы	8	12
44	тем самым	2	11
45	по отношению	3	11
46	и тем	3	11
47	об этом	9	11
48	в нем	9	11
49	в этой	13	11
50	если бы	11	11
51	отношению к	3	11
52	хотя и	4	11
53	никогда не	7	10
54	в то	10	10
55	ничего не	6	10
56	как это	6	10
57	точки зрения	16	10
58	того что	14	10
59	как правило	2	10
60	не является	5	10
61	и все	3	10
62	но не	5	10
63	жизни и	6	10
64	тому же	2	10
65	между тем	7	10
66	с его	3	10
67	еще не	4	9
68	что он	23	9
69	что в	41	9
70	тем не	4	9
71	для него	10	9
72	столь же	5	9
73	потому что	13	9
74	как раз	10	9
75	о чем	4	8
76	самом деле	14	8
77	не менее	8	8
78	того чтобы	15	8
79	мы имеем	2	8
80	и он	2	8
81	этом отношении	13	8
82	у нас	12	8
83	и для	4	8
84	в самом	14	8
85	и к	5	8
86	внимание на	5	8
87	в той	9	8
88	же время	5	8
89	в таком	4	8
90	он не	11	8
91	не мог	3	8
92	это не	8	7
93	в конце	5	7
94	а во	3	7
95	в чем	4	7
96	в ней	9	7
97	на себя	3	7
98	в целом	5	7
99	в ее	6	7
100	также и	10	7
101	с другой	11	7
102	в котором	11	7
103	и на	7	7
104	в форме	2	7
105	одной стороны	2	6
106	вплоть до	6	6
107	в сознании	2	6
108	они не	2	6
109	могло бы	3	6
110	во втором	5	6
111	ответ на	4	6
112	не могла	2	6
113	в известном	3	6
114	что и	8	6
115	например в	8	6
116	сказать что	9	6
117	то в	3	6
118	из этих	7	6
119	однако и	2	6
120	в результате	5	6
121	на него	3	6
122	не по	5	6
123	с одной	3	6
124	что у	8	6
125	на то	5	6
126	к его	2	6
127	в случае	2	6
128	таким образом	16	6
129	в слове	5	6
130	имеем дело	2	6
131	от его	2	5
132	на самом	8	5
133	том как	4	5
134	в другом	5	5
135	и у	2	5
136	не всегда	2	5
137	а именно	3	5
138	точку зрения	3	5
139	дело с	2	5
140	и о	4	5
141	о котором	2	5
142	к нему	2	5
143	свидетельствует о	2	5
144	место в	2	5
145	не столько	6	5
146	было бы	21	5
147	мы не	3	5
148	я не	13	5
149	и здесь	2	5
150	да и	4	5
151	и то	6	5
152	по поводу	13	5
153	и от	2	5
154	что это	5	5
155	в начале	5	5
156	тем более	4	5
157	в равной	2	5
158	бы и	4	5
159	этом и	2	5
160	и даже	8	5
161	для того	15	5
162	в какой	4	5
163	его жизни	3	5
164	их в	2	5
165	именно в	8	5
166	в своих	2	5
167	в русской	4	5
168	о них	3	5
169	но для	3	5
170	если не	4	5
171	еще в	3	5
172	из них	11	5
173	в одном	7	5
174	не было	7	5
175	и уже	3	5
176	и сам	4	5
177	как будто	5	5
178	даже в	5	4
179	не о	2	4
180	в москве	4	4
181	начиная с	2	4
182	но именно	3	4
