N	2gram	Ircho_Kome	UchenyiS
1	и в	40	14
2	не только	12	10
3	и не	19	8
4	прежде всего	8	8
5	то что	8	7
6	не может	3	7
7	в этом	9	7
8	может быть	16	6
9	то же	7	5
10	хотя бы	2	5
11	все это	7	5
12	но и	14	4
13	в этой	9	4
14	с другой	7	4
15	в их	6	4
16	у нас	3	3
17	в частности	7	3
18	для этого	2	3
19	не следует	2	3
20	это не	2	3
21	в своей	3	3
22	все же	7	3
23	как и	12	3
24	в то	14	3
25	но в	6	3
26	этой области	2	3
27	же время	5	3
28	и формы	2	3
29	к сожалению	2	3
30	ни было	4	3
31	было бы	8	3
32	в области	3	3
33	бы то	4	3
34	то ни	4	3
35	другой стороны	6	3
36	в самом	5	2
37	в себе	3	2
38	и у	3	2
39	о чем	2	2
40	же не	2	2
41	нас в	3	2
42	же самое	2	2
43	что он	11	2
44	надо было	3	2
45	таким образом	13	2
46	но не	3	2
47	и для	4	2
48	если бы	4	2
49	более чем	4	2
50	не все	2	2
51	между тем	9	2
52	только в	6	2
53	одним из	3	2
54	этом смысле	2	2
55	что она	3	2
56	ничего не	4	2
57	и с	8	2
58	должна была	3	2
59	что и	10	2
60	могут быть	3	2
61	это было	5	2
62	сих пор	3	2
63	по себе	2	2
64	тем что	5	2
65	том что	19	2
66	материал для	2	2
67	в его	8	2
68	это уже	2	2
69	в том	19	2
70	этом отношении	3	2
71	с его	4	2
72	как раз	4	2
73	конце концов	4	2
74	но это	2	2
75	для всех	5	2
76	не в	8	2
77	в конце	7	2
78	мы не	4	2
79	до сих	3	2
