N	2gram	Losev_Vlad	Otkroven
1	у него	28	22
2	у достоевского	2	19
3	и в	56	19
4	но и	26	13
5	и не	33	13
6	в этом	30	12
7	не только	35	11
8	не в	12	11
9	а не	5	11
10	может быть	12	11
11	и все	8	10
12	в нем	7	10
13	никогда не	15	9
14	потому что	16	9
15	не было	12	9
16	прежде всего	5	9
17	и он	7	8
18	он был	20	8
19	ни с	6	7
20	лишь в	3	7
21	в его	18	7
22	до конца	8	7
23	от него	3	7
24	он не	13	7
25	он всегда	2	7
26	но он	7	7
27	как и	7	6
28	все это	7	6
29	для него	16	5
30	а в	20	5
31	в россии	7	5
32	в том	26	5
33	о его	7	5
34	него в	4	5
35	в самом	3	5
36	то что	30	5
37	в этой	4	5
38	отношение к	7	5
39	и его	12	4
40	что в	24	4
41	он сам	3	4
42	того чтобы	4	4
43	все эти	6	4
44	на земле	2	4
45	него и	2	4
46	не может	12	4
47	что не	3	4
48	с его	15	4
49	в себе	5	3
50	и от	6	3
51	о том	13	3
52	это не	3	3
53	к нему	6	3
54	не могут	2	3
55	что он	22	3
56	и вот	5	3
57	было бы	7	3
58	жизни все	2	3
59	для того	4	3
60	еще не	2	3
61	и есть	2	3
62	все что	2	3
63	в этих	5	3
64	в своих	7	3
65	когда он	6	3
66	только одно	4	3
67	как бы	5	3
68	хотя бы	5	3
69	это было	9	3
70	с ним	10	3
71	мысли и	5	3
72	того что	6	3
73	как к	4	2
74	и то	13	2
75	сказать что	14	2
76	и на	7	2
77	с тем	4	2
78	уже в	9	2
79	что же	11	2
80	и для	4	2
81	совсем не	7	2
82	что все	2	2
83	не имеет	2	2
84	не могли	2	2
85	ничего не	4	2
86	и с	27	2
87	что и	6	2
88	и никогда	2	2
89	рационализма и	2	2
90	и потому	8	2
91	и ни	2	2
92	в своем	10	2
93	было для	3	2
94	тем что	2	2
95	но в	19	2
96	том что	22	2
97	к этой	4	2
98	что для	5	2
99	природы и	2	2
100	все же	11	2
101	него не	4	2
102	о которой	3	2
103	жизни в	3	2
104	не очень	6	2
105	в своей	7	2
106	он в	4	2
107	ума и	2	2
108	так как	11	2
109	по себе	3	2
110	что у	4	2
111	должен был	3	2
112	что они	4	2
113	в истории	4	2
114	так что	13	2
115	своей жизни	5	2
116	даже и	12	2
117	и о	6	2
118	не есть	4	2
119	с которой	2	2
120	к этому	11	2
121	и к	10	2
122	так и	11	2
123	и очень	5	2
124	достоевского но	2	2
125	в которой	8	2
126	которую он	6	2
127	личности и	2	2
128	к ней	7	2
129	хотя и	9	2
130	его не	2	2
131	и из	5	2
132	было всего	2	2
133	учение о	2	2
134	в этот	5	2
135	с богом	3	2
136	чем в	2	2
137	его в	3	2
