N	3gram	Vygotskiy_	Vvedenie
1	для того чтобы	24	22
2	в том что	24	15
3	о том что	4	13
4	в этом смысле	2	10
5	не может быть	6	10
6	тем не менее	4	9
7	до сих пор	6	7
8	мере в какой	2	6
9	в то же	2	6
10	в этом случае	15	6
11	в той мере	2	6
12	к выводу что	3	6
13	в самом деле	4	6
14	той мере в	2	6
15	с другой стороны	3	5
16	не только в	2	4
17	в данном случае	5	4
18	в этом отношении	7	4
19	и в этом	2	4
20	с одной стороны	7	4
21	по отношению к	9	4
22	в отличие от	4	4
23	с точки зрения	31	4
24	можно было бы	5	4
25	по сравнению с	20	4
26	вместе с тем	6	3
27	заключается в том	9	3
28	о чем говорится	4	3
29	в известном смысле	2	3
30	то же самое	11	3
31	той или иной	2	3
32	одной стороны и	4	3
33	как мы видели	7	3
34	по этому поводу	3	3
35	именно в этом	3	3
36	в зависимости от	6	3
37	можно сказать что	7	3
38	в собственном смысле	4	3
39	и то что	5	3
40	одно и то	3	2
41	по самой своей	5	2
42	но вместе с	2	2
43	и то же	3	2
44	состоит в том	3	2
45	не могут не	4	2
46	одной и той	5	2
47	как мы уже	2	2
48	и той же	5	2
49	сам по себе	2	2
50	в значительной мере	2	2
51	подобно тому как	2	2
52	в первом случае	5	2
53	этой точки зрения	4	2
54	представить себе что	2	2
55	с этой точки	4	2
56	что в этом	2	2
57	и того же	3	2
58	самой своей природе	4	2
59	точно так же	3	2
60	потому что он	4	2
61	только в том	2	2
62	одного и того	3	2
63	если таким образом	2	2
64	смысле этого слова	4	2
65	в большей мере	2	2
66	каждой из двух	2	2
67	не до конца	2	2
68	но не может	2	2
69	в свою очередь	3	2
70	же самое что	3	2
71	по своему значению	3	2
72	не могут быть	3	2
