N	3gram	Bakhtin_Pr	Marksizm
1	с точки зрения	21	46
2	не может быть	8	25
3	в самом деле	6	19
4	в то же	13	15
5	по отношению к	12	15
6	то же время	13	15
7	в том что	6	14
8	бы то ни	3	12
9	и не может	6	12
10	то ни было	2	12
11	до сих пор	9	11
12	в отличие от	4	10
13	но в то	7	9
14	как если бы	3	9
15	в большинстве случаев	10	9
16	может быть и	2	8
17	в отношении к	3	8
18	в настоящее время	3	8
19	до настоящего времени	2	7
20	с другой стороны	6	7
21	во всяком случае	4	6
22	на самом деле	4	6
23	на то что	2	6
24	как мы уже	2	6
25	в этом отношении	3	5
26	том что он	5	4
27	можно сказать что	2	4
28	о том что	2	4
29	как мы сказали	3	4
30	в разрезе данного	2	4
31	в узком смысле	2	4
32	вполне понятно что	2	4
33	лишь там где	2	4
34	в зависимости от	5	4
35	но все же	3	4
36	но при этом	2	3
37	тем не менее	2	3
38	более или менее	4	3
39	в пределах одного	6	3
40	в конце концов	7	3
41	друг с другом	3	3
42	в авторский контекст	2	3
43	можно было бы	3	3
44	на этот вопрос	2	3
45	не только в	2	3
46	чужое слово и	4	3
47	хотя бы и	3	3
48	точки зрения своего	2	3
49	и в этом	5	3
50	по крайней мере	2	2
51	на чужое слово	12	2
52	само по себе	4	2
53	же как и	2	2
54	пор совершенно не	2	2
55	так и в	2	2
56	и в большинстве	2	2
57	сих пор совершенно	2	2
58	и в других	2	2
59	в данном случае	2	2
60	как и в	3	2
61	между тем как	5	2
62	сами по себе	4	2
63	как мы увидим	3	2
64	в этой форме	2	2
65	к тому же	2	2
66	в его целом	6	2
67	сама по себе	5	2
68	к себе самому	4	2
69	к нему и	2	2
70	к одному знаменателю	2	2
71	а следовательно и	2	2
72	как и все	4	2
73	чужого слова и	3	2
74	в этом смысле	12	2
75	на чужую речь	4	2
76	дело идет о	4	2
