N	2gram	Berdyaev_V	Komedia
1	и в	16	77
2	и не	20	47
3	в том	3	44
4	том что	2	42
5	но и	5	32
6	в этом	4	27
7	потому что	4	27
8	что он	4	26
9	к тому	3	26
10	не только	2	25
11	так как	9	24
12	как и	4	23
13	ни в	3	23
14	что в	3	23
15	что и	3	22
16	в конце	3	21
17	так и	4	21
18	а в	2	21
19	в его	4	20
20	и т	2	17
21	тем что	2	17
22	еще не	8	17
23	в нем	4	17
24	тот же	3	16
25	и сам	2	16
26	не в	3	15
27	между тем	2	15
28	прежде всего	2	15
29	один из	2	15
30	на себя	5	15
31	все это	5	14
32	то что	9	13
33	но в	3	13
34	в них	3	13
35	того чтобы	2	13
36	в истории	8	12
37	хотя и	5	12
38	но не	2	12
39	в котором	4	12
40	с тем	2	11
41	и для	3	11
42	с ним	2	11
43	и все	4	10
44	в чем	3	10
45	мы не	2	10
46	с его	3	10
47	как бы	5	10
48	более чем	2	10
49	и что	3	10
50	тому что	3	9
51	в образе	4	9
52	в своей	3	9
53	все что	4	9
54	говорить о	4	9
55	только в	2	9
56	в ней	4	9
57	то это	3	8
58	да и	2	8
59	можно было	2	8
60	если не	3	8
61	не было	3	8
62	во всех	3	8
63	и это	2	7
64	и во	2	7
65	что они	7	7
66	во всяком	2	7
67	хотя бы	3	7
68	в этих	3	7
69	не имеет	3	7
70	по которым	2	7
71	для нас	2	7
72	за то	3	6
73	всего в	2	6
74	могут быть	2	6
75	что не	4	6
76	до того	2	6
77	нет и	2	6
78	а не	7	6
79	никогда не	3	5
80	что их	2	5
81	это не	2	5
82	вслед за	2	5
83	и мы	3	5
84	не так	2	5
85	и я	4	5
86	любовь к	3	5
87	в мире	5	5
88	за ним	3	5
89	т д	2	5
90	мира в	2	5
91	что я	3	5
92	жизни и	3	5
93	и теперь	2	5
94	ли ты	2	5
95	конечно не	2	5
96	в духе	2	4
97	же ты	3	4
98	его не	2	4
99	когда в	2	4
100	в число	2	4
101	одна из	2	4
102	нет ничего	3	4
103	их в	3	4
104	что мы	4	4
105	все равно	2	4
106	в себя	2	4
107	и потому	7	3
108	не могут	2	3
109	от него	2	3
110	а с	2	3
111	от этого	3	3
112	его и	2	3
113	людей и	2	3
114	и за	2	3
115	для их	2	3
116	по этому	3	3
117	для них	2	3
118	а к	2	3
119	не с	2	3
120	к людям	6	3
121	что ты	3	3
122	и есть	4	3
123	не к	2	3
124	эти люди	2	2
125	для человека	2	2
126	государства и	2	2
127	и новые	2	2
128	человека и	6	2
129	не могли	2	2
130	это дело	2	2
131	того что	5	2
132	что все	4	2
133	от своей	2	2
134	все эти	3	2
135	должна быть	3	2
136	все тот	2	2
137	бы и	3	2
138	они будут	4	2
139	это еще	4	2
140	но это	3	2
141	от которого	3	2
142	чтобы сделать	2	2
143	как не	3	2
144	превращается в	3	2
145	на земле	7	2
146	было еще	2	2
147	с презрением	2	2
148	для него	2	2
149	я говорю	2	2
150	в жизни	3	2
151	его к	2	2
152	ее в	2	2
153	не будет	2	2
154	я думаю	2	2
155	ты не	5	2
156	почему в	2	2
157	земли и	2	2
158	в форме	2	2
