N	3gram	Tiupa_Disk	KulturaY
1	с точки зрения	3	36
2	в том что	18	33
3	во всяком случае	2	19
4	с другой стороны	4	17
5	в том чтобы	2	14
6	по крайней мере	3	13
7	по отношению к	13	13
8	в этом отношении	4	11
9	не может быть	5	11
10	о том что	8	10
11	того или иного	2	9
12	не в том	3	8
13	не только в	2	8
14	в этом случае	3	8
15	а с другой	4	7
16	только в том	2	7
17	с одной стороны	12	7
18	в свою очередь	3	7
19	в то же	7	6
20	той или иной	6	6
21	к тому же	4	6
22	в первую очередь	3	6
23	то же время	9	6
24	не говоря уже	2	6
25	в свое время	3	6
26	в отличие от	12	6
27	речь идет о	2	5
28	что же касается	4	5
29	более или менее	2	5
30	в соответствии с	4	5
31	говоря уже о	2	5
32	так и в	4	5
33	в данном случае	6	5
34	на мой взгляд	3	5
35	тот или иной	2	4
36	в конечном счете	2	4
37	одного и того	4	4
38	состоит в том	3	4
39	только то что	2	4
40	и того же	4	4
41	а в том	2	4
42	в наше время	4	3
43	большей или меньшей	2	3
44	обратить внимание на	2	3
45	и прежде всего	2	2
46	и то же	2	2
47	прежде всего в	2	2
48	потому что в	2	2
49	что в них	2	2
50	в большинстве случаев	2	2
51	не более чем	3	2
52	в том числе	3	2
53	далеко еще не	3	2
54	едва ли не	2	2
55	и в особенности	2	2
56	это еще не	2	2
57	можно сказать что	3	2
58	сами по себе	2	2
59	и в то	2	2
60	по природе своей	6	2
61	по себе не	2	2
62	в этом своем	2	2
63	тем что он	2	2
