N	2gram	Tiupa_Teor	Problema
1	и в	24	182
2	то есть	22	165
3	и не	17	152
4	вовсе не	3	145
5	то что	6	144
6	не только	24	104
7	потому что	3	89
8	в этом	12	88
9	может быть	22	82
10	том что	11	81
11	в том	20	81
12	не просто	2	80
13	только в	9	73
14	сказать что	4	72
15	но и	14	70
16	у нас	2	68
17	и даже	2	66
18	по себе	2	64
19	не менее	6	58
20	о том	2	57
21	так и	14	56
22	тем не	3	56
23	а не	14	56
24	но в	12	55
25	ни в	5	51
26	отнюдь не	3	48
27	в себе	14	48
28	в своей	8	45
29	прежде всего	3	45
30	что в	10	44
31	в его	12	44
32	все эти	3	43
33	не в	9	43
34	таким образом	3	42
35	как раз	3	42
36	то же	12	42
37	а именно	3	42
38	если мы	2	42
39	и то	3	40
40	что он	4	40
41	и что	4	40
42	не может	8	39
43	в этой	3	39
44	такого рода	13	39
45	и тем	5	39
46	как бы	8	39
47	в стихотворении	4	38
48	той или	3	38
49	в данном	9	38
50	того что	5	37
51	в нем	7	37
52	еще не	6	36
53	точки зрения	11	36
54	в виду	5	34
55	как и	6	34
56	уже не	6	34
57	не является	5	33
58	или иной	7	33
59	в таком	3	33
60	в то	9	32
61	здесь не	2	32
62	но не	13	32
63	в своем	7	31
64	в конце	2	31
65	связи с	3	31
66	все это	2	31
67	что такое	2	31
68	так же	2	31
69	с другой	9	30
70	и для	3	30
71	перед нами	3	29
72	об этом	2	29
73	в связи	3	29
74	можно сказать	5	29
75	данном случае	5	28
76	и о	5	28
77	а в	15	28
78	и как	3	27
79	и это	2	27
80	хотя и	4	27
81	еще и	2	26
82	как будто	2	26
83	вместе с	2	26
84	это не	4	26
85	другой стороны	6	26
86	и его	11	26
87	тем самым	6	25
88	с точки	3	25
89	и на	2	25
90	тем более	2	24
91	в нашем	4	24
92	и притом	3	23
93	а только	4	23
94	только и	2	23
95	таком случае	2	23
96	при этом	20	23
97	в качестве	33	23
98	по своему	4	23
99	никогда не	4	22
100	и является	2	22
101	его в	4	22
102	только на	2	22
103	что и	2	22
104	есть в	3	22
105	и к	3	22
106	и ее	4	21
107	а также	7	21
108	для себя	3	21
109	сама по	2	21
110	в самом	7	21
111	говорить о	4	21
112	и потому	3	20
113	но как	2	20
114	для того	5	20
115	именно в	3	20
116	о чем	3	20
117	несмотря на	2	20
118	или в	3	20
119	в отношении	4	19
120	в каком	2	19
121	того или	6	19
122	то в	2	19
123	если бы	3	19
124	он не	5	19
125	самом деле	2	19
126	в них	2	19
127	как в	5	19
128	этом смысле	3	19
129	того же	4	18
130	не будет	3	18
131	того чтобы	5	18
132	в ее	6	18
133	в этих	4	18
134	и здесь	2	17
135	это и	2	17
136	что они	2	17
137	тех или	3	17
138	во всех	3	17
139	к тому	4	16
140	художественного произведения	5	16
141	в одно	2	16
142	далеко не	4	16
143	как это	10	16
144	случае не	2	16
145	что она	2	16
146	он и	2	16
147	в чем	2	15
148	казалось бы	2	15
149	в частности	23	15
150	у него	2	15
151	в той	2	15
152	и сам	4	15
153	за пределы	2	14
154	искусства и	3	14
155	с другими	6	14
156	то ни	2	14
157	только о	2	14
158	который в	2	13
159	дело в	2	13
160	или даже	4	13
161	в их	4	13
162	тому что	2	13
163	мы имеем	7	13
164	в области	7	13
165	или иного	6	13
166	мы в	2	13
167	при условии	2	12
168	так или	5	12
169	языкового знака	2	12
170	в которой	3	12
171	в другом	4	12
172	с одной	3	12
173	в самой	2	12
174	значения и	2	12
175	в целом	4	12
176	в литературе	4	12
177	или иначе	6	12
178	могли бы	2	11
179	или иных	3	11
180	только не	3	11
181	не могут	2	11
182	одной стороны	3	11
183	бы то	2	11
184	жизни в	2	11
185	к нему	2	11
186	заключается в	2	11
187	в искусстве	9	11
188	один из	2	10
189	однако в	7	10
190	быть и	2	10
191	отличается от	2	10
192	собственно говоря	2	10
193	в одном	3	10
194	художественного творчества	5	10
195	или менее	6	10
196	художественное произведение	3	10
197	более или	6	10
198	в году	2	10
