N	3gram	Potebnia_M	Problema
1	тем не менее	7	56
2	о том что	5	39
3	в том что	22	37
4	и т д	5	33
5	то же самое	3	30
6	в данном случае	3	28
7	по крайней мере	8	26
8	во всяком случае	3	25
9	с точки зрения	2	25
10	с другой стороны	4	25
11	в таком случае	2	23
12	сама по себе	3	21
13	сам по себе	9	21
14	и то что	3	20
15	на то что	3	19
16	в этом смысле	2	19
17	для того чтобы	5	17
18	в то же	8	17
19	то что мы	3	15
20	до сих пор	4	14
21	в этом случае	2	14
22	на самом деле	4	13
23	сами по себе	3	13
24	не есть ни	4	13
25	не может быть	7	12
26	в то время	7	12
27	можно сказать что	3	12
28	то время как	3	12
29	или по крайней	2	11
30	с одной стороны	4	11
31	более или менее	6	10
32	не только не	4	10
33	вместе с тем	5	10
34	не только в	4	10
35	то и другое	3	9
36	только тогда когда	11	8
37	может быть только	4	8
38	потому что он	3	8
39	только в том	5	8
40	но и в	4	7
41	но никак не	2	7
42	только потому что	5	7
43	а может быть	2	7
44	и то же	7	6
45	то есть не	4	6
46	так и в	2	6
47	то что в	2	6
48	в буквальном смысле	2	6
49	само по себе	6	6
50	в том смысле	6	6
51	и как бы	2	6
52	есть прежде всего	2	6
53	в этом отношении	2	6
54	потому что оно	2	5
55	по себе а	4	5
56	в собственном смысле	2	5
57	в языке и	3	5
58	в том виде	2	5
59	том что он	2	5
60	одно и то	7	5
61	том смысле что	2	5
62	одним и тем	4	4
63	так что в	2	4
64	в таких случаях	2	4
65	и тем же	4	4
66	друг от друга	2	4
67	не было бы	2	4
68	есть то что	2	4
69	именно то что	2	4
70	в себе не	2	4
71	подобно тому как	3	4
72	до тех пор	5	4
73	в том чтобы	4	4
74	равно как и	2	4
75	от того что	7	3
76	после того как	2	3
77	нельзя сказать что	2	3
78	к тому что	3	3
79	в одно целое	3	3
80	же самое нужно	2	3
81	мы не знаем	3	3
82	как и в	3	3
83	то тем самым	3	3
84	что и в	4	3
85	то или другое	2	3
86	одного и того	2	3
87	и может быть	2	3
88	таким образом что	2	3
89	или лучше сказать	3	3
90	далеко не все	3	3
91	не то что	2	3
92	и того же	2	3
93	того что мы	2	3
94	в том случае	2	2
95	и то и	2	2
96	тем и другим	2	2
97	по отношению к	10	2
98	потому что не	4	2
99	потому что для	2	2
100	имеет значение не	2	2
101	одной и той	4	2
102	что он не	3	2
103	было бы мало	2	2
104	и в самом	3	2
105	потому что и	3	2
106	из них не	2	2
107	нам кажется что	3	2
108	в том же	2	2
109	то же что	5	2
110	и в том	3	2
111	в свою очередь	6	2
112	и многие другие	2	2
113	мы не можем	5	2
114	но тем не	4	2
115	до такой степени	3	2
116	и тот же	2	2
117	того и другого	2	2
118	и т п	7	2
119	между собою и	2	2
120	в сознании и	3	2
121	между тем как	4	2
122	и той же	4	2
123	потому что мы	3	2
124	то есть от	2	2
125	один и тот	2	2
126	а в том	5	2
