N	3gram	Trubetskoy	Narrotol
1	в том что	16	18
2	в данном случае	3	17
3	по отношению к	11	11
4	о том что	4	9
5	к тому же	5	9
6	в то же	2	8
7	тем не менее	4	8
8	то же время	2	8
9	не может быть	4	8
10	с одной стороны	2	6
11	на самом деле	7	5
12	для того чтобы	7	5
13	в свою очередь	2	5
14	начало и конец	4	4
15	во всяком случае	2	4
16	двух или нескольких	2	3
17	в связи с	3	3
18	с точки зрения	8	3
19	заключает в себе	2	3
20	в самом деле	5	3
21	до сих пор	15	3
22	на то что	7	3
23	друг на друга	2	3
24	и то что	3	3
25	но все же	2	2
26	более или менее	8	2
27	а с другой	2	2
28	одного и того	3	2
29	так же как	3	2
30	и того же	3	2
31	а между тем	8	2
32	все же не	3	2
