N	2gram	Ircho_Kome	Morfolog
1	и т	11	62
2	может быть	16	61
3	т д	4	60
4	таким образом	13	26
5	т е	14	25
6	действующих лиц	8	22
7	могут быть	3	21
8	так как	6	20
9	не может	3	19
10	в этом	9	18
11	в этих	5	17
12	и в	40	17
13	и не	19	16
14	с этим	5	14
15	прежде всего	8	14
16	связи с	3	12
17	чаще всего	3	11
18	вопрос о	5	10
19	но если	4	10
20	то же	7	10
21	в том	19	10
22	не всегда	2	10
23	то что	8	10
24	так и	17	10
25	что в	12	10
26	что и	10	10
27	а затем	4	10
28	в связи	3	10
29	все же	7	9
30	но и	14	9
31	с другой	7	9
32	не только	12	8
33	в тех	5	8
34	в результате	5	8
35	но не	3	8
36	а в	9	8
37	мы не	4	8
38	в качестве	8	8
39	как мы	5	8
40	том что	19	7
41	если в	3	7
42	по отношению	5	7
43	тем не	3	7
44	наряду с	7	7
45	не менее	6	7
46	отношению к	5	7
47	как это	7	7
48	а также	5	7
49	и здесь	6	7
50	нет необходимости	2	7
51	точки зрения	7	7
52	один из	9	7
53	потому что	8	7
54	это не	2	6
55	но это	2	6
56	не все	2	6
57	во всех	4	6
58	и как	3	6
59	или в	5	6
60	во время	11	6
61	и другие	3	6
62	в нашем	2	6
63	о том	12	6
64	в образе	4	6
65	большей частью	3	6
66	в форме	2	6
67	как бы	3	6
68	вовсе не	3	6
69	одна из	4	5
70	ничего не	4	5
71	в поле	4	5
72	и ее	5	5
73	вслед за	4	5
74	хотя бы	2	5
75	мы можем	6	5
76	было бы	8	5
77	об этом	2	5
78	со стороны	3	5
79	что он	11	5
80	как в	8	5
81	то это	3	5
82	тому что	4	5
83	к тому	15	5
84	из которых	5	5
85	между тем	9	5
86	в целом	6	5
87	главным образом	4	5
88	другой стороны	6	5
89	на его	5	5
90	в других	3	5
91	что они	4	5
92	он не	5	5
93	в первом	2	5
94	хотя и	6	5
95	ясно что	9	5
96	его в	6	4
97	тех же	4	4
98	независимо от	5	4
99	три года	2	4
100	так же	4	4
101	в то	14	4
102	можно было	5	4
103	к этому	8	4
104	на него	4	4
105	тем что	5	4
106	не является	2	4
107	еще не	7	4
108	могла бы	2	4
109	из них	16	4
110	пока же	2	4
111	но в	6	4
112	но все	4	4
113	и для	4	4
114	как и	12	4
115	ни одна	2	4
116	и к	2	4
117	на этом	3	4
118	несмотря на	5	4
119	№ и	2	4
120	того чтобы	4	4
121	о его	5	4
122	говорить о	3	4
123	никто не	3	4
124	от того	3	4
125	время как	6	3
126	означает что	2	3
127	в которой	9	3
128	а на	2	3
129	то ни	4	3
130	это было	5	3
131	даже не	4	3
132	что это	5	3
133	и их	3	3
134	и у	3	3
135	одному из	2	3
136	целый ряд	2	3
137	друг друга	2	3
138	только что	2	3
139	если бы	4	3
140	в виде	3	3
141	же она	2	3
142	и тем	2	3
143	из двух	2	3
144	не в	8	3
145	для того	3	3
146	с этой	3	3
147	у нас	3	3
148	в один	2	3
149	к ней	2	3
150	в какой	2	3
151	здесь мы	3	3
152	для этой	3	3
153	ее в	2	3
154	к нему	5	3
155	это уже	2	3
156	на то	3	3
157	а то	3	3
158	ни в	9	3
159	если это	2	3
160	на нем	2	3
161	с собой	2	3
162	в большинстве	2	3
163	большинстве случаев	2	3
164	совсем не	2	3
165	в начале	7	3
166	и что	2	3
167	то время	8	3
168	и по	6	3
169	же в	7	3
170	и его	17	3
171	или на	2	3
172	только в	6	3
173	в сущности	3	3
174	в этой	9	3
175	по всему	3	3
176	бы то	4	3
177	с его	4	3
178	это еще	2	2
179	если они	3	2
180	в доме	6	2
181	себя в	2	2
182	путь к	2	2
183	из этих	5	2
184	одной стороны	5	2
185	собой в	2	2
186	бы в	3	2
187	во второй	4	2
188	у нее	2	2
189	ответ на	2	2
190	в обоих	3	2
191	в другом	5	2
192	также в	3	2
193	и даже	5	2
194	сразу же	5	2
195	или менее	2	2
196	что она	3	2
197	и таким	2	2
198	роль в	2	2
199	в середине	5	2
200	в жены	2	2
201	что именно	3	2
202	этом отношении	3	2
203	в частности	7	2
204	по отдельным	2	2
205	ни было	4	2
206	одним из	3	2
207	действующим лицам	2	2
208	е а	2	2
209	и за	3	2
210	вывод что	3	2
211	не означает	2	2
212	право на	2	2
213	в чем	3	2
214	см ниже	4	2
215	с одной	5	2
216	и более	2	2
217	обоих случаях	3	2
218	и дает	2	2
219	можно сделать	3	2
220	одной из	6	2
221	не по	5	2
222	на этот	5	2
223	с тем	5	2
224	сказать о	2	2
225	в в	8	2
226	дома в	2	2
227	или по	3	2
228	ни одной	3	2
229	в своих	2	2
230	ту же	2	2
231	но они	2	2
232	все известные	2	2
233	этим же	2	2
234	однако в	4	2
235	что же	2	2
236	всяком случае	4	2
237	когда в	3	2
238	все это	7	2
239	у него	6	2
240	как будто	3	2
241	так называемых	3	2
242	из его	6	2
243	который в	2	2
244	в одном	10	2
245	во всяком	4	2
246	чем это	2	2
247	по своему	5	2
248	тем же	2	2
249	того как	3	2
