N	2gram	Vinokur_Ku	Russkaja
1	не может	13	22
2	и не	23	19
3	в том	47	17
4	в этом	31	17
5	и в	44	14
6	то что	14	13
7	точки зрения	25	11
8	то же	12	11
9	таким образом	17	11
10	в то	4	10
11	но и	13	10
12	же время	4	10
13	не только	29	9
14	том что	30	9
15	может быть	25	9
16	в себе	4	9
17	с точки	16	9
18	во всяком	8	9
19	того чтобы	25	8
20	как на	4	8
21	прежде всего	14	8
22	и с	11	7
23	к тому	8	7
24	о том	10	7
25	в данном	8	7
26	мы должны	2	7
27	и если	4	7
28	отнюдь не	5	7
29	самом деле	17	7
30	с тем	5	6
31	если в	2	6
32	на самом	3	6
33	и для	3	6
34	в своих	2	6
35	если бы	21	6
36	всяком случае	8	6
37	все это	10	6
38	для того	23	6
39	и при	3	6
40	что он	7	6
41	в своем	4	6
42	для него	2	6
43	вопрос о	11	5
44	или иной	3	5
45	а в	7	5
46	на то	6	5
47	было бы	28	5
48	хотя бы	19	5
49	из которых	3	5
50	и на	8	5
51	потому что	40	5
52	при этом	6	5
53	в нем	7	5
54	он должен	2	5
55	в своей	4	5
56	конечно не	3	5
57	только в	15	5
58	никогда не	2	5
59	и только	2	5
60	он не	4	5
61	сих пор	5	5
62	между тем	11	5
63	по существу	9	5
64	до сих	5	5
65	а потому	6	5
66	и то	7	4
67	что в	25	4
68	но не	11	4
69	к вопросу	4	4
70	все же	17	4
71	не могут	5	4
72	к этой	3	4
73	не в	18	4
74	как и	3	4
75	более или	3	4
76	ли это	4	4
77	тому чтобы	2	4
78	как бы	11	4
79	можно было	14	4
80	при том	2	4
81	идет речь	3	4
82	приводит к	3	4
83	так как	16	4
84	тогда когда	7	4
85	лишь к	2	4
86	что же	11	4
87	в его	16	4
88	том случае	3	4
89	со стороны	8	4
90	в их	3	4
91	то ни	2	4
92	точку зрения	2	4
93	в этой	8	4
94	в совершенно	2	4
95	себе и	3	4
96	вместе с	8	4
97	от того	5	4
98	или менее	3	4
99	данном случае	2	3
100	да и	5	3
101	то это	3	3
102	том чтобы	9	3
103	для этого	6	3
104	о котором	4	3
105	в большинстве	3	3
106	что все	6	3
107	что это	11	3
108	о которых	2	3
109	вопросу о	4	3
110	этом случае	4	3
111	что для	3	3
112	на том	4	3
113	и сейчас	3	3
114	именно в	7	3
115	из этих	5	3
116	должно быть	6	3
117	только к	2	3
118	не есть	4	3
119	всех этих	4	3
120	и потому	6	3
121	что оно	6	3
122	в другом	2	3
123	главным образом	3	3
124	в конце	5	3
125	из них	4	3
126	но если	2	3
127	в самом	20	3
128	случае если	3	3
129	и как	3	3
130	можно ли	6	3
131	несмотря на	6	3
132	знаем что	3	3
133	для них	2	3
134	что и	5	3
135	конце концов	3	3
136	или в	5	3
137	сводится к	3	3
138	лишь в	6	3
139	вряд ли	5	3
140	говорить о	5	3
141	и по	4	3
142	связи с	8	3
143	еще не	10	3
144	того что	11	3
145	в качестве	12	3
146	что они	5	3
147	не было	6	3
148	и т	62	3
149	тем что	9	3
150	а следовательно	2	3
151	что только	2	2
152	и о	3	2
153	и должно	2	2
154	любви к	2	2
155	и от	2	2
156	не так	2	2
157	с этим	6	2
158	в таких	7	2
159	тем самым	5	2
160	же образом	2	2
161	были бы	2	2
162	или иного	5	2
163	следовательно и	2	2
164	большинстве случаев	3	2
165	ее в	2	2
166	тому что	3	2
167	чтобы в	2	2
168	указывает на	2	2
169	на этой	4	2
170	но в	11	2
171	того или	6	2
172	в роде	2	2
173	любовь к	2	2
174	ни в	3	2
175	в котором	4	2
176	что такое	8	2
177	так же	8	2
178	на себя	3	2
179	на почве	2	2
180	котором идет	3	2
181	этого не	5	2
182	в настоящее	2	2
183	состоит в	4	2
184	даже и	5	2
185	в ней	6	2
186	на эту	2	2
187	уже не	13	2
188	на это	3	2
189	время в	2	2
190	этот вопрос	7	2
191	в результате	8	2
192	по отношению	9	2
193	но для	4	2
194	но даже	3	2
195	настоящее время	2	2
196	к такому	2	2
197	отличается от	2	2
198	если не	4	2
199	а во-вторых	2	2
200	в силу	16	2
201	и даже	5	2
202	а не	17	2
203	что ничего	3	2
204	для нас	6	2
205	по себе	10	2
206	мы можем	2	2
207	нисколько не	6	2
208	целый ряд	8	2
209	точно так	4	2
210	речь идет	4	2
211	к себе	4	2
212	разумеется что	2	2
213	и тем	7	2
214	и является	4	2
215	и вот	4	2
216	тогда как	2	2
217	и что	11	2
218	но это	4	2
219	что с	2	2
220	это только	5	2
221	все эти	17	2
222	том же	3	2
223	за последнее	2	2
224	совершенно не	4	2
225	это разумеется	2	2
226	только для	3	2
227	а с	3	2
228	и тогда	4	2
229	не просто	7	2
230	в этих	5	2
231	в частности	6	2
232	в таком	3	2
233	и есть	3	2
234	так что	5	2
235	как будто	2	2
236	во многих	3	2
237	должна быть	6	2
238	отношения к	2	2
239	в области	15	2
240	это есть	2	2
241	вся эта	2	2
242	с ним	5	2
243	у него	3	2
244	при отсутствии	2	2
245	том и	3	2
246	последнее время	3	2
247	и более	3	2
248	ясно что	7	2
