N	3gram	Ircho_Kome	formyVre
1	и т п	4	32
2	то же время	11	21
3	в то же	11	18
4	в связи с	3	15
5	с точки зрения	6	15
6	друг с другом	3	13
7	для того чтобы	8	12
8	до сих пор	12	10
9	и в то	2	10
10	в том числе	2	8
11	в этом отношении	2	7
12	в отличие от	3	7
13	с одной стороны	4	6
14	в том же	2	6
15	имеем в виду	2	6
16	в том что	15	5
17	том числе и	2	5
18	мы имеем в	2	5
19	в то время	3	5
20	одной стороны и	2	5
21	то время как	3	4
22	в этом случае	2	4
23	с другой стороны	2	4
24	но все же	3	4
25	во всяком случае	3	4
26	по отношению к	4	4
27	равно как и	3	4
28	то же самое	3	3
29	в чем не	2	3
30	ни в чем	2	3
31	о том как	5	3
32	о том что	7	3
33	вместе с тем	5	3
34	из того же	2	3
35	с самого начала	5	3
36	не похож на	2	3
37	друг за другом	2	3
38	наряду с этим	2	3
39	по сравнению с	3	3
40	само собой разумеется	3	2
41	в основе своей	2	2
42	так как он	2	2
43	что и в	2	2
44	если бы он	3	2
45	в тех же	2	2
46	и в самом	7	2
47	собой разумеется что	3	2
48	к тому же	9	2
49	в свою очередь	10	2
50	таким образом и	2	2
