N	3gram	Losev_Vesc	Vvedenie
1	и т д	36	39
2	для того чтобы	2	22
3	в том что	9	15
4	о том что	4	13
5	в этом смысле	2	10
6	не может быть	22	10
7	тем не менее	11	9
8	в применении к	2	6
9	в то же	5	6
10	в самом деле	7	6
11	то же время	4	6
12	вопрос о том	2	5
13	не что иное	12	5
14	во всяком случае	2	5
15	что иное как	12	5
16	с другой стороны	3	5
17	в том чтобы	2	5
18	по крайней мере	10	4
19	не только в	5	4
20	в данном случае	2	4
21	так или иначе	5	4
22	само по себе	4	4
23	т е в	7	4
24	в этом отношении	2	4
25	и в этом	2	4
26	но все же	2	4
27	с одной стороны	3	4
28	с точки зрения	6	4
29	можно было бы	3	4
30	по сравнению с	7	4
31	вместе с тем	3	3
32	заключается в том	3	3
33	в чем же	5	3
34	можно говорить о	2	3
35	есть не что	8	3
36	и тем не	5	3
37	можно сказать что	3	3
38	в свое время	2	3
39	дело в том	4	3
40	тех или иных	2	3
41	сама по себе	7	3
42	в собственном смысле	3	3
43	и то что	5	3
44	одно и то	5	2
45	и то же	5	2
46	дело не с	2	2
47	в том или	2	2
48	сам по себе	4	2
49	подобно тому как	5	2
50	в первом случае	2	2
51	этой точки зрения	3	2
52	с этой точки	3	2
53	в конце концов	2	2
54	всего то что	2	2
55	хотя бы и	2	2
56	т е не	5	2
57	как она есть	3	2
58	в свою очередь	5	2
59	а так как	2	2
60	тем что не	3	2
