N	3gram	Bakhtin_Fr	Psycholo
1	в том что	8	78
2	для того чтобы	8	70
3	в самом деле	2	51
4	о том что	5	34
5	то же самое	3	31
6	с точки зрения	5	29
7	с одной стороны	2	28
8	все то что	5	23
9	до сих пор	3	23
10	не может быть	4	23
11	с другой стороны	2	20
12	на самом деле	4	17
13	с самого начала	3	16
14	мы видим что	2	16
15	так же как	4	14
16	в этом отношении	7	14
17	в то время	3	14
18	можно было бы	2	13
19	подобно тому как	2	11
20	вместе с тем	2	10
21	потому что он	3	9
22	никак не может	2	9
23	в данном случае	4	9
24	в отличие от	3	9
25	и как бы	2	8
26	друг с другом	2	8
27	что и в	2	7
28	можно сказать что	4	7
29	потому что она	2	6
30	более или менее	2	6
31	и тот же	2	6
32	как бы в	2	5
33	мы видели что	2	5
34	же как и	2	5
35	о том как	2	5
36	и во всех	3	5
37	и в этой	2	4
38	к тому же	3	4
39	то есть в	4	4
40	мы уже говорили	7	4
41	таким образом и	2	4
42	это и есть	2	4
43	таким образом в	3	4
44	в искусстве и	2	4
45	так как они	3	4
46	во всех этих	2	3
47	он не только	2	3
48	по тому же	2	3
49	в то же	14	3
50	то же время	14	3
51	дело в том	4	3
52	как мы видели	4	2
53	в первом случае	3	2
54	и целый ряд	2	2
55	как и все	5	2
56	но и в	3	2
57	в связи с	5	2
58	в чем же	3	2
59	в ней и	2	2
60	мы находим в	2	2
61	на первый план	3	2
62	точку зрения на	3	2
63	только для того	2	2
64	между тем как	2	2
65	жизни и смерти	2	2
66	то есть нечто	2	2
