N	2gram	Vygotskiy_	Istorich
1	и в	33	181
2	может быть	15	115
3	не только	28	114
4	что он	40	111
5	мы имеем	4	102
6	что в	33	90
7	но и	14	85
8	в этом	43	81
9	так как	20	75
10	то что	48	73
11	таким образом	30	72
12	вместе с	9	71
13	и не	18	67
14	все же	5	65
15	мы видим	6	65
16	в этих	7	64
17	еще не	11	63
18	не может	31	61
19	так же	22	57
20	то же	12	56
21	никогда не	10	56
22	в том	44	53
23	том что	41	53
24	с другой	11	52
25	а в	5	52
26	потому что	40	52
27	что и	11	51
28	и что	18	51
29	и здесь	2	51
30	мы видели	10	49
31	о том	13	48
32	а не	14	48
33	его в	6	47
34	не в	10	47
35	другой стороны	9	46
36	мы должны	13	44
37	но в	9	44
38	это не	8	43
39	и его	6	43
40	мы знаем	5	42
41	в нем	10	42
42	показывает что	9	42
43	только в	21	42
44	как в	7	42
45	представление о	2	41
46	в его	15	38
47	тем что	12	38
48	и на	11	38
49	так и	8	37
50	он не	13	37
51	как и	13	37
52	мы уже	4	37
53	мы можем	15	36
54	мы увидим	3	36
55	знаем что	2	36
56	с тем	9	35
57	что они	8	35
58	все эти	9	35
59	мы не	6	35
60	но не	13	34
61	видим что	3	34
62	связи с	9	34
63	у него	8	34
64	представления о	2	33
65	там где	2	33
66	же как	9	33
67	сих пор	3	32
68	в качестве	13	32
69	представляет собой	11	31
70	ничего не	6	31
71	прежде всего	5	31
72	один из	4	31
73	то это	2	31
74	с этим	9	30
75	до сих	3	30
76	с одной	10	30
77	к нему	4	30
78	но все	2	29
79	как мы	20	29
80	одной стороны	10	29
81	этом случае	5	29
82	но это	4	29
83	что она	3	28
84	и другие	13	28
85	и с	7	28
86	как он	7	27
87	так что	8	27
88	того что	34	27
89	могут быть	7	27
90	в ином	3	27
91	в ней	2	26
92	как это	11	26
93	представляют собой	4	26
94	предположить что	3	26
95	вопрос о	15	25
96	и он	3	25
97	раньше чем	8	24
98	было бы	18	24
99	если бы	13	24
100	в виде	3	24
101	что мы	11	24
102	к этому	7	24
103	не менее	4	24
104	того как	6	24
105	все это	2	23
106	когда он	3	23
107	в частности	9	23
108	в этой	8	23
109	их в	3	23
110	и это	3	23
111	как бы	11	23
112	при этом	9	22
113	и по	5	22
114	с ним	6	22
115	совершенно ясно	2	21
116	в одном	3	21
117	сказать что	18	21
118	ее в	3	21
119	в другом	7	21
120	должны были	3	21
121	к тому	14	21
122	они не	7	21
123	в связи	6	21
124	она не	2	20
125	в свете	4	20
126	в других	2	20
127	из них	6	20
128	в силу	14	20
129	наряду с	3	20
130	видели что	2	20
131	из этих	2	20
132	и как	7	19
133	после того	2	19
134	что у	4	19
135	на том	4	19
136	в тех	2	19
137	не совсем	2	19
138	на то	6	19
139	но он	8	19
140	в данном	4	18
141	вовсе не	2	18
142	в то	5	18
143	нас к	6	17
144	по существу	5	17
145	то и	2	17
146	и только	4	17
147	том как	3	17
148	в них	3	17
149	дело не	2	17
150	связана с	2	16
151	со стороны	3	16
152	и все	2	16
153	между двумя	4	16
154	в котором	2	16
155	этот вопрос	8	16
156	во всех	3	16
157	данном случае	3	15
158	в целом	8	15
159	на его	4	15
160	в своей	5	15
161	и то	9	15
162	его и	4	15
163	в пределах	6	15
164	и эти	2	15
165	и даже	3	15
166	в которых	2	15
167	как будто	2	15
168	в одной	2	15
169	и тем	5	15
170	он в	3	15
171	что при	4	15
172	от него	3	14
173	отношение к	12	14
174	у нас	4	14
175	но мы	7	14
176	с того	3	14
177	такое же	2	14
178	должна быть	7	14
179	с этой	8	14
180	на вопрос	7	14
181	должен был	3	14
182	можно было	11	14
183	с ней	3	14
184	отношению к	19	14
185	из которых	3	14
186	и есть	8	14
187	его на	2	14
188	и ее	2	14
189	одной из	5	14
190	по отношению	19	14
191	и наконец	3	14
192	но они	2	14
193	находится в	2	14
194	образом мы	2	14
195	что иное	2	13
196	и для	3	13
197	все что	2	13
198	и от	2	13
199	на котором	3	13
200	тогда как	3	13
201	на этом	8	13
202	в своем	11	13
203	время как	4	13
204	или на	2	13
205	не имеет	7	13
206	в себе	4	13
207	с ними	4	13
208	установить что	3	13
209	по себе	8	13
210	то время	4	13
211	таким же	3	13
212	кроме того	2	12
213	во всем	2	12
214	в их	4	12
215	к этой	3	12
216	ответ на	3	12
217	как только	4	12
218	и их	4	12
219	одним из	4	12
220	в более	2	12
221	хотя бы	5	12
222	это происходит	2	12
223	в основном	2	12
224	представление об	2	12
225	не знает	6	12
226	что не	2	12
227	же мы	2	11
228	никто не	2	11
229	и более	8	11
230	связанные с	6	11
231	если он	4	11
232	относится к	3	11
233	происходит в	3	11
234	точки зрения	27	11
235	в этот	4	11
236	но уже	2	11
237	уже в	4	11
238	иное как	2	11
239	на нее	2	11
240	же в	2	11
241	ясно что	2	11
242	к которому	7	11
243	я не	6	11
244	не что	2	11
245	по мере	6	11
246	такой же	4	11
247	должны быть	2	11
248	приходит к	6	10
249	что же	2	10
250	и тот	5	10
251	почти всегда	2	10
252	известно что	2	10
253	но если	7	10
254	он может	5	10
255	говорит о	4	10
256	что эта	7	10
257	указывает на	3	10
258	но как	6	10
259	вслед за	3	10
260	за собой	4	10
261	если не	3	10
262	что эти	4	10
263	к ним	2	10
264	начинается с	2	10
265	на основе	6	10
266	в состоянии	6	10
267	не как	3	10
268	и других	7	10
269	а с	3	10
270	а если	2	10
271	в которой	8	10
272	его к	2	10
273	о чем	3	10
274	себя в	4	10
275	не можем	2	10
276	друг с	10	10
277	и к	7	10
278	в различных	3	10
279	он должен	9	9
280	в истории	3	9
281	тот же	7	9
282	в основе	12	9
283	в свою	5	9
284	из этого	3	9
285	из него	3	9
286	в себя	4	9
287	не могут	7	9
288	это и	3	9
289	тогда когда	10	9
290	зависимости от	3	9
291	на этот	9	9
292	зависит от	4	9
293	но для	3	9
294	жизни и	2	9
295	в первую	4	9
296	с другом	10	9
297	что на	2	9
298	на первый	2	9
299	стоит в	5	9
300	том чтобы	3	9
301	и хотя	2	9
302	он имеет	6	9
303	только на	3	9
304	в чем	10	9
305	стороны и	3	9
306	вот почему	3	9
307	с его	3	9
308	целый ряд	5	9
309	приводит к	10	9
310	ему в	2	9
311	тем самым	13	8
312	не имеют	4	8
313	только тогда	5	8
314	но вместе	3	8
315	для этого	3	8
316	только что	6	8
317	вообще не	5	8
318	именно в	8	8
319	что такое	6	8
320	тому как	6	8
321	во всяком	4	8
322	или даже	2	8
323	не дает	2	8
324	мы будем	4	8
325	в современной	3	8
326	он говорит	3	8
327	смысле этого	2	8
328	это значит	5	8
329	из его	2	8
330	приводит нас	3	8
331	это положение	2	8
332	в жизни	2	8
333	подобно тому	6	8
334	может оказаться	2	8
335	же самое	7	8
336	и потому	3	8
337	и другое	5	8
338	что его	2	8
339	ту же	5	8
340	в зависимости	2	8
341	приводят к	4	8
342	чем это	2	8
343	в целях	2	8
344	и из	2	8
345	но с	2	8
346	которые в	4	8
347	от того	8	8
348	частный случай	4	8
349	можно сказать	7	8
350	независимо от	3	8
351	значит что	6	8
352	не с	2	8
353	на нем	2	8
354	на самом	3	7
355	в конце	3	7
356	случае мы	2	7
357	с самого	8	7
358	а только	8	7
359	состоит в	11	7
360	не то	5	7
361	того чтобы	26	7
362	под влиянием	4	7
363	этот момент	2	7
364	если в	4	7
365	еще в	3	7
366	о которых	2	7
367	есть не	3	7
368	когда мы	4	7
369	тому что	14	7
370	как она	3	7
371	в начале	2	7
372	в какой	8	7
373	что я	4	7
374	того же	13	7
375	если мы	9	7
376	всяком случае	2	7
377	как на	4	7
378	это мы	3	7
379	между тем	5	7
380	совершенно не	5	7
381	и при	4	7
382	те же	6	7
383	между собой	17	7
384	он делает	3	7
385	этого слова	3	7
386	приходит в	2	7
387	можно только	2	7
388	для объяснения	6	7
389	не есть	4	7
390	в области	19	7
391	самом деле	9	7
392	образом в	2	7
393	что оно	9	7
394	не столько	3	7
395	для него	9	7
396	к которым	2	7
397	для того	20	6
398	почему в	2	6
399	видим в	2	6
400	отличие от	3	6
401	нам кажется	2	6
402	становится понятным	2	6
403	говорит что	7	6
404	как говорит	2	6
405	они же	2	6
406	самое что	2	6
407	дело с	2	6
408	этой точки	7	6
409	между ними	5	6
410	что все	9	6
411	уже на	3	6
412	на место	2	6
413	самого начала	8	6
414	той же	7	6
415	имеет свою	5	6
416	до того	4	6
417	то в	7	6
418	мы рассмотрели	2	6
419	не на	5	6
420	также и	2	6
421	но что	6	6
422	этого вопроса	5	6
423	к жизни	7	6
424	только по	4	6
425	этих двух	4	6
426	тому же	3	6
427	оно может	2	6
428	если я	4	6
429	отношения к	2	6
430	в область	2	5
431	в каком	2	5
432	никак не	6	5
433	или не	2	5
434	только для	2	5
435	представления и	2	5
436	в своих	5	5
437	как таковой	2	5
438	животных и	2	5
439	друг другу	2	5
440	по своей	7	5
441	в свое	2	5
442	по своему	4	5
443	говорит он	3	5
444	том числе	2	5
445	что если	6	5
446	но при	2	5
447	показать что	4	5
448	другом месте	4	5
449	это в	2	5
450	хотя в	2	5
451	бы в	6	5
452	лет в	3	5
453	не означает	5	5
454	в самых	4	5
455	их и	2	5
456	несмотря на	3	5
457	мы в	2	5
458	в совершенно	2	5
459	в виду	4	5
460	знает что	5	5
461	может иметь	3	5
462	как уже	5	5
463	лежит в	5	5
464	отличается от	2	5
465	еще более	5	5
466	оно не	2	5
467	что между	5	5
468	мы и	6	5
469	без всякого	2	5
470	на все	7	5
471	и требует	2	5
472	дальше и	2	5
473	мы это	2	5
474	и может	4	5
475	момент когда	5	5
476	к другой	2	5
477	которые не	5	5
478	но этот	3	5
479	нами в	4	5
480	в отличие	3	5
481	но когда	2	5
482	не говорит	3	5
483	чем перейти	2	4
484	к этим	2	4
485	связанное с	2	4
486	этих предметов	2	4
487	и вызывает	2	4
488	нисколько не	2	4
489	и во	2	4
490	ответить на	4	4
491	все время	3	4
492	тем более	5	4
493	находятся в	3	4
494	в наших	2	4
495	в тот	4	4
496	столь же	5	4
497	себя и	2	4
498	действительно ли	3	4
499	нами выше	2	4
500	чем в	6	4
501	во второй	4	4
502	заключить что	4	4
503	идет от	2	4
504	эти три	2	4
505	во всей	3	4
506	мы нашли	2	4
507	в результате	9	4
508	ведет к	2	4
509	слова в	3	4
510	которых он	2	4
511	ребенка в	11	4
512	как раз	5	4
513	он сам	2	4
514	что было	2	4
515	очевидно что	2	4
516	что уже	3	4
517	без всяких	2	4
518	на свою	2	4
519	на друга	2	4
520	вывод что	2	4
521	принадлежит к	2	4
522	который в	2	4
523	по сравнению	9	4
524	все три	2	4
525	так если	2	4
526	тот момент	4	4
527	вытекает из	4	4
528	отнюдь не	2	4
529	с точки	12	4
530	что их	2	4
531	в действительности	6	4
532	а это	3	4
533	еще и	3	4
534	один раз	3	4
535	с которой	2	4
536	говорит об	2	4
537	и те	2	4
538	содержится в	5	4
539	привести к	2	4
540	нет никаких	2	4
541	и между	7	4
542	только то	4	4
543	новые и	3	4
544	и которые	2	4
545	друг на	2	4
546	есть в	2	4
547	исходит из	2	4
548	в самом	10	4
549	перейти к	4	4
550	но на	2	4
551	к их	2	4
552	бы что	2	4
553	что именно	4	4
554	и должен	2	3
555	как же	2	3
556	как из	2	3
557	и поэтому	2	3
558	о пути	2	3
559	которого он	2	3
