N	3gram	Bakhtin_Fr	KulturaY
1	для того чтобы	5	38
2	с точки зрения	4	36
3	в том что	2	33
4	можно было бы	2	25
5	во всяком случае	2	19
6	с другой стороны	5	17
7	до сих пор	6	14
8	по отношению к	2	13
9	в связи с	5	12
10	в этом отношении	4	11
11	не может быть	2	11
12	о том что	3	10
13	на самом деле	5	8
14	не только в	3	8
15	с одной стороны	4	7
16	в свою очередь	2	7
17	в то же	13	6
18	той или иной	2	6
19	то же время	13	6
20	в отличие от	3	6
21	но все же	2	5
22	в данном случае	3	5
23	как мы видели	4	5
24	сих пор еще	2	4
25	только то что	2	4
26	смысле этого слова	2	4
27	в большей или	2	3
28	в настоящее время	2	3
29	или меньшей степени	2	3
30	в конце концов	3	3
31	тех или иных	2	3
32	в той же	5	3
33	большей или меньшей	3	3
34	и прежде всего	3	2
35	мы имеем в	2	2
36	и той же	2	2
37	вовсе не в	2	2
38	слов и выражений	3	2
39	но вернемся к	3	2
40	в большинстве случаев	3	2
41	может быть и	2	2
42	и тот же	3	2
43	как мы знаем	2	2
44	ничего не дает	2	2
45	в том числе	4	2
46	одной и той	2	2
47	в узком смысле	2	2
48	один и тот	3	2
49	и в других	3	2
50	можно сказать что	2	2
51	но даже и	2	2
52	и в то	2	2
53	это вовсе не	2	2
54	в той или	2	2
55	по сравнению с	2	2
