N	2gram	Ircho_Kome	Istorich
1	и в	37	181
2	и т	5	160
3	т е	18	133
4	может быть	14	115
5	не только	13	114
6	что он	15	111
7	мы имеем	4	102
8	что в	11	90
9	но и	18	85
10	в этом	18	81
11	так как	16	75
12	то что	5	73
13	таким образом	16	72
14	вместе с	16	71
15	и не	28	67
16	все же	9	65
17	мы видим	2	65
18	в этих	2	64
19	еще не	10	63
20	не может	9	61
21	так же	8	57
22	то же	14	56
23	никогда не	5	56
24	в том	24	53
25	том что	22	53
26	с другой	5	52
27	а в	12	52
28	потому что	19	52
29	что и	12	51
30	и что	8	51
31	и здесь	11	51
32	о том	21	48
33	а не	5	48
34	его в	9	47
35	не в	7	47
36	другой стороны	2	46
37	но в	7	44
38	это не	3	43
39	и его	10	43
40	мы знаем	2	42
41	в нем	8	42
42	только в	3	42
43	как в	4	42
44	представление о	2	41
45	в его	12	38
46	для нас	7	38
47	тем что	12	38
48	и на	6	38
49	что здесь	2	37
50	так и	4	37
51	он не	11	37
52	как и	10	37
53	мы можем	7	36
54	с тем	6	35
55	что они	3	35
56	мы не	6	35
57	не всегда	2	34
58	во время	8	34
59	но не	9	34
60	связи с	5	34
61	у него	10	34
62	об этом	12	33
63	сих пор	12	32
64	в качестве	4	32
65	представляет собой	5	31
66	ничего не	6	31
67	прежде всего	7	31
68	один из	6	31
69	то это	5	31
70	с этим	5	30
71	до сих	12	30
72	с одной	5	30
73	к нему	8	30
74	но все	5	29
75	как мы	6	29
76	одной стороны	4	29
77	этом случае	2	29
78	например в	3	28
79	что она	10	28
80	и с	5	28
81	как он	5	27
82	так что	7	27
83	в образе	5	27
84	могут быть	3	27
85	в ней	7	26
86	как это	5	26
87	представляют собой	3	26
88	на него	6	26
89	вопрос о	2	25
90	в дальнейшем	5	25
91	и он	5	25
92	было бы	7	24
93	если бы	18	24
94	что мы	4	24
95	к этому	11	24
96	не менее	9	24
97	видно что	2	24
98	того как	5	24
99	все это	7	23
100	когда он	5	23
101	тем не	3	23
102	в доме	17	23
103	в частности	4	23
104	в этой	7	23
105	их в	3	23
106	имеем в	2	23
107	и это	4	23
108	как бы	7	23
109	при этом	11	22
110	и по	3	22
111	с ним	10	22
