N	3gram	Tiupa_Anal	Stilisti
1	в то же	9	9
2	то же время	7	7
3	для того чтобы	3	7
4	и то же	2	5
5	с точки зрения	6	5
6	одно и то	2	5
7	того или иного	3	5
8	прежде всего в	2	4
9	то же самое	3	4
10	той или иной	8	4
11	в этом случае	4	3
12	не только в	3	3
13	и тем самым	2	3
14	но и в	3	3
15	тех или иных	3	3
16	в связи с	2	2
17	что иное как	6	2
18	в самом деле	3	2
19	в этом отношении	5	2
20	к тому что	2	2
21	и те же	2	2
22	же самое время	2	2
23	одни и те	2	2
24	есть не что	4	2
25	по отношению к	9	2
26	но в то	2	2
27	о том что	8	2
28	не что иное	5	2
29	не может быть	17	2
