N	2gram	Savitsky_E	OGranits
1	и в	37	13
2	прежде всего	9	9
3	и не	14	8
4	не может	9	8
5	может быть	6	8
6	в его	2	7
7	точки зрения	23	7
8	не только	18	6
9	мы должны	2	6
10	как бы	6	6
11	таким образом	2	6
12	только в	9	6
13	то что	6	6
14	с точки	17	5
15	и эта	2	5
16	и наконец	2	5
17	хотя бы	15	5
18	в процессе	4	5
19	мы можем	3	4
20	но в	14	4
21	то же	15	4
22	не является	3	4
23	в своей	8	4
24	было бы	8	4
25	мы не	4	4
26	никогда не	3	3
27	и для	3	3
28	и то	2	3
29	и все	2	3
30	в ее	8	3
31	с этим	2	3
32	как и	7	3
33	в пределах	25	3
34	не в	5	3
35	в их	11	3
36	так как	7	3
37	в себе	9	3
38	что в	21	3
39	так и	10	3
40	что же	2	3
41	в одном	2	3
42	но и	14	3
43	в самом	4	2
44	могут быть	2	2
45	мы видим	2	2
46	в этом	12	2
47	в них	3	2
48	данном случае	2	2
49	кажется что	2	2
50	и отчасти	2	2
51	отношений между	2	2
52	в том	11	2
53	тем что	3	2
54	в отношении	32	2
55	есть не	2	2
56	несмотря на	4	2
57	если бы	2	2
58	от этого	5	2
59	думать что	8	2
60	с одной	8	2
61	не имеет	4	2
62	или иного	4	2
63	ее в	3	2
64	с другой	7	2
65	там где	3	2
66	а в	2	2
67	и тем	3	2
68	том что	6	2
69	того или	4	2
70	а также	7	2
71	и к	3	2
72	в данном	3	2
73	в общем	3	2
74	в области	11	2
75	так же	9	2
76	г по	2	2
77	с этой	6	2
78	в своих	2	2
79	его на	2	2
80	не на	4	2
81	а не	2	2
82	во всей	2	2
83	в ней	4	2
84	вслед за	6	2
85	в течение	5	2
86	как в	3	2
87	другой стороны	2	2
88	и наиболее	2	2
89	мог бы	2	2
90	одной стороны	8	2
91	бы в	2	2
92	между тем	8	2
93	и этот	2	2
94	на язык	2	2
95	имеет место	2	2
96	вовсе не	6	2
97	к тому	8	2
