N	2gram	Propp_Isto	Problema
1	и в	44	182
2	и не	19	152
3	вовсе не	6	145
4	то что	16	144
5	не только	17	104
6	потому что	18	89
7	в этом	20	88
8	может быть	31	82
9	том что	12	81
10	в том	13	81
11	только в	8	73
12	сказать что	2	72
13	но и	16	70
14	в виде	13	69
15	также и	2	68
16	и даже	4	66
17	по себе	2	64
18	даже и	2	63
19	не менее	6	58
20	о том	11	57
21	так и	9	56
22	тем не	6	56
23	а не	5	56
24	но в	7	55
25	так что	2	52
26	ни в	2	51
27	для нас	6	50
28	и вообще	3	48
29	при помощи	11	47
30	было бы	2	46
31	в своей	3	45
32	прежде всего	7	45
33	что в	18	44
34	в его	16	44
35	все эти	11	43
36	не в	11	43
37	таким образом	21	42
38	то же	9	42
39	а именно	8	42
40	так как	19	40
41	что мы	4	40
42	и то	5	40
43	что он	29	40
44	и что	13	40
45	не может	10	39
46	в этой	5	39
47	такого рода	2	39
48	и тем	7	39
49	как бы	4	39
50	в данном	3	38
51	хотя бы	2	37
52	того что	3	37
53	в нем	10	37
54	еще не	16	36
55	точки зрения	3	36
56	и все	4	36
57	и т	39	35
58	и с	8	34
59	как и	12	34
60	уже не	14	34
61	в таком	2	33
62	т д	36	33
63	в то	5	32
64	здесь не	3	32
65	но не	8	32
66	в своем	3	31
67	связи с	10	31
68	все это	4	31
69	так же	14	31
70	но это	10	31
71	ясно что	5	30
72	с другой	11	30
73	и для	3	30
74	подобного рода	2	30
75	как мы	9	29
76	перед нами	2	29
77	все же	17	29
78	об этом	6	29
79	в связи	6	29
80	можно сказать	2	29
81	данном случае	2	28
82	и о	2	28
83	мы не	6	28
84	а в	9	28
85	и как	5	27
86	ничего не	4	27
87	и это	5	27
88	еще и	2	26
89	как будто	2	26
90	вместе с	26	26
91	это не	8	26
92	другой стороны	10	26
93	и его	15	26
94	тем самым	2	25
95	и на	11	25
96	мы можем	6	25
97	не имеет	4	24
98	с тем	9	24
99	на то	3	23
100	есть не	2	23
101	при этом	4	23
102	в качестве	13	23
103	никогда не	5	22
104	его в	17	22
105	и есть	3	22
106	только на	2	22
107	значит что	2	22
108	что и	11	22
109	другими словами	4	22
110	всех этих	2	22
111	есть в	2	22
112	и к	3	22
113	мы должны	7	21
114	а также	5	21
115	и потому	2	20
116	но как	2	20
117	мифа о	2	20
118	для того	3	20
119	о чем	6	20
120	несмотря на	3	20
121	или в	7	20
122	тем что	12	20
123	но если	2	19
124	то в	2	19
125	если бы	5	19
126	это значит	2	19
127	то это	8	19
128	если не	4	19
129	он не	5	19
130	с ним	9	19
131	уже в	4	19
132	самом деле	2	19
133	в них	3	19
134	как в	11	19
135	жизни и	4	19
136	того же	3	18
137	того чтобы	3	18
138	в ее	4	18
139	в этих	7	18
140	мы и	3	18
141	не было	2	18
142	в ней	8	18
143	что здесь	9	17
144	мы уже	6	17
145	и здесь	12	17
146	но уже	5	17
147	это и	3	17
148	что они	3	17
149	совершенно не	2	17
150	во всех	3	17
151	но даже	2	16
152	но все	8	16
153	же в	3	16
154	в одно	2	16
155	для этого	3	16
156	как это	5	16
157	точно так	3	16
158	что она	3	16
159	будто бы	2	16
160	и более	3	15
161	всякого рода	3	15
162	в частности	9	15
163	у него	7	15
164	что не	3	15
165	с этим	7	15
166	и сам	2	15
167	что все	4	14
168	говорит о	4	14
169	в дальнейшем	6	14
170	уже и	3	14
171	людей и	2	14
172	сих пор	7	14
173	этом случае	13	14
174	в котором	2	14
175	с другими	4	14
176	до сих	7	14
177	в целях	3	13
178	или другой	2	13
179	в других	4	13
180	из этого	3	13
181	мы имеем	22	13
182	уже давно	3	13
183	из них	4	13
184	что этот	5	12
185	к скале	2	12
186	не будем	6	12
187	в которой	4	12
188	в другом	2	12
189	с одной	7	12
190	в целом	4	12
191	что это	8	12
192	время как	3	12
193	то время	3	12
194	оказывается что	2	11
195	в нашей	2	11
196	в истории	7	11
197	в таких	3	11
198	о которых	4	11
199	не могут	2	11
200	одной стороны	7	11
201	и у	3	11
202	и тогда	2	11
203	к нему	5	11
204	что его	4	11
205	не имеют	2	10
206	состоит из	4	10
207	все еще	6	10
208	один из	6	10
209	однако в	2	10
210	очень много	2	10
211	что у	6	10
212	в одном	2	10
213	он в	3	10
214	то или	2	10
215	что оно	4	10
216	представление о	22	10
217	мы читаем	2	10
218	относится к	3	10
219	на том	5	10
220	даже если	2	10
221	из которых	7	10
222	но он	2	10
223	вопрос о	5	9
224	или как	3	9
225	тогда когда	3	9
226	здесь как	3	9
227	здесь мы	7	9
228	только тогда	4	9
229	она не	7	9
230	между прочим	2	9
231	в тех	4	9
232	миф о	6	9
233	и наконец	2	9
234	то он	2	9
235	в своих	4	9
236	с собой	6	9
237	их в	7	9
238	но эта	2	9
239	в которых	4	9
240	что даже	2	9
241	того как	8	9
242	это было	2	9
243	с ней	2	9
244	на небо	7	9
245	и другие	5	9
246	бы мы	4	8
247	а потом	3	8
248	как он	6	8
249	мы здесь	4	8
250	от этого	6	8
251	а если	2	8
252	и по	3	8
253	никто не	4	8
254	для него	2	8
255	если в	4	8
256	только что	3	8
257	с этой	4	8
258	в силу	7	8
259	себе и	2	8
260	входит в	5	8
261	еще в	2	8
262	к его	2	8
263	это то	2	8
264	том как	5	8
265	здесь нет	3	8
266	из этих	5	8
267	он был	2	8
268	и он	9	8
269	которые не	2	8
270	и при	3	8
271	это уже	2	8
272	но для	4	8
273	во всем	4	8
274	как только	2	8
275	что при	5	8
276	за это	3	7
277	находятся в	2	7
278	друг друга	5	7
279	это только	2	7
280	а с	2	7
281	может иметь	2	7
282	одной из	3	7
283	на этой	5	7
284	но вот	2	7
285	в основе	3	7
286	а еще	3	7
287	или иное	2	7
288	даже в	4	7
289	из себя	4	7
290	в это	3	7
291	даже не	2	7
292	себе в	3	7
293	такого же	2	7
294	мира и	2	7
295	для чего	2	7
296	или вообще	2	7
297	же как	12	7
298	он является	2	7
299	что касается	2	7
300	на этот	2	7
301	ее в	8	7
302	перейти к	2	7
303	не обязательно	2	7
304	большей частью	3	7
305	без всяких	4	6
306	не как	5	6
307	с той	2	6
308	то мы	3	6
309	не считать	2	6
310	на него	10	6
311	когда он	7	6
312	есть уже	2	6
313	имеем в	2	6
314	этот вопрос	2	6
315	том смысле	2	6
316	если он	2	6
317	входить в	2	6
318	именно на	2	6
319	в античной	3	6
320	есть и	3	6
321	не всегда	9	6
322	после этого	3	6
323	гораздо больше	2	6
324	по существу	2	6
325	на первом	2	6
326	могут быть	9	6
327	в мифе	10	6
328	и может	2	6
329	но когда	3	6
330	во время	12	6
331	с его	3	6
332	и уже	2	6
333	к другой	2	6
334	особенно в	2	6
335	все другие	2	6
336	к ней	2	6
337	в него	5	6
338	мы еще	2	6
339	к своему	2	6
340	можно найти	4	6
341	как на	3	6
342	не мог	3	6
343	но оно	3	6
344	находит в	3	5
345	в нее	7	5
346	его на	5	5
347	человека и	2	5
348	одна из	6	5
349	отношение к	3	5
350	он должен	2	5
351	тот кто	7	5
352	ли он	2	5
353	только один	3	5
354	одно и	2	5
355	лишь в	2	5
356	говорится что	4	5
357	себе что	2	5
358	или на	3	5
359	том чтобы	3	5
360	все что	5	5
361	или другого	3	5
362	тому как	2	5
363	не знаем	3	5
364	которой он	2	5
365	что эта	2	5
366	и хотя	4	5
367	его не	3	5
368	мы видели	9	5
369	о нем	3	5
370	утверждать что	2	5
371	том числе	3	5
372	на себя	4	5
373	за что	2	5
374	мы приведем	2	5
375	там где	11	5
376	что с	2	5
377	здесь и	2	5
378	не знал	2	5
379	к этому	5	5
380	с этими	3	5
381	огонь и	3	5
382	это же	4	5
383	себя в	6	5
384	в этот	2	5
385	в свете	5	5
386	человека в	5	5
387	одним из	4	5
388	в пределах	5	5
389	они не	5	5
390	подобно тому	2	5
391	по его	2	5
392	этих случаях	10	5
393	от него	2	4
394	других предметов	2	4
395	должны были	3	4
396	наряду с	7	4
397	на свою	2	4
398	должен быть	2	4
399	а как	3	4
400	нас к	10	4
401	у них	2	4
402	пока только	2	4
403	одно из	3	4
404	так например	3	4
405	бросается в	2	4
406	живое существо	2	4
407	указывают на	2	4
408	только тем	2	4
409	она и	2	4
410	и она	3	4
411	числе и	2	4
412	у древних	2	4
413	под влиянием	2	4
414	ее не	3	4
415	и они	5	4
416	эти два	2	4
417	на нее	3	4
418	дает нам	2	4
419	что от	3	4
420	таких случаях	2	4
421	за ним	4	4
422	меня в	4	4
423	в брак	2	4
424	со своим	2	4
425	прийти к	2	4
426	является и	4	4
427	с целью	2	4
428	им в	2	4
429	античности и	2	4
430	этом мы	2	4
431	только после	3	4
432	она в	2	4
433	той же	2	4
434	не потому	5	4
435	нет в	2	4
436	здесь уже	2	4
437	этот мотив	10	4
438	он всегда	2	4
439	на котором	3	4
440	к этой	3	4
441	но мы	5	4
442	одного из	3	4
443	этой точки	2	4
444	и вместе	3	4
445	и др	6	4
446	например в	11	4
447	очень часто	4	4
448	на одном	2	4
449	но эти	4	4
450	из него	3	4
451	к ним	2	4
452	мы увидим	6	4
453	одном случае	2	4
454	и пр	6	4
455	в свою	3	4
456	в русской	8	4
457	это время	2	4
458	с которым	3	4
459	мог бы	2	4
460	в человеческом	2	4
461	что во	2	4
462	ему в	3	4
463	это мы	3	4
464	и смерть	2	3
465	ее и	3	3
466	как человек	3	3
467	в голове	2	3
468	всего мира	2	3
469	этих предметов	2	3
470	язык и	2	3
471	но так	3	3
472	в более	6	3
473	в образе	16	3
474	как таковое	2	3
475	то чего	2	3
476	чтобы они	2	3
477	должна быть	3	3
478	когда она	2	3
479	ли это	2	3
480	его с	3	3
481	борьбы с	3	3
482	о смерти	7	3
483	в некотором	2	3
484	этого мифа	2	3
485	превращается в	10	3
486	после того	4	3
487	случаях когда	2	3
488	из таких	3	3
489	думать что	2	3
490	он может	4	3
491	связанные с	5	3
492	это так	2	3
493	представляет собой	8	3
494	такую же	2	3
495	увидим ниже	4	3
496	совершенно ясно	6	3
497	он видит	4	3
498	находится в	2	3
499	них не	2	3
500	и других	5	3
501	в очень	2	3
502	его к	3	3
503	в европе	3	3
504	в одной	5	3
505	но есть	4	3
506	со стороны	6	3
507	здесь совершенно	2	3
508	и требует	3	3
509	с неба	2	3
510	образом в	3	3
511	от них	2	3
512	нем и	3	3
513	борьбу с	2	3
514	время в	2	3
515	выше мы	2	3
516	воды и	2	3
517	предмета который	2	3
518	с ними	4	3
519	вот почему	2	3
520	мы видим	12	3
521	уже видели	2	3
522	это нужно	2	3
523	и действительно	6	3
524	и мы	3	3
525	т е	27	3
526	но при	2	3
527	представлений о	12	3
528	чем перейти	2	3
529	от которого	2	3
530	есть миф	3	3
531	из нее	2	3
532	или другое	3	3
533	в горах	2	3
534	формы и	3	3
535	связан с	7	3
536	на нем	3	3
537	знаем что	10	3
538	основана на	2	3
539	там же	2	3
540	на этом	5	3
541	сейчас же	2	3
542	не говорит	2	3
543	просто на	2	3
544	стоит на	3	2
545	о природе	3	2
546	приходит к	3	2
547	как отражение	2	2
548	и начал	2	2
549	случае мы	2	2
550	же можно	4	2
551	на ступени	3	2
552	что за	2	2
553	огонь в	2	2
554	особенно ярко	2	2
555	от себя	2	2
556	его по	2	2
557	такое же	3	2
558	в другую	2	2
559	такой же	3	2
560	они были	2	2
561	здесь он	2	2
562	при анализе	2	2
563	и начинает	3	2
564	ту же	2	2
565	не говорится	2	2
566	к каким	2	2
567	поставить вопрос	2	2
568	этот момент	2	2
569	в который	2	2
570	уже нет	3	2
571	но то	2	2
572	здесь также	2	2
573	же он	2	2
574	вопрос этот	3	2
575	в материалах	2	2
576	известно что	3	2
577	это происходит	3	2
578	же она	2	2
579	и вот	4	2
580	то здесь	4	2
581	имеется и	3	2
582	обратим внимание	2	2
583	как у	2	2
584	когда они	3	2
585	и таким	2	2
586	одновременно с	2	2
587	еще нет	2	2
588	представляли себе	2	2
589	видели что	2	2
590	за собой	5	2
591	только одна	3	2
592	в греции	6	2
593	чтобы она	2	2
594	на которой	4	2
595	д все	2	2
596	а по	3	2
597	где нет	2	2
598	роль в	3	2
599	же что	2	2
600	эта связь	5	2
601	он на	2	2
602	он состоит	2	2
603	близка к	2	2
604	сам в	2	2
605	из других	2	2
606	не дает	2	2
607	мы пока	2	2
608	их на	3	2
609	по отношению	2	2
610	или же	6	2
611	к которым	4	2
612	а на	2	2
613	на все	2	2
614	в другое	2	2
615	есть ли	2	2
616	когда уже	2	2
617	героя в	11	2
618	в свое	2	2
619	мы до	2	2
620	здесь можно	5	2
621	право на	2	2
622	сливается с	2	2
623	чтобы он	3	2
624	дает ему	6	2
625	все его	2	2
626	что представление	2	2
627	имеются в	2	2
628	представление об	5	2
629	на дне	2	2
630	говорит об	2	2
631	о сотворении	2	2
632	часто в	2	2
633	о двух	2	2
634	ее на	2	2
635	на них	2	2
636	если кто-нибудь	2	2
637	с переходом	3	2
638	песни и	2	2
639	не представляет	2	2
640	на более	2	2
641	силу и	2	2
642	обращается к	2	2
643	будем здесь	2	2
644	и там	3	2
645	также в	2	2
646	море и	2	2
647	при изучении	2	2
648	и раньше	2	2
649	из двух	2	2
650	отношению к	2	2
651	силы и	2	2
652	его за	2	2
653	что есть	2	2
