N	2gram	Bakhtin_Pr	Vvedenie
1	и т	14	45
2	т е	44	40
3	т д	4	39
4	в том	12	38
5	в этом	33	35
6	и в	64	35
7	том что	8	30
8	может быть	43	30
9	не только	26	26
10	того чтобы	2	22
11	таким образом	15	21
12	также и	3	20
13	не может	26	19
14	то что	21	19
15	потому что	8	18
16	о том	5	16
17	только в	13	16
18	так как	9	15
19	и не	55	13
20	что в	11	13
21	в самом	17	13
22	в нем	28	13
23	в их	6	12
24	того что	3	12
25	что такое	2	12
26	точки зрения	31	12
27	в его	30	12
28	как на	4	12
29	этом смысле	12	11
30	в данном	2	11
31	то же	18	11
32	по себе	16	11
33	в ее	2	11
34	как мы	13	11
35	вопрос о	3	10
36	не в	15	10
37	прежде всего	16	10
38	но в	14	10
39	в той	5	10
40	уже и	2	10
41	между тем	7	10
42	из этих	3	9
43	тем не	2	9
44	и как	9	9
45	все же	11	9
46	но не	12	9
47	не менее	3	9
48	в истории	2	9
49	это не	12	8
50	можно было	3	8
51	с другой	7	8
52	именно в	5	8
53	самом деле	10	7
54	сих пор	9	7
55	как и	25	7
56	как бы	33	7
57	в большей	2	7
58	этот вопрос	4	7
59	смысле слова	2	7
60	но и	26	7
61	только как	2	7
62	было бы	8	7
63	до сих	9	7
64	сказать что	4	6
65	его в	8	6
66	не могут	10	6
67	как например	2	6
68	хотя бы	4	6
69	об этом	3	6
70	и даже	5	6
71	тем что	6	6
72	как он	3	6
73	а именно	2	6
74	в какой	2	6
75	на вопрос	2	6
76	на этот	4	6
77	и это	8	6
78	а в	10	6
79	уже не	15	6
80	в которых	4	6
81	могут быть	9	6
82	в то	15	6
83	один из	3	6
84	и что	5	6
85	и его	21	6
86	все это	9	6
87	же время	13	6
88	вовсе не	12	6
89	данном случае	2	5
90	дело в	2	5
91	с их	7	5
92	есть и	5	5
93	в виду	3	5
94	а как	11	5
95	одним из	7	5
96	с этой	2	5
97	что он	15	5
98	так что	6	5
99	т п	10	5
100	что не	3	5
101	одно из	2	5
102	от этого	2	5
103	на почве	5	5
104	в различных	3	5
105	а потому	2	5
106	не есть	4	5
107	другой стороны	6	5
108	в них	5	5
109	уже в	5	5
110	в целом	8	5
111	всяком случае	4	5
112	что и	7	5
113	а не	29	5
114	в первом	2	5
115	но с	4	5
116	хотя и	5	5
117	во всяком	7	5
118	свой материал	2	4
119	да и	2	4
120	само по	4	4
121	в чисто	3	4
122	в результате	7	4
123	и ее	5	4
124	по отношению	12	4
125	в каждом	15	4
126	от характера	3	4
127	этом отношении	3	4
128	но ведь	3	4
129	еще не	10	4
130	времени и	2	4
131	по мере	4	4
132	е в	3	4
133	по крайней	2	4
134	отношению к	12	4
135	речь в	2	4
136	отличие от	4	4
137	в отличие	4	4
138	к тому	4	4
139	но все	6	4
140	и для	7	4
141	и понимать	2	4
142	не имеет	2	4
143	в котором	7	4
144	в одном	20	4
145	из них	3	4
146	здесь нет	4	4
147	в себе	11	4
148	связи между	3	4
149	с точки	21	4
150	крайней мере	2	4
151	в своей	11	4
152	как раз	9	4
153	можно сказать	2	4
154	той же	8	4
155	однако не	3	4
156	никогда не	11	3
157	до конца	10	3
158	одна из	5	3
159	в отношении	5	3
160	что это	2	3
161	в своем	12	3
162	с этим	3	3
163	так же	8	3
164	нисколько не	3	3
165	бы и	6	3
166	для этого	3	3
167	что она	7	3
168	не как	20	3
169	как целое	3	3
170	в другом	3	3
171	в конце	8	3
172	от того	4	3
173	отношение к	4	3
174	во второй	2	3
175	и здесь	6	3
176	или же	2	3
177	сама по	5	3
178	если бы	12	3
179	зависимости от	5	3
180	в сущности	10	3
181	понятно что	2	3
182	в этих	5	3
183	только на	3	3
184	себе что	2	3
185	как в	7	3
186	или как	8	3
187	что может	4	3
188	стороны и	4	3
189	вообще не	2	3
190	к нему	11	3
191	на том	2	3
192	и на	16	3
193	того же	3	3
194	может служить	3	3
195	именно как	2	3
196	в ней	2	3
197	входит в	9	3
198	и к	5	3
199	сливается с	6	3
200	на этом	2	3
201	между ними	6	3
202	однако в	3	3
203	из которых	3	3
204	большей или	2	3
205	то это	3	3
206	или меньшей	2	3
207	что же	9	3
208	здесь не	7	3
209	так чтобы	7	3
210	же как	2	3
211	при этом	8	3
212	он сам	5	3
213	в зависимости	5	3
214	и уже	3	3
215	все эти	13	3
216	уже после	2	3
217	связи с	3	3
218	и есть	3	3
219	и сам	6	3
220	как будто	4	3
221	в этой	5	3
222	в слове	3	3
223	того как	3	3
224	чем в	3	3
225	не исчерпывается	2	2
226	е не	2	2
227	ничего не	8	2
228	следовательно и	3	2
229	у нас	3	2
230	бы с	2	2
231	и потому	7	2
232	в каждой	2	2
233	его к	4	2
234	мы должны	3	2
235	во всех	4	2
236	и до	6	2
237	все время	3	2
238	но как	4	2
239	и сама	2	2
240	лежит в	2	2
241	это в	2	2
242	при всей	2	2
243	должно быть	8	2
244	этой точки	2	2
245	бы в	7	2
246	время не	3	2
247	не нужно	2	2
248	в форме	8	2
249	мысли и	6	2
250	что оно	2	2
251	его можно	2	2
252	конце концов	7	2
253	подобно тому	3	2
254	том же	4	2
255	него в	5	2
256	а с	2	2
257	что если	3	2
258	слова как	3	2
259	и при	2	2
260	и со	4	2
261	в формах	3	2
262	должна была	4	2
263	так и	8	2
264	к своему	2	2
265	отношении к	5	2
266	лишь как	9	2
267	и др	7	2
268	на котором	3	2
269	только так	2	2
270	и так	2	2
271	значение в	2	2
272	целом ряде	3	2
273	говорит он	6	2
274	тому что	3	2
275	на то	5	2
276	не место	2	2
277	в своих	4	2
278	себе и	5	2
279	которые были	2	2
280	какой бы	2	2
