N	3gram	Ircho_Kome	Analitik
1	в том что	15	25
2	по отношению к	4	18
3	в то же	11	16
4	о том что	7	15
5	то же время	11	14
6	в отличие от	3	14
7	к тому же	9	13
8	в конечном счете	2	11
9	с одной стороны	4	9
10	с другой стороны	2	9
11	в свою очередь	10	9
12	в этом отношении	2	8
13	с точки зрения	6	8
14	состоит в том	2	8
15	во всяком случае	3	7
16	тем не менее	3	6
17	так или иначе	3	6
18	в этом случае	2	5
19	в ответ на	4	4
20	в самом деле	13	4
21	для того чтобы	8	4
22	в основе своей	2	4
23	на себя внимание	3	4
24	едва ли не	4	4
25	обращает на себя	3	4
26	то ни было	3	3
27	бы то ни	3	3
28	и т п	4	3
29	то же самое	3	3
30	речь идет о	3	3
31	и все же	2	3
32	и тот же	3	3
33	в том числе	2	3
34	в связи с	3	3
35	в этой связи	3	3
36	и в самом	7	3
37	что он не	3	2
38	более или менее	2	2
39	друг с другом	3	2
40	говоря уже о	2	2
41	один и тот	3	2
42	и к тому	2	2
43	вместе с ним	3	2
44	до тех пор	5	2
45	если бы он	3	2
46	до сих пор	12	2
47	не говоря уже	2	2
