N	2gram	Bakhtin_fo	SlovoVZh
1	не может	8	16
2	точки зрения	14	14
3	может быть	18	14
4	и его	26	13
5	как бы	11	13
6	и в	84	12
7	таким образом	14	12
8	в нашем	3	11
9	отношению к	5	11
10	по отношению	3	11
11	и не	19	10
12	так как	12	9
13	если бы	6	9
14	прежде всего	28	8
15	для нас	2	7
16	сказать что	4	7
17	слова и	4	6
18	при этом	8	6
19	в том	16	6
20	в нем	28	6
21	только в	12	6
22	в процессе	4	6
23	с помощью	5	6
24	в ней	4	6
25	никогда не	8	5
26	как в	10	5
27	что мы	2	5
28	в жизни	6	5
29	в виду	5	5
30	можно сказать	2	5
31	но в	16	5
32	том что	7	5
33	то же	18	5
34	как и	15	5
35	и следовательно	5	5
36	героя и	7	5
37	хотя бы	2	5
38	а не	7	5
39	то что	13	5
40	и др	13	5
41	отнюдь не	7	5
42	в самом	9	4
43	в этом	41	4
44	не только	16	4
45	в литературе	17	4
46	что не	3	4
47	как если	2	4
48	его в	8	4
49	и является	2	4
50	жизни и	12	4
51	не в	10	4
52	с другой	4	4
53	все же	12	4
54	дело в	3	4
55	и к	4	4
56	так и	17	4
57	и на	13	4
58	уже не	5	4
59	отношение к	5	4
60	в них	11	3
61	в поэзии	2	3
62	по себе	3	3
63	в каком	2	3
64	и вообще	3	3
65	о том	4	3
66	и для	12	3
67	или не	2	3
68	имеет в	2	3
69	да и	4	3
70	не к	2	3
71	и проч	5	3
72	он должен	2	3
73	и уже	4	3
74	ни в	9	3
75	все эти	12	3
76	в котором	8	3
77	и наконец	6	3
78	так же	7	3
79	в своей	2	3
80	мы не	4	3
81	конечно не	7	3
82	точка зрения	4	3
83	в себе	7	3
84	еще не	8	3
85	здесь не	5	3
86	все это	10	3
87	только на	3	3
88	и ее	4	3
89	в некоторых	4	3
90	и с	10	3
91	но для	2	3
92	сих пор	4	3
93	с ним	5	3
94	до сих	4	3
95	быть и	4	3
96	в пределах	8	3
97	и по	5	3
98	формы и	4	3
99	самом деле	2	3
100	и пр	2	3
101	того что	5	3
102	и более	3	3
103	но и	14	3
104	для него	5	3
105	ясно что	2	3
106	и дает	3	2
107	в особенности	15	2
108	вещи и	3	2
109	одно и	4	2
110	и то	5	2
111	в его	19	2
112	данном случае	2	2
113	имеет место	6	2
114	до конца	5	2
115	и здесь	2	2
116	что в	9	2
117	к ним	3	2
118	стороны и	2	2
119	в отношении	5	2
120	как уже	3	2
121	место в	4	2
122	для других	7	2
123	ничего не	9	2
124	речи в	2	2
125	словом и	2	2
126	с его	10	2
127	и те	4	2
128	но конечно	3	2
129	что и	5	2
130	это не	8	2
131	более того	4	2
132	и все	10	2
133	кроме того	7	2
134	там где	4	2
135	с точки	9	2
136	от всех	2	2
137	форма в	3	2
138	она не	2	2
139	но все	6	2
140	тому же	2	2
141	в своем	8	2
142	довлеет себе	2	2
143	все они	4	2
144	в данном	4	2
145	его к	2	2
146	с другими	3	2
147	мы имеем	2	2
148	в то	13	2
149	себя и	6	2
150	те же	5	2
151	уже в	5	2
152	по природе	2	2
153	с этой	3	2
154	в этих	6	2
155	одной стороны	3	2
156	влияние на	6	2
157	в основном	12	2
158	и другие	6	2
159	в условиях	8	2
160	на материале	3	2
161	он не	6	2
162	героев и	5	2
163	точку зрения	3	2
164	эти моменты	3	2
165	как на	2	2
166	и потому	4	2
167	оно не	3	2
168	имеем в	3	2
169	но не	9	2
170	как это	2	2
171	автора и	4	2
172	в себя	3	2
173	на один	2	2
174	мы можем	2	2
175	была бы	2	2
176	могут быть	7	2
177	частной жизни	24	2
178	в чем	3	2
179	между собой	5	2
180	нет ничего	4	2
181	в форме	5	2
182	быть только	4	2
183	и так	2	2
184	с одной	5	2
185	выражение в	3	2
186	и самое	5	2
187	к этому	5	2
188	же самое	2	2
189	слагается из	2	2
190	между ними	5	2
191	тогда когда	2	2
192	и та	2	2
193	в корне	2	2
194	вместе с	9	2
195	со всех	2	2
196	и совершенно	3	2
