N	2gram	Tiupa_Anal	Freidism
1	и не	33	34
2	таким образом	5	34
3	точки зрения	10	31
4	не может	26	30
5	может быть	33	28
6	и в	30	28
7	в этом	31	28
8	прежде всего	8	26
9	в его	15	25
10	и его	9	22
11	как бы	15	19
12	как мы	3	18
13	то что	11	17
14	вовсе не	4	16
15	так как	3	15
16	с точки	6	15
17	все эти	3	15
18	самом деле	3	14
19	так и	16	14
20	в своей	7	14
21	с ним	6	14
22	во всех	5	13
23	и все	5	13
24	но в	11	13
25	как и	23	13
26	по отношению	10	13
27	и потому	2	12
28	том что	21	12
29	то же	12	12
30	что он	3	12
31	ни в	5	12
32	в самом	12	12
33	и наконец	2	12
34	для него	5	12
35	все это	2	12
36	во внешнем	4	12
37	сказать что	2	11
38	его в	2	11
39	отношению к	9	11
40	только в	8	11
41	никогда не	4	10
42	и с	2	10
43	за пределы	6	10
44	не только	30	10
45	но и	29	10
46	не в	17	10
47	он не	4	10
48	в том	36	10
49	мы уже	2	10
50	все что	3	10
51	один из	4	10
52	что же	3	10
53	тот же	2	10
54	мы должны	2	9
55	могут быть	12	9
56	к этому	2	9
57	те же	3	9
58	совершенно не	2	9
59	к нему	4	9
60	в чем	2	9
61	уже не	6	9
62	и на	10	9
63	а не	25	9
64	с его	3	9
65	все же	4	8
66	душевной жизни	3	8
67	было бы	4	8
68	еще не	5	8
69	с другими	4	8
70	а в	11	8
71	на этом	4	8
72	при этом	20	8
73	не могут	3	7
74	в то	10	7
75	в себе	17	7
76	что в	7	7
77	хотя бы	4	7
78	и для	3	7
79	отношение к	2	7
80	роль в	3	7
81	я и	8	7
82	не является	3	7
83	того что	5	7
84	на протяжении	2	7
85	но не	13	7
86	что все	2	7
87	более того	4	7
88	в нем	3	7
89	и к	5	7
90	из них	2	7
91	в этой	12	7
92	одно из	2	6
93	на самом	2	6
94	для этого	2	6
95	но мы	2	6
96	в психике	2	6
97	мы имеем	9	6
98	из этих	2	6
99	всех этих	2	6
100	не менее	5	6
101	для того	4	6
102	в таком	5	6
103	и о	3	6
104	в пределах	11	6
105	к тому	12	6
106	можно сказать	6	6
107	ни о	3	6
108	здесь в	2	6
109	как раз	5	6
110	и что	2	6
111	же время	7	6
112	в основе	6	6
113	по поводу	4	5
114	ничего не	10	5
115	со стороны	5	5
116	с их	2	5
117	в которой	3	5
118	и по	2	5
119	во второй	3	5
120	и те	2	5
121	в этих	3	5
122	как это	5	5
123	что может	2	5
124	не знает	4	5
125	внутренней речи	9	5
126	что и	5	5
127	ее в	2	5
128	тому что	2	5
129	далеко не	6	5
130	это не	7	5
131	той же	4	5
132	в процессе	2	5
133	отнюдь не	22	5
134	того чтобы	3	5
135	в ее	2	5
136	с ними	2	5
137	и до	3	5
138	говорить о	3	5
139	заключается в	2	5
140	в себя	8	5
141	вместе с	6	5
142	данном случае	3	4
143	его к	3	4
144	подхода к	3	4
145	в области	4	4
146	в собственном	3	4
147	с ее	2	4
148	в другом	4	4
149	тем не	3	4
150	на него	3	4
151	этом отношении	5	4
152	если бы	6	4
153	таком случае	5	4
154	внешнем мире	2	4
155	в виду	2	4
156	это только	2	4
157	не всегда	4	4
158	это как	2	4
159	только на	3	4
160	и за	3	4
161	у него	5	4
162	как в	3	4
163	между собой	2	4
164	в своем	2	4
165	только с	2	4
166	борьбы с	3	4
167	человека к	4	4
168	едва ли	4	4
169	в котором	5	4
170	потому что	3	4
171	именно в	6	4
172	о себе	2	4
173	личности и	3	4
174	и т.п	13	4
175	по себе	6	4
176	в целом	9	4
177	нет и	2	4
178	себя и	5	4
179	то ни	3	4
180	в данном	6	4
181	я не	2	4
182	сводится к	6	4
183	и то	4	3
184	и смерть	2	3
185	читателя в	3	3
186	в сознании	6	3
187	независимо от	2	3
188	нуждается в	9	3
189	конечном счете	5	3
190	в результате	3	3
191	борьба с	3	3
192	и даже	10	3
193	и тот	2	3
194	и как	6	3
195	на место	3	3
196	на все	2	3
197	а как	4	3
198	он был	3	3
199	не остается	2	3
200	одним из	3	3
201	такой же	3	3
202	в центре	3	3
203	является по	2	3
204	в какой	3	3
205	в искусстве	2	3
206	на этот	2	3
207	не так	3	3
208	и является	4	3
209	на этой	2	3
210	о том	11	3
211	оно может	3	3
212	того же	7	3
213	в конечном	6	3
214	к его	3	3
215	остается в	2	3
216	на себя	5	3
217	ответ на	3	3
218	приводит к	2	3
219	в одном	3	3
220	что мы	3	3
221	только не	6	3
222	себя в	8	3
223	сознания в	4	3
224	на это	2	3
225	раз и	2	3
226	между двумя	7	3
227	говорит о	5	3
228	во внутренней	2	3
229	и есть	3	3
230	и сам	4	3
231	случае не	2	3
232	не приходится	2	3
233	в нашем	3	3
234	между тем	7	3
235	на основе	3	3
236	бы то	3	3
237	да и	2	2
238	в широком	4	2
239	принципиально не	3	2
240	в отношении	2	2
241	вопрос о	2	2
242	особого рода	9	2
243	или иной	8	2
244	внешнего мира	2	2
245	нас к	2	2
246	а также	8	2
247	то в	2	2
248	из того	5	2
249	что как	3	2
250	для нее	2	2
251	по преимуществу	4	2
252	должно быть	2	2
253	и процессы	2	2
254	к другим	2	2
255	бы в	3	2
256	превращается в	3	2
257	такого рода	6	2
258	дело не	5	2
259	не как	2	2
260	его и	3	2
261	отличается от	3	2
262	в отличие	8	2
263	в конце	4	2
264	и смерти	4	2
265	как к	2	2
266	для себя	3	2
267	должен быть	6	2
268	теми же	2	2
269	при помощи	2	2
270	и тем	4	2
271	все они	2	2
272	в их	8	2
273	в составе	2	2
274	в поле	4	2
275	только для	3	2
276	ни одно	2	2
277	ни было	4	2
278	к своему	2	2
279	а именно	3	2
280	и та	2	2
281	произведение искусства	9	2
282	отличие от	8	2
283	реальности и	2	2
284	в такой	2	2
285	с одной	7	2
286	к объекту	3	2
287	и всего	2	2
288	а с	3	2
289	о нем	4	2
290	в мире	14	2
291	думать что	2	2
292	в эту	3	2
293	только через	2	2
294	вообще не	2	2
295	также и	3	2
296	не есть	8	2
297	за пределами	3	2
298	как совокупность	2	2
299	с другой	7	2
300	речи и	2	2
301	он в	5	2
302	его можно	2	2
303	на которой	2	2
304	он и	3	2
305	личность в	4	2
306	одной стороны	6	2
307	этом смысле	3	2
308	не позволяет	2	2
309	тогда когда	3	2
310	из которых	4	2
311	представляет собой	23	2
312	и их	2	2
313	смысл и	3	2
314	случае в	2	2
315	жизни но	3	2
316	ли он	3	2
317	из этого	2	2
318	и во	3	2
319	воли и	4	2
320	могли бы	2	2
321	в качестве	38	2
322	художественное творчество	2	2
323	не следует	6	2
324	в первом	3	2
325	же самое	3	2
326	отношения к	4	2
327	без исключения	2	2
328	не к	3	2
329	мира в	2	2
330	оказывается не	2	2
331	в глубине	2	2
332	поведения в	2	2
333	как система	6	2
334	будто бы	4	2
