N	2gram	Nazirov_Tr	Stilisti
1	и в	18	42
2	как бы	7	30
3	не только	8	28
4	прежде всего	4	22
5	то же	5	16
6	но и	4	16
7	и не	7	14
8	не может	5	13
9	может быть	7	13
10	как и	5	12
11	в себе	4	10
12	и как	3	10
13	отнюдь не	3	10
14	в этом	9	10
15	в то	5	9
16	все же	5	9
17	то что	4	9
18	при этом	3	9
19	тем самым	3	8
20	ничего не	2	8
21	и это	2	8
22	с тем	2	8
23	с его	2	8
24	никогда не	2	7
25	же время	6	7
26	так и	5	7
27	потому что	2	7
28	и на	7	7
29	и его	6	7
30	не в	2	6
31	в конце	3	6
32	в нем	4	6
33	если б	2	6
34	в его	3	6
35	в этой	4	6
36	и то	2	5
37	то есть	3	5
38	как это	3	5
39	но все	2	5
40	но в	6	5
41	в самом	2	5
42	и с	7	5
43	уже в	3	5
44	что это	5	4
45	в одном	2	4
46	так же	4	4
47	его в	2	4
48	один из	3	4
49	и все	4	4
50	к тому	2	4
51	о том	2	4
52	уже не	2	4
53	в целом	4	4
54	было в	2	4
55	не просто	2	4
56	все это	4	4
57	это не	5	3
58	но при	2	3
59	том что	4	3
60	перед нами	2	3
61	об этом	4	3
62	и даже	4	3
63	и здесь	2	3
64	в том	2	3
65	в частности	2	3
66	еще не	4	3
67	как в	3	3
68	для него	3	3
69	не так	2	3
70	несмотря на	5	3
71	что и	2	3
72	в ее	2	3
73	все эти	3	3
74	что эти	2	3
75	иван петрович	3	3
76	вряд ли	2	3
77	не мог	2	3
78	до конца	2	2
79	вопрос о	2	2
80	бы и	2	2
81	должно быть	3	2
82	отношение к	2	2
83	друг друга	2	2
84	но эта	2	2
85	тем что	2	2
86	что он	6	2
87	ничем не	2	2
88	и сам	3	2
89	в мире	3	2
90	в душе	2	2
91	к нему	3	2
92	даже на	2	2
93	ведь еще	2	2
94	и он	3	2
95	о чем	3	2
96	но это	4	2
97	он не	2	2
98	в дальнейшем	5	2
99	с ним	3	2
