N	2gram	Berdyaev_O	Istorich
1	и в	19	181
2	т е	4	133
3	может быть	11	115
4	не только	11	114
5	что он	3	111
6	что в	4	90
7	но и	13	85
8	в этом	12	81
9	так как	2	75
10	то что	5	73
11	и не	13	67
12	все же	2	65
13	в этих	3	64
14	еще не	3	63
15	не может	4	61
16	никогда не	9	56
17	в том	5	53
18	том что	2	53
19	а в	5	52
20	потому что	9	52
21	что и	2	51
22	о том	3	48
23	а не	11	48
24	его в	2	47
25	не в	11	47
26	но в	2	44
27	это не	3	43
28	и его	4	43
29	в нем	10	42
30	в его	7	38
31	тем что	2	38
32	и на	2	38
33	так и	2	37
34	он не	7	37
35	как и	6	37
36	с тем	2	35
37	что они	2	35
38	все эти	4	35
39	у него	22	34
40	ничего не	2	31
41	прежде всего	9	31
42	в русской	3	30
43	к нему	3	30
44	и с	2	28
45	так что	2	27
46	того что	3	27
47	могут быть	3	27
48	вопрос о	10	25
49	и он	8	25
50	было бы	3	24
51	к этому	2	24
52	все это	6	23
53	когда он	3	23
54	в этой	5	23
55	как бы	3	23
56	с ним	3	22
57	сказать что	2	21
58	ее в	2	21
59	в другом	2	21
60	в других	2	20
61	что у	2	19
62	все еще	2	19
63	но он	7	19
64	не все	2	18
65	и этим	2	17
66	и все	10	16
67	в своей	2	15
68	и то	2	15
69	он в	2	15
70	и там	2	15
71	от него	7	14
72	отношение к	5	14
73	должен был	2	14
74	и есть	3	14
75	и ее	3	14
76	него и	4	14
77	и для	2	13
78	все что	3	13
79	и от	3	13
80	его не	2	13
81	в своем	2	13
82	же можно	2	13
83	не имеет	2	13
84	в себе	3	13
85	по себе	2	13
86	к этой	2	12
87	хотя бы	3	12
88	что не	4	12
89	к ней	2	12
90	и вот	3	11
91	никто не	3	11
92	хотя и	2	11
93	в этот	2	11
94	уже в	2	11
95	человека в	11	11
96	что же	2	10
97	в ее	2	10
98	на земле	4	10
99	их не	2	10
100	в которой	2	10
101	не было	9	10
102	и к	2	10
103	в истории	2	9
104	не могут	3	9
105	с его	4	9
106	одно из	2	8
107	и потому	2	8
108	и из	2	8
109	он был	8	8
110	и о	2	7
111	того чтобы	4	7
112	не есть	2	7
113	для него	5	7
114	для того	3	6
115	можно ли	2	6
116	нет ничего	7	6
117	что все	2	6
118	это за	3	6
119	из всего	2	6
120	это было	3	5
121	в своих	3	5
122	о природе	3	5
123	этом он	2	5
124	и очень	2	5
125	ни с	7	4
126	в глубине	7	4
127	чем в	2	4
128	что есть	2	4
129	в человеческом	2	4
130	он сам	4	4
131	человека и	10	4
132	мысль о	2	4
133	все в	4	4
134	с которой	2	4
135	о его	5	4
136	в самом	5	4
137	он весь	2	3
138	своей жизни	2	3
139	не могли	2	3
140	этого мира	2	3
141	в самую	4	3
142	он всегда	7	3
143	совсем не	2	3
144	всегда есть	4	3
145	с чего	2	3
146	должно быть	2	3
147	него в	5	3
148	как к	2	3
149	всего в	2	3
150	вопросом о	2	3
151	и нет	2	3
152	подойти к	2	3
153	даже и	2	3
154	но никогда	2	3
155	момент в	2	3
156	о человеке	29	2
157	на западе	2	2
158	человека а	2	2
159	не исчезает	3	2
160	лишь в	7	2
161	так человек	2	2
162	в огненную	3	2
163	те которые	2	2
164	в глубину	2	2
165	вместо того	2	2
166	же это	2	2
167	что человек	3	2
168	человек не	7	2
169	только одно	3	2
170	погружается в	2	2
171	в самой	9	2
172	то к	2	2
173	что для	2	2
174	он прежде	2	2
175	человек и	4	2
176	природы но	3	2
177	него не	2	2
178	ни у	2	2
179	природы и	2	2
180	учение о	2	2
