N	2gram	Propp_Isto	Psycholo
1	то что	16	193
2	и в	44	190
3	в том	13	163
4	что в	18	123
5	потому что	18	114
6	том что	12	113
7	и что	13	108
8	может быть	31	107
9	таким образом	21	102
10	в этом	20	100
11	как бы	4	80
12	для того	3	78
13	того чтобы	3	78
14	что он	29	76
15	не только	17	75
16	на то	3	73
17	и не	19	73
18	что она	3	71
19	самом деле	2	70
20	и т	39	69
21	точки зрения	3	69
22	не может	10	68
23	так как	19	63
24	так же	14	63
25	было бы	2	56
26	если бы	5	55
27	совершенно ясно	6	54
28	и мы	3	54
29	то же	9	54
30	о том	11	54
31	при этом	4	52
32	как и	12	51
33	что и	11	50
34	а не	5	50
35	что это	8	49
36	только в	8	46
37	сказать что	2	46
38	по себе	2	46
39	не в	11	45
40	в этой	5	43
41	ясно что	5	43
42	никогда не	5	42
43	и все	4	42
44	вместе с	26	41
45	как это	5	40
46	но и	16	40
47	при помощи	11	39
48	того что	3	39
49	и это	5	37
50	мы видим	12	37
51	и как	5	36
52	с тем	9	35
53	вовсе не	6	34
54	и его	15	34
55	как на	3	34
56	что все	4	33
57	когда он	7	33
58	все же	17	33
59	все это	4	32
60	в ней	8	31
61	мы не	6	31
62	в его	16	31
63	он не	5	31
64	для нас	6	31
65	как будто	2	30
66	мы увидим	6	30
67	как в	11	30
68	сейчас же	2	30
69	с одной	7	29
70	и для	3	29
71	одной стороны	7	29
72	в нем	10	29
73	что мы	4	28
74	что они	3	28
75	увидим что	3	28
76	и то	5	28
77	мы можем	6	28
78	в основе	3	27
79	с другой	11	27
80	в своих	4	27
81	а в	9	27
82	и на	11	27
83	так что	2	26
84	совершенно не	2	26
85	и здесь	12	25
86	только что	3	25
87	жизни и	4	25
88	в целом	4	24
89	до сих	7	24
90	тем что	12	24
91	в своем	3	23
92	сих пор	7	23
93	для этого	3	23
94	целый ряд	4	23
95	из этого	3	23
96	могут быть	9	23
97	что оно	4	23
98	один из	6	23
99	и даже	4	22
100	т д	36	22
101	что у	6	22
102	с этим	7	22
103	из них	4	22
104	в своей	3	21
105	как мы	9	21
106	и вот	4	21
107	том чтобы	3	21
108	ни в	2	21
109	в котором	2	21
110	в которых	4	21
