N	2gram	Medvedev_U	slovoVRo
1	и в	14	92
2	может быть	6	59
3	и не	8	51
4	не только	10	44
5	не может	7	41
6	но и	4	39
7	в этом	7	36
8	а не	10	34
9	могут быть	2	29
10	в его	2	27
11	все это	5	25
12	то же	5	23
13	не в	2	21
14	в то	3	20
15	прежде всего	8	19
16	как и	3	18
17	же время	3	18
18	все же	3	17
19	таким образом	2	17
20	но в	3	16
21	и с	2	15
22	только в	2	14
23	это не	3	13
24	с его	2	13
25	и для	2	13
26	с другой	4	13
27	для него	3	11
28	все они	2	10
29	в том	2	10
30	в себе	2	10
31	всех этих	2	10
32	одним из	2	9
33	в их	4	9
34	в своей	3	9
35	но не	2	9
36	конечно не	4	9
37	не могут	2	8
38	в самом	2	8
39	том что	2	7
40	ничего не	2	6
41	бы и	2	6
42	другой стороны	3	6
43	хотя бы	5	6
44	по себе	2	6
45	между тем	2	6
46	не как	3	5
47	а как	2	5
48	меньшей степени	2	5
49	мы не	2	5
50	для этого	3	5
51	этом отношении	2	5
52	его и	2	5
53	должна быть	2	5
54	как такового	3	5
55	в противовес	2	5
56	литературы и	2	4
57	для всех	2	4
58	и формы	3	4
59	что и	2	4
60	что он	2	4
61	в частности	3	4
62	истории литературы	3	4
63	до сих	2	4
64	но конечно	2	4
65	именно как	2	4
66	даже и	2	4
67	не столько	2	4
68	но это	2	4
69	если бы	2	4
70	сих пор	2	4
71	формы и	2	4
72	в некоторых	2	4
73	по существу	2	4
74	на первый	2	4
75	как раз	2	4
76	в системе	2	4
77	в широком	2	3
78	не приходится	2	3
79	было бы	3	3
80	и то	3	3
81	не все	2	3
82	это было	2	3
83	или иных	2	3
84	тем что	2	3
85	нас в	2	3
86	материала и	2	3
87	тех или	2	3
88	не есть	2	3
89	в этой	4	3
90	и у	2	2
91	а его	2	2
92	то что	7	2
93	что все	2	2
94	могли бы	2	2
95	в сторону	2	2
96	материал для	2	2
97	каждом шагу	2	2
98	что она	2	2
99	при таком	2	2
100	перестает быть	5	2
101	на каждом	2	2
102	в области	3	2
103	ни было	3	2
104	у нас	3	2
105	а между	2	2
106	и только	5	2
107	мы и	2	2
