N	3gram	Losev_Prob	slovoVRo
1	не может быть	5	19
2	в то же	4	18
3	той или иной	5	15
4	с точки зрения	3	15
5	с одной стороны	4	11
6	и т д	12	10
7	более или менее	7	9
8	в этом случае	6	9
9	во всяком случае	11	8
10	так и в	2	6
11	с другой стороны	7	6
12	в том что	7	5
13	в этом отношении	2	5
14	не только в	3	5
15	может быть и	5	5
16	хотя бы и	3	5
17	как мы уже	2	5
18	одной стороны и	2	4
19	на первый план	3	4
20	для того чтобы	9	4
21	никогда не может	2	4
22	а также и	2	4
23	до сих пор	6	4
24	можно сказать что	6	4
25	в другом случае	2	3
26	может быть только	2	3
27	в данном случае	10	3
28	в связи с	7	3
29	того или иного	6	3
30	тех или иных	2	3
31	сама по себе	6	3
32	а не только	2	2
33	и в частности	3	2
34	не только не	4	2
35	во всех этих	2	2
36	точном смысле слова	2	2
37	тот или иной	3	2
38	но как мы	3	2
39	тем и другим	2	2
40	требует от нас	2	2
41	ничего нового не	2	2
42	о том что	16	2
43	иметь в виду	4	2
44	здесь не только	2	2
45	хотя и не	2	2
46	можно было бы	4	2
47	в то время	2	2
48	с самого начала	2	2
49	но и в	3	2
50	в других случаях	2	2
51	то время как	2	2
52	и в этом	5	2
53	так и для	2	2
54	то или иное	2	2
55	тем что он	2	2
56	тем не менее	25	2
57	о которых мы	2	2
58	и следовательно в	2	2
