N	2gram	Nazirov_Tr	RusskieA
1	и в	18	79
2	в том	2	64
3	том что	4	59
4	что в	4	57
5	не только	8	41
6	в этом	9	33
7	как бы	7	31
8	но и	4	31
9	как и	5	28
10	может быть	7	28
11	и на	7	28
12	одна из	2	24
13	о том	2	23
14	при этом	3	22
15	в поле	3	22
16	это не	5	20
17	все это	4	18
18	с тем	2	17
19	потому что	2	17
20	то что	4	17
21	об этом	4	17
22	один из	3	15
23	как это	3	14
24	и не	7	14
25	и с	7	14
26	и что	4	14
27	так что	2	13
28	не может	5	13
29	еще не	4	13
30	как в	3	13
31	уже не	2	13
32	в виде	2	12
33	тем что	2	12
34	но это	4	11
35	не имеет	2	11
36	его в	2	10
37	так и	5	10
38	все же	5	10
39	что и	2	10
40	данном случае	2	9
41	о чем	3	9
42	но в	6	9
43	к жизни	5	9
44	и все	4	9
45	то же	5	9
46	в русском	2	9
47	так же	4	8
48	в данном	2	8
49	что это	5	8
50	в своем	3	7
51	ничего не	2	7
52	не в	2	7
53	к нему	3	7
54	до конца	2	7
55	в это	2	7
56	и как	3	7
57	еще в	2	7
58	как будто	3	7
59	в этой	4	6
60	друг друга	2	6
61	к тому	2	6
62	что этот	2	6
63	в нем	4	6
64	в году	9	6
65	все эти	3	6
66	в одном	2	6
67	что она	2	6
68	но они	2	6
69	в таком	2	6
70	вопрос о	2	5
71	что он	6	5
72	прежде всего	4	5
73	в то	5	5
74	в целом	4	5
75	в его	3	5
76	по поводу	2	5
77	то и	2	5
78	отнюдь не	3	5
79	с ним	3	5
80	и ее	2	4
81	в глаза	2	4
82	не был	2	4
83	она как	2	4
84	своего рода	3	4
85	в основном	3	4
86	бросается в	2	4
87	отличие от	2	4
88	в образе	6	4
89	и до	2	4
90	несмотря на	5	4
91	и здесь	2	4
92	не просто	2	4
93	в отличие	2	4
94	но все	2	4
95	уже в	3	4
96	вряд ли	2	4
97	никогда не	2	3
98	то есть	3	3
99	тут же	2	3
100	что все	2	3
101	любви и	2	3
102	и это	2	3
103	в ее	2	3
104	что с	3	3
105	iii в	3	3
106	он был	2	3
107	из самых	2	3
108	и то	2	3
109	жизнь и	3	3
110	ее к	2	3
111	говорит о	2	3
112	и его	6	3
113	в себе	4	2
114	перед нами	2	2
115	в конце	3	2
116	отношение к	2	2
117	а как	2	2
118	в частности	2	2
119	и лучше	2	2
120	и за	2	2
121	не так	2	2
122	этим объясняется	2	2
123	под влиянием	2	2
124	в дальнейшем	5	2
125	что эти	2	2
126	который в	2	2
127	для него	3	2
128	с его	2	2
129	он не	2	2
130	нет в	2	2
131	с г	2	2
132	и он	3	2
133	должно быть	3	2
134	из своих	2	2
135	и даже	4	2
136	как у	2	2
137	к людям	3	2
138	не случайно	2	2
139	раз и	2	2
140	у него	6	2
141	но эта	2	2
